userName;score;label;at;content
reevan Silalahi;1;Negatif;31/10/2023 23.44;"Halo Admin, kok akun saya setiap klik orderan selalu ditolak dan muncul keterangan ""KESALAHAN"" melulu ya??? Waduhhhhh gmn ini yh min???"
Cak Cemplons;5;Positif;31/10/2023 23.23;sangat baik sangat ramah dan prjlanan cepat
Reynold Maradona Dien;5;Positif;31/10/2023 22.46;Sangat baik dan profesional
Muhamad roup Jaenurohim;1;Negatif;31/10/2023 22.37;Dari pagi sampai malem gak dapet orderan,kenapa harus selalu prioritas yang mendapat orderan
revan zura;1;Negatif;31/10/2023 22.30;kenapa aplikasinya muter muter aja ngga ada orderan masuk.. percuma ditempat keramaian kalo aplikasinya muter doang
Fajrin Himawan;1;Negatif;31/10/2023 21.41;Tolong dong. dana yg terpotong akibat cancel dr penumpang langsung dikembalikan ke dompet.jgn dipisahkan. sy ga bs narik krn minus pdhl msh ada dana pengembalian yg tdk bs msk dompet.
wendy cenel;1;Negatif;31/10/2023 19.31;Update terusss deposit 50k belom habis habis sudah 2 bulan ini tolong indrive 😭🥲🙏
Kinara Azzaleakholika;5;Positif;31/10/2023 17.01;Barokah amin
M Abdul Manan;4;Positif;31/10/2023 15.37;Saya sebagai driver ,dengan adanya critical zone ini system nya jadi kacaw sekali jarang mendapatkan lelangan sekalipun order terdekat padahal akun saya sudah prioritas,dan sebenarnya yang di utamakan ini driver prioritas apa driver paling lama kenapa yang muncul selalu driver yg dengan ribuan perjalanan pada masuk lelangan sedangkan yg hanya punya perjalanan sedikit atau ratusan malah gak masuk lelang meskipun akun prioritas. Tolong di perbaiki lagi system nya adilkan sesama driver
Muhammad Alka Wahyudi;5;Positif;31/10/2023 15.31;Bagaimana ya cara nya bisa mendapatkan atribut sama helm indriver nya
Wahyu Aribowo;1;Negatif;31/10/2023 14.45;Sudah top up tapi dari pagi sampai malam nggak dapet orderan Berarti masuk kategori penipuan dong ibaratnya kita sudah top up tapi nggak ada hasil Tolong dong sistemnya diperbaiki servernya itu diperbaiki Jangan cuma ambil duit doang tapi harus perawatan juga
Agus Three;1;Negatif;31/10/2023 14.24;Ini aplikasi apaan, sudah di cancel potongan ga kembali
Sinaga TIK;5;Positif;31/10/2023 13.57;Good
Abdullah Hidayat nasution;5;Positif;31/10/2023 13.01;Mantap
Iqbal Zulfikar;5;Positif;31/10/2023 13.00;bagus
Tri Fandi Rezeki Damanik;1;Negatif;31/10/2023 12.23;Driver itu hanyalah mitra, yang sama sekali gak jelas kesejahteraanya dan masa depan nya. Sudah begitu kalian buat lagi harga tawar menawar yg lebih murah. Apa kalian gak punya hati?
Hamzah ismail;5;Positif;31/10/2023 12.16;Aplikasi yg sangat membantu bagi masyarakat disaat mau pergi ke mana2 udah ga pusing lagi mau naik apa, tinggal pesan Indrive aja hehehe
banyu ramadhan;1;Negatif;31/10/2023 11.55;peningkatan dan update aplikasi boleh dan sah tapi aplikator harus cerdas dan jeli melihat kondisi dilapangan, jangan update melulu tapi peningkatannya untuk pelayanan kepada mitra dan pelanggan kurang memuaskan
Billy Rinaldy;4;Positif;31/10/2023 11.54;"min kok setelah update, selalu ""kesalahan"" mulu ya? suka offline sendiri pula, fix secepatnya min"
Alvandi Manopo;5;Positif;31/10/2023 11.35;Tolong kalau auto bitnya bisa di cancel Atau di keluarkan Dari room .... Soalnya banyak skali penumpang yang Sengaja main pesan sampe waktu habis Baru pesan lagi tolong di tinjau yaa INI juga untuk kenyamanan para draiver Dan penumpang juga terutama aplikasi indriver....trimakasih skali lagi di pertimbangkan lagi... 🙏🙏
Josua Manullang;1;Negatif;31/10/2023 11.25;Parah ku😏
Faruk Alamry;4;Positif;31/10/2023 11.23;Orderan masih sulit tembus status sudah di ambil gak tau muncul lagi orderan dengan akun yang sama yang sudah di ambil tadi. Seperti dunia tipu tipu
Roman Picisan;5;Positif;31/10/2023 10.58;good job
deni sutisna;5;Positif;31/10/2023 10.31;Puas
Syahbiru Biru;1;Negatif;31/10/2023 10.26;BERANTAS DRIVER YANG PAKAI MOD!!! YANG PAKAI AUTO MASUK LELEANG!!!!!
gheacarissa gilbert;1;Negatif;31/10/2023 10.21;Parah apk yg skrg sepi orderan jarak 7 meter aja ga kena Tolong dong pihak indriver di bagusin lagi aplikasi nya bukan nya malah di jelekin lg
Yonathan Silitonga;1;Negatif;31/10/2023 09.27;Aplikasi Abal Abal Cs ga bisa kasih solusi Hanya buang buang waktu Nyesel pake indriver
Ayu Sahaja;5;Positif;31/10/2023 09.10;nyaman la... serasa ud jd orang kaya... terjangkau ..
Edo Ginting;1;Negatif;31/10/2023 09.06;Potongan Naik. Tidak ada pengumuman. Counter Perjalanan Anda Rusak malah Oprasi Driver yang di anggap turun
Aji Sinuhaji;5;Positif;31/10/2023 09.04;Semoga driver yg ikuti aturan real utk cari nafkah lbh dikedepankan
Athur Fernando;1;Negatif;31/10/2023 08.51;Aplikasi yang bisa dibajak.mot semakin banyak,dan tak bisa ditawar2 lagi karna smua pake mot dikota medan ini.ongkos pun smakin lama smakin turun,dan tidak sesuai lagi kilometernya.mapsnya kacau balau,udah tau kota medan ini jalan ditutup tp ttap aja disuruh jalan dari situ juga,rute speda motor dibuat kemobil juga.kalah sama aplikasi kuning
