"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-"
"Tampilan baru malah makin lemot parah aplikasi nya...","0","1","0","0","0","0","0","0","0","1","0","0"
"Sekelas aplikasi pemerintah jeleknya minta ampun, server jelek","0","1","0","0","0","0","0","0","0","0","0","1"
"Mendingan kemaren, update malah ga jelas","0","1","0","0","0","0","0","0","0","0","0","0"
"PECAT UI/UX DESIGNERNYA SUMPAH !!! UI bagus tapi UX jelek, UI/UX designernyagausah ngide dah modal bagusin tampilan tapi user journey ga diperhatiin makin ribet, belajar lagi UI/UX nya :v","0","1","0","0","0","0","0","0","0","1","0","0"
"Mau masuk lemot, proses ke pembayaran juga lemot, sampai- sampai waktu pembayaran habis. Perbaiki lah ini aplikasi parah super lemot dari segala2nya","0","1","0","1","0","0","0","0","0","0","0","0"
"Diupdate kok malah ga bisa beli tiket ya... muter terus... tolong kedepannya jagan UI nya aja yg diperbaiki... mending versi yg lama.. versi yg baru jelek banget performanya..","0","1","0","1","0","0","0","0","0","0","0","0"
"Lah kenapa sudah update malah makin ribet dan susah diakses.. Mohon diperbaiki min","0","1","0","0","0","0","0","0","0","0","0","0"
"Di perbaharui malah susah di buka.nyusahin....","0","1","0","0","0","0","0","0","0","0","0","0"
"Setelah di update dan tampilan baru malah lebih ..parah bug ny..loading lama....lemot..malah setelah update data nik berubah gmn ini team ...IT ny","0","1","0","0","0","0","0","0","0","1","0","0"
"Setelag update aplikasi menjadi sangat lemot di semua fiturnya, terutama di fitur Tiket Saya! Tiket yang sudah dibeli lama sekali bufferingnya menyebabkan kelamaan menunggu dipenukaran tiket/cetak boarding. Dan fitur Kereta untuk membeli tiker antar kotapun demikian begitu lemot bufferingnya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main update tetapi aplikasi belum bisa maksimal.","0","0","1","0","0","0","0","0","0","0","0","0"
