"ulasan","label"
"POIN PENTING REVIEW KAI ACCESS > ACCESS BY KAI 1. Dari semua yg paling mencolok adalah fitur pemesanan opsi RAILFOOD dan LAYANAN LAINNYA seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada dibawah seperti itu.","Negatif"
"kaai acces sya udah pesen tiket dan bayar pke qris dana memudahkan banget","Positif"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","Positif"
"Setelah update malah lemot, susah melakukan pemesanan, tolong diperbaiki","Negatif"
"Mudah dan gag ribet gag perlu antri dan nunggu loket bukak, cuma sayang H-7 sudah gag dapat kursi.","Konflik"
"Alamdulillah setelah update akses menjadi lebih lancar, tidak seperti pada aplikasi sebelumnya lemot. Saat memilih kursi timeout tdk perlu nunggu waktu lama & membuang waktu","Positif"
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","Negatif"
"Bagus lancar dan pemuda kita untuk pesan tiket","Positif"
"Setelah update aplikasi jadi lemot sekali, sering tiba-tiba log out sendiri, susah saat mau membeli tiket dan menyulitkan saat boarding","Negatif"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","Negatif"
"Setelah update malah lemot, susah melakukan pemesanan, tolong diperbaiki","Negatif"
"Lumayan membantu membeli tiket kereta api tanpa admin huhuðŸ”¥ðŸ”¥ lancar jg tdk ada kendala saat melakukan pemesanan, update membernya kok susah min oadahal datanya sudah sesuai bagus yg sebelumnya, padahaka sblmnya udah banyak banget pesen tiketnya","Positif"
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","Negatif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Apk versi lama suka lama kalo udah masuk ke pembayaran tapi versi baru ini jadi lebih lancr dan mduah buat cari & pesen tiektnya","Positif"
"Upate baru ...sudah masuk sesi pembayaran atau bru msuk di sesi pilihan kursi...halaman sudah kadaluarsa","Konflik"
"saran untuk para pengurus di KAI ..ini zaman sudah modern segala hal digital sudah serba cepat . ini masa saya batal kan tiket, pengembalian dana nya nunggu 30-45 hari.???? sekalian aja setahun baru tf dana nya .","Negatif"
"Aplikasi baru alhamdulillah.... lancar Mau pesen tiket ka lokal jadi lebih gampang","Positif"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","Negatif"
"perbaikin apknya bagus sekali pesan ka lokal dah makin mudah dripada yang dulu","Positif"
"Tampilan emang have fun and youth. Fasilitas lebih banyak tapi masih belum berfungsi. Tapi namanya jadi tidak spesial. Orang lebih mudah mencari KAI dari pada Access. Nama Kai Access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. Lah kalo ACCESS ini maknanya apa? Revamp ya revamp. Tapi gak jadi lebih aneh gitu. Jadi inget bikin stasiun tapi lupa buat jalan akses. Kan aneh. Mmm mungkin mau buat kayak LIVIN by mandiri","Negatif"
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","Negatif"
"Saat ini apk nya malah jadi kurang membantu Detail kendala. Loadingnya lama sekali, saat mau cek jadwal commuter line susah sekali mencari nama stasiun . Memakan banyak waktu loading namun hasil pencarian malah tidak keluar.","Negatif"
"Gak tau apa yang melatarbelakangi pergantian dari KAI access ke access by KAI. Tapi sumpah kecewa banget. kualitas nya bukannya upgrade, ini malah downgrade. Pesen tiket jadi lebih lelet dari sebelumnya, bahkan untuk menambah kan daftar penumpang juga loading banget. Jadi tolong bukan tampilannya aja yang di ubah, tapi access kemudahannya harus terus ditingkatkan. Ini sih harus secepatnya diperbaiki, kata maaf aja gak akan pernah cukup","Konflik"
"Di update malah lancar bangettt yg dulu rada"" lemot soal ny,,,,,,buat pesen tiket & bayrnya lbh mudah skrang","Positif"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"Sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pake apk tiket online yang lain","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"Setelah update, aplikasi sering bermasalah. (1) Tidak bisa login ke aplikasi setelah pengisian kode otp karena selalu loading sehingga harus menunggu di block 1 jam karena terlalu sering masukkan kode otp (2) ingin melakukan pembayaran melalui QRIS namun kode QRIS tidak kunjung muncul sehingga tidak bisa bayar tiket (3) jenis kelamin sudah diubah namun setelah direfresh kembali lagi ke jenis kelamin yang salah (tertukar antara laki dan perempuan) untuk semua penumpang.","Negatif"
"Mau naik kereta api bookingnya makin mudah, aplikase lancar.. ","Positif"
"Di update malah lancar bangettt yg dulu rada"" lemot soal ny,,,,,,buat pesen tiket & bayrnya lbh mudah skrang","Positif"
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","Negatif"
"Pesan kereta lokal susah, waktusesi habis terus","Netral"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","Negatif"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","Positif"
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","Negatif"
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","Negatif"
