"ulasan","Performa"
"Semenjak aplikasinya update jadi makin lemot hadehh","Negatif"
"Sudah bisa dipakai lagi...","Netral"
"Aplikasinya sangat mudah di gunakan tambah bagus dan tidak lemot","Positif"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","Positif"
"Setelah update malah lemot, susah melakukan pemesanan, tolong diperbaiki","Negatif"
"Ko tiba tiba update kaget ama logo dan mana barunya tapi jadi makin lancar sihh","Positif"
"Bagus versi baru.... jadi lebih mudah dan lengkap... Terus tingkatkan efisiensi dan kurang bug...","Konflik"
"lag banget, padahal internet bagus, tapi apk susah masuk, apalagi semenjak update","Konflik"
"Bagus nih, tampilan enak diliat, tapi di gua gak lemot kok tampilannya, enteng juga apk nya ga berat","Positif"
"Udah bisapake Qris di kai access aya suka dengan pembayaran Qris jadi lebih simpel ditambah uga aplikasinya makin satset","Positif"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","Negatif"
"Mudah dan gag ribet gag perlu antri dan nunggu loket bukak, cuma sayang H-7 sudah gag dapat kursi.","Konflik"
"Alamdulillah setelah update akses menjadi lebih lancar, tidak seperti pada aplikasi sebelumnya lemot. Saat memilih kursi timeout tdk perlu nunggu waktu lama & membuang waktu","Positif"
"Diupdate malah bisa beli tiket dg mudah... lancar terus... UI nya yg diperbaiki jg lebih keren... lebih baik dari versi yg lama.. versi yg baru bagus banget performanya..","Positif"
"Setelah update aplikasi jadi lemot sekali, sering tiba-tiba log out sendiri, susah saat mau membeli tiket dan menyulitkan saat boarding","Negatif"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","Negatif"
"Setelah update malah lemot, susah melakukan pemesanan, tolong diperbaiki","Negatif"
"Setelah update jadi lancar, tapi tampilan antarmukanya bagusan yang sebelumnya","Positif"
"Woi admin balikin ke aplikasi lama lah.. lemot banget aplikasi update baru.. Setelah update malah makin tdk user friendly, filter hanya ada 1 pilihan (dulu bisa by waktu, harga, dan kelas), pilih kursi juga hrs scroll atas bawah (dulu 1 layar tampak semua), hadeuh bukannya makin maju","Negatif"
"Fitur memang makin lengkap,namun saat di operasikan sangat lemoot sekali dalam fitur pembelian tiket kereta dan pengecekan tiket kereta.masih bagusan yang sebelum updateðŸ¥²","Konflik"
"Lebih enak versi lama","Konflik"
"Versi terbaru, tapi makin buruk. Login via email dan no hp tetap aja muter sampe berkecambah","Negatif"
"Diupgrade malah tambah lancar,dari proses login sampe pambayran tiket","Positif"
