,ulasan,label
0,poin review kai access access by kai mencolok opsi railfood layanan masuk biarkan dipesan efisien raya trafic padat dikejar pemilihan kursi denah kursi scroll ramah penggunaan kiga opsi gerbong dibawah,Negatif
1,fiturny sepaket lemotnya ampun,Positif
2,fiturnya ribet membingungkan simpel,Negatif
3,aduh repot banget hilang masuk akun,Negatif
4,barunya error pesan gabisa gara bayar time out klik time out logout uninstall ulang tetep gabisa hapus akun gabisa alasannya perjalanan blm selesai beli gabisa gimana solusinya susah beli nyuruh adek pakai akunnya,Negatif
5,update lemot log out susah membeli menyulitkan boarding,Negatif
6,update otomatis kereta habis ditampilin habis ditampilin kirain tersedia,Negatif
7,ribet orang tua menyusahkan ui ux sederhana,Negatif
8,lumayan membantu membeli kereta api admin lancar jg kendala update membernya susah oadahal datanya sesuai bagus padahaka sblmnya udah banget pesen tiketnya,Negatif
9,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif
10,aplikasinya update tp update jadwal kereta,Negatif
11,update terbaru terbaru bukanya memperbaiki mempersulit udah habis ngapain nongol lbh suka simpel beribet,Negatif
12,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif
13,membantu mencari informasi jadwal ka promo,Positif
14,diupdate mudah aplikasinya lemot mudah cek menyelesaikan step by step isi data penumpang update terbaru membantu puas,Positif
15,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Negatif
16,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Positif
17,ui update terbaru sangan menyenangkan ka lokal kota ka bandara komputer terpisah menunya kebih mudah cepat railfood,Positif
18,lancarr hp ku spek lumayan lo gatau orang orang bilanylemot banget lancar promo hotel jug,Positif
19,tujuannya nampilin promo tp tersedia bagus mudah versi,Negatif
20,updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai susah,Negatif
21,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif
22,senang pembaruan kai accesa update no hp gagal terbaru membantu pengguna performanya canggih cepet,Positif
23,aplikasinya kebanyakan fiture jembot kebanyakan kreatif aplikasinya sampe gabisa pakai,Negatif
24,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif
25,ngga cek jadwal krl rumit simple versi,Negatif
26,update lemot banget logout pas masuk jdi gk masuk keterangan failed request udah pake kai acces tolong donk pake aplikasinya simpel mudah akses susah gini,Negatif
27,meng operasikan mending offline aj tiadakan offline,Negatif
28,lemot masuk menu lemot kadang akun log out masuk log in,Negatif
29,abis update tampikan bagus lancar mw cari gampang,Positif
30,tolong atuh perbaiki kualitas pake ditingkatkan akun trs susah login loading banget ampun,Negatif
31,kali kecewa update terbaru bagus lambat login nunggu pesan susah mohon solusinya,Negatif
32,cari menyusahkan drop down available versi sblm sorting available harga tersorting judul saran dikembalikan versi,Negatif
33,fiturny sepaket lemotnya ampun,Positif
34,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Positif
35,segi performa kai accsess terbaru lbih seblumnya booking tiekt mudah bayarnya pake qris fiturbuat pesen hotel lengkap,Positif
36,segi performa kai accsess terbaru lbih seblumnya booking tiekt mudah bayarnya pake qris fiturbuat pesen hotel lengkap,Positif
37,kali kecewa update terbaru bagus lambat login nunggu pesan susah mohon solusinya,Negatif
38,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Positif
39,pilihannya gabusa terakses running versi merugikan konsumen mendesak butuh reshcedulle gabisa coba telpon service center solusi coba manual unistall download install gabisa perhatian,Negatif
40,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Negatif
41,unggulan terbarunya menarik thanks kai aplikasinya bagus lancar trouble,Positif
42,update otomatis kereta habis ditampilin habis ditampilin kirain tersedia,Negatif
43,izin kendala pendaftaran member kode menekan tombol lanjutkan pikir sinyal alhasil susah beli harua daftar member,Negatif
44,updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai susah,Negatif
45,update colourfull lengkap jadwal commuterline suka versi kai performnya meningkt cepet,Positif
46,fiturnya ribet membingungkan simpel,Negatif
47,cari menyusahkan drop down available versi sblm sorting available harga tersorting judul saran dikembalikan versi,Negatif
48,kai pay scan qr berfungsi scan qr salah aplikasinya salah ads saldo lumayan disitu sisa pembelian,Negatif
49,fiturny sepaket lemotnya ampun,Positif
50,sepenuhnya memudahkan proses boarding ktp pengecekan gunanya mengisi data pribadi akun ribet cek ktp berguna tambahan ribet pilih kereta beda menyesal upgrade access kai,Negatif
51,abis tampilin listnya bingung tap persatu habis list,Negatif
52,update mudah login butuh login keren app terupdatenya,Positif
53,barunya error pesan gabisa gara bayar time out klik time out logout uninstall ulang tetep gabisa hapus akun gabisa alasannya perjalanan blm selesai beli gabisa gimana solusinya susah beli nyuruh adek pakai akunnya,Negatif
54,fiturnya ribet membingungkan simpel,Negatif
55,sepenuhnya memudahkan proses boarding ktp pengecekan gunanya mengisi data pribadi akun ribet cek ktp berguna tambahan ribet pilih kereta beda menyesal upgrade access kai,Negatif
56,update login aman cek aman smooth hpku kentang lho,Positif
