,ulasan,label
0,kaai acces sya udah pesen bayar pke qris dana memudahkan banget,Positif
1,udah bisapake qris kai access aya suka qris simpel ditambah uga aplikasinya satset,Positif
2,barunya error pesan gabisa gara bayar time out klik time out logout uninstall ulang tetep gabisa hapus akun gabisa alasannya perjalanan blm selesai beli gabisa gimana solusinya susah beli nyuruh adek pakai akunnya,Negatif
3,diupdate beli mudah lancar ui diperbaiki jg keren versi versi bagus banget performanya,Positif
4,solusi pembelian kereta api mudah,Positif
5,upgrade bagus lancar pake qris lancar,Positif
6,diperbarui garibet pesen lemot lbih mudah beli skrng hhh seblumnya thx,Positif
7,bagusan desain elegan simple prank lambat bingung diperbaiki kualitasnya ewallet ditambah opsinya dll,Konflik
8,apk versi suka udah masuk versi lancr mduah cari pesen tiektnya,Positif
9,upate masuk sesi bru msuk sesi pilihan kursi halaman kadaluarsa,Konflik
10,saran pengurus kai zaman modern digital serba cepat batal pengembalian dana nunggu setahun tf dana,Negatif
11,update user friendly ribet qris udah detect bayar perlua laama bayarnya cpeet langsugn sleesai,Positif
12,lambat banget proses cek tiketnya makan sampe menit cuman beli menit cmn buka untung kejar keretanya,Negatif
13,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Positif
14,beli koo bayarnya dobel isi saldo kai pay harga kereta api lokal beli orng saldo tinggal dobel begituu tolonggg kai kejelasaannya,Negatif
15,ok banget sayang metode dibatasi kartu debit mandiri ovo mohon tambahin ewallet gopay dana debit bri mandiri bca,Negatif
16,update lancar bangettt rada lemot pesen bayrnya lbh mudah skrang,Positif
17,proses lokal cepat banget ovo mudah,Positif
18,updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai susah,Negatif
19,lemot bgtttt abis upgrade tp kualitas downgrade bolak tinggal bayar lemotnya maasyaaallah apasi,Negatif
20,penggunaan kai acces terbaru memuaskan karna system responsif double payment kai pay niat merefresh tolong dibenahi consumen mengalami menyenangkan terima kasih,Negatif
