,ulasan,label
0,poin review kai access access by kai mencolok opsi railfood layanan masuk biarkan dipesan efisien raya trafic padat dikejar pemilihan kursi denah kursi scroll ramah penggunaan kiga opsi gerbong dibawah,Negatif
1,kaai acces sya udah pesen bayar pke qris dana memudahkan banget,Positif
2,pake pesan gagal diaplikasi berhasil dna cepet lemot,Positif
3,update lemot susah tolong diperbaiki,Negatif
4,mudah gag ribet gag antri nunggu loket bukak sayang gag kursi,Konflik
5,alamdulillah update akses lancar lemot memilih kursi timeout nunggu membuang,Positif
6,udah update ui kualitas buruk lihat jadwal krl jalur rangkas tanah abang,Negatif
7,bagus lancar pemuda pesan,Positif
8,update lemot log out susah membeli menyulitkan boarding,Negatif
9,mempermudah mempersulit kasian orang awam apk kai access,Negatif
10,update lemot susah tolong diperbaiki,Negatif
11,lumayan membantu membeli kereta api admin lancar jg kendala update membernya susah oadahal datanya sesuai bagus padahaka sblmnya udah banget pesen tiketnya,Positif
12,udah update ui kualitas buruk lihat jadwal krl jalur rangkas tanah abang,Negatif
13,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
14,ok cepat lgsung,Positif
15,apk versi suka udah masuk versi lancr mduah cari pesen tiektnya,Positif
16,upate masuk sesi bru msuk sesi pilihan kursi halaman kadaluarsa,Konflik
17,saran pengurus kai zaman modern digital serba cepat batal pengembalian dana nunggu setahun tf dana,Negatif
18,lancar pesen ka lokal gampang,Positif
19,mempermudah mempersulit kasian orang awam apk kai access,Negatif
20,perbaikin apknya bagus pesan ka lokal mudah dripada,Positif
21,emang have fun and youth fasilitas berfungsi namanya spesial orang mudah mencari kai access nama kai access keren spesial identitas pesan kereta api access maknanya revamp revamp aneh gitu inget stasiun lupa jalan akses aneh mmm kayak livin by mandiri,Negatif
22,semejak update pesen kreta loadingnya banget parahhhh ketinggalan kreta gara gara pesen loadingnya gila banget kecewaaaa,Negatif
23,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif
24,melatarbelakangi pergantian kai access access by kai sumpah kecewa banget kualitas upgrade downgrade pesen lelet menambah daftar penumpang loading banget tolong tampilannya ubah access kemudahannya ditingkatkan secepatnya diperbaiki maaf,Konflik
25,update lancar bangettt rada lemot pesen bayrnya lbh mudah skrang,Positif
26,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif
27,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
28,bermanfaat mudah memesan kereta dibanding pake apk online,Positif
29,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
30,update bermasalah login pengisian kode otp loading menunggu block jam masukkan kode otp qris kode qris kunjung muncul bayar jenis kelamin diubah direfresh jenis kelamin salah tertukar laki perempuan penumpang,Negatif
31,kereta api bookingnya mudah aplikase lancar,Positif
32,update lancar bangettt rada lemot pesen bayrnya lbh mudah skrang,Positif
33,kali kecewa update terbaru bagus lambat login nunggu pesan susah mohon solusinya,Negatif
34,pesan kereta lokal susah waktusesi habis,Netral
35,males pkenya update msuk loading ribet msen ge,Negatif
36,pake pesan gagal diaplikasi berhasil dna cepet lemot,Positif
37,semejak update pesen kreta loadingnya banget parahhhh ketinggalan kreta gara gara pesen loadingnya gila banget kecewaaaa,Negatif
38,kali kecewa update terbaru bagus lambat login nunggu pesan susah mohon solusinya,Negatif
39,interface ramah update ngga suka bgtt mata sakit menarik untung lancar pesen mudah bayarnya pake ovo user ovo bangwt,Positif
40,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Negatif
41,bermanfaat mudah memesan kereta dibanding pake apk online,Positif
42,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
43,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif
44,mohon maaf update akses lambat memilih kursi timeout menunggu menghabiskan,Negatif
45,alamdulillah update akses lancar lemot memilih kursi timeout nunggu membuang,Positif
46,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
47,canggih ni apk sekarng pesen gausah nulis nama nama masuk keseimpen tinggal nambahin,Positif
48,izin kendala pendaftaran member kode menekan tombol lanjutkan pikir sinyal alhasil susah beli harua daftar member,Negatif
49,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
50,pesan loading banget pas dibatalkan pesan kursi tersedia,Negatif
51,lihat jadwal kereta pesan udah lbih mudah sblmnya lemottt parah pdhal lgi urgent,Positif
52,gini lancar severny kemaren koneksinya timeout diplikasi pesen,Positif
53,upgrade susah mesen tiketnya pesan metode link hp udah terpasang aplikasinya tp disuruh download,Negatif
54,males pkenya update msuk loading ribet msen ge,Negatif
55,proses ribet memakan versi,Negatif
56,pesan rebahan mudah pilih kursi sesuai selera,Positif
57,mempermudah mempersulit kasian orang awam apk kai access,Negatif
58,setelag update lemot fiturnya dibeli bufferingnya menyebabkan menunggu dipenukaran cetak boarding kereta membeli tiker kotapun lemot bufferingnya dicoba internal kai langsung main update maksimal,Negatif
59,ok cepat lgsung,Positif
60,oke sistem lemot banget kukira jaringan lemot sampe restart hp berkali kali pesen seribet mending,Netral
61,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
62,kai update otomatis hp seltah buka ccoba versi barunya emang user freandly syaa langsung pesan untk kebernagkatan surabaya commuterline pencarian bayarnya mudah bettt lancar suwun kai,Positif
63,apknya udah lemott satset jg suka pesen pilih kursinya enak versi skarang,Positif
64,poin review kai access access by kai mencolok opsi railfood layanan masuk biarkan dipesan efisien raya trafic padat dikejar pemilihan kursi denah kursi scroll ramah penggunaan kiga opsi gerbong dibawah,Negatif
65,mudah cari pesen kemarin udah transaksi qris sukses besok pp memudahkan bingung,Positif
66,kaai acces sya udah pesen bayar pke qris dana memudahkan banget,Positif
67,mudah cari pesen kemarin udah transaksi qris sukses besok pp memudahkan bingung,Positif
68,poin review kai access access by kai mencolok opsi railfood layanan masuk biarkan dipesan efisien raya trafic padat dikejar pemilihan kursi denah kursi scroll ramah penggunaan kiga opsi gerbong dibawah,Negatif
69,kai access pembaruan pas pesen aplikasinya lancar banget,Positif
70,poin review kai access access by kai mencolok opsi railfood layanan masuk biarkan dipesan efisien raya trafic padat dikejar pemilihan kursi denah kursi scroll ramah penggunaan kiga opsi gerbong dibawah,Negatif
71,diperbarui mempersulit bayar pakai ewallet gagal mending dikembalikan kesebelumya lancar,Konflik
72,samsung pro slide lihat jadwal pesan duduk kereta pesan tolong bantu akses hp layar,Netral
73,susah bs pesan klik bagus versi,Negatif
74,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
75,apk versi suka udah masuk versi lancr mduah cari pesen tiektnya,Positif
76,kai update otomatis hp seltah buka ccoba versi barunya emang user freandly syaa langsung pesan untk kebernagkatan surabaya commuterline pencarian bayarnya mudah bettt lancar suwun kai,Positif
77,saran pengurus kai zaman modern digital serba cepat batal pengembalian dana nunggu setahun tf dana,Negatif
78,semenjak update udah ngak lemot membingungkan kereta penuh muncul untungnya pesen bayar aman gampang bgt,Positif
79,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
80,proses ribet memakan versi,Negatif
81,berubah aplikasinya cek membutuhkan proses loading,Negatif
82,error daftar pesanan kosong upgrade gagal numbid ready harga promo pesan diupgrade,Negatif
83,sortiran msh bagus sblmnya bs sort kelas kursi,Konflik
84,setelag update lemot fiturnya dibeli bufferingnya menyebabkan menunggu dipenukaran cetak boarding kereta membeli tiker kotapun lemot bufferingnya dicoba internal kai langsung main update maksimal,Negatif
85,izin kendala pendaftaran member kode menekan tombol lanjutkan pikir sinyal alhasil susah beli harua daftar member,Negatif
86,mudah cari pesen kemarin udah transaksi qris sukses besok pp memudahkan bingung,Positif
87,kaai acces sya udah pesen bayar pke qris dana memudahkan banget,Positif
88,ok cepat lgsung,Positif
89,akses eror gara eror manual stasiun,Negatif
90,error daftar pesanan kosong upgrade gagal numbid ready harga promo pesan diupgrade,Negatif
91,menyarankan mengembalikan antarmuka update sulit membedakan habis,Netral
92,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Negatif
