,ulasan,label,ulasan_token
0,semenjak aplikasinya update lemot,Negatif,"['semenjak', 'aplikasinya', 'update', 'lemot']"
1,dipakai,Netral,['dipakai']
2,aplikasinya mudah bagus lemot,Positif,"['aplikasinya', 'mudah', 'bagus', 'lemot']"
3,pake pesan gagal diaplikasi berhasil dna cepet lemot,Positif,"['pake', 'pesan', 'gagal', 'diaplikasi', 'berhasil', 'dna', 'cepet', 'lemot']"
4,update lemot susah tolong diperbaiki,Negatif,"['update', 'lemot', 'susah', 'tolong', 'diperbaiki']"
5,ko update kaget ama logo barunya lancar,Positif,"['ko', 'update', 'kaget', 'ama', 'logo', 'barunya', 'lancar']"
6,bagus versi mudah lengkap tingkatkan efisiensi bug,Konflik,"['bagus', 'versi', 'mudah', 'lengkap', 'tingkatkan', 'efisiensi', 'bug']"
7,lag banget internet bagus apk susah masuk semenjak update,Konflik,"['lag', 'banget', 'internet', 'bagus', 'apk', 'susah', 'masuk', 'semenjak', 'update']"
8,bagus enak diliat gua lemot tampilannya enteng apk berat,Positif,"['bagus', 'enak', 'diliat', 'gua', 'lemot', 'tampilannya', 'enteng', 'apk', 'berat']"
9,udah bisapake qris kai access aya suka qris simpel ditambah uga aplikasinya satset,Positif,"['udah', 'bisapake', 'qris', 'kai', 'access', 'aya', 'suka', 'qris', 'simpel', 'ditambah', 'uga', 'aplikasinya', 'satset']"
10,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif,"['lemooooooooooooottttttt', 'bangettttttttt', 'buka', 'loadingnya', 'jaringan', 'bangus', 'aplikasinya', 'upgrade', 'buka', 'masukin', 'otp', 'email', 'sms', 'kasih', 'otp']"
11,mudah gag ribet gag antri nunggu loket bukak sayang gag kursi,Konflik,"['mudah', 'gag', 'ribet', 'gag', 'antri', 'nunggu', 'loket', 'bukak', 'sayang', 'gag', 'kursi']"
12,alamdulillah update akses lancar lemot memilih kursi timeout nunggu membuang,Positif,"['alamdulillah', 'update', 'akses', 'lancar', 'lemot', 'memilih', 'kursi', 'timeout', 'nunggu', 'membuang']"
13,diupdate beli mudah lancar ui diperbaiki jg keren versi versi bagus banget performanya,Positif,"['diupdate', 'beli', 'mudah', 'lancar', 'ui', 'diperbaiki', 'jg', 'keren', 'versi', 'versi', 'bagus', 'banget', 'performanya']"
14,update lemot log out susah membeli menyulitkan boarding,Negatif,"['update', 'lemot', 'log', 'out', 'susah', 'membeli', 'menyulitkan', 'boarding']"
15,update lemot susah tolong diperbaiki,Negatif,"['update', 'lemot', 'susah', 'tolong', 'diperbaiki']"
16,update lancar antarmukanya bagusan,Positif,"['update', 'lancar', 'antarmukanya', 'bagusan']"
17,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif,"['admin', 'balikin', 'lemot', 'banget', 'update', 'update', 'user', 'friendly', 'filter', 'pilihan', 'by', 'harga', 'kelas', 'pilih', 'kursi', 'hrs', 'scroll', 'layar', 'hadeuh', 'maju']"
18,lengkap operasikan lemoot pembelian kereta pengecekan kereta bagusan update,Konflik,"['lengkap', 'operasikan', 'lemoot', 'pembelian', 'kereta', 'pengecekan', 'kereta', 'bagusan', 'update']"
19,enak versi,Konflik,"['enak', 'versi']"
20,versi terbaru buruk login via email no hp muter sampe berkecambah,Negatif,"['versi', 'terbaru', 'buruk', 'login', 'via', 'email', 'no', 'hp', 'muter', 'sampe', 'berkecambah']"
21,diupgrade lancar proses login sampe pambayran,Positif,"['diupgrade', 'lancar', 'proses', 'login', 'sampe', 'pambayran']"
