,ulasan,label
0,poin review kai access access by kai mencolok opsi railfood layanan masuk biarkan dipesan efisien raya trafic padat dikejar pemilihan kursi denah kursi scroll ramah penggunaan kiga opsi gerbong dibawah,Negatif
1,memudahkan,Positif
2,bagus versi mudah lengkap tingkatkan efisiensi bug,Konflik
3,bagus enak diliat gua lemot tampilannya enteng apk berat,Positif
4,diupdate beli mudah lancar ui diperbaiki jg keren versi versi bagus banget performanya,Positif
5,mempermudah mempersulit kasian orang awam apk kai access,Negatif
6,ribet orang tua menyusahkan ui ux sederhana,Negatif
7,mata nyaman warna biru khas kai ungu,Negatif
8,update lancar antarmukanya bagusan,Negatif
9,udah update ui kualitas buruk lihat jadwal krl jalur rangkas tanah abang,Negatif
10,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif
11,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
12,bagus mudah nyaman,Positif
13,versi terbaru buruk login via email no hp muter sampe berkecambah,Negatif
14,update terbaru terbaru bukanya memperbaiki mempersulit udah habis ngapain nongol lbh suka simpel beribet,Negatif
15,bagusan desain elegan simple prank lambat bingung diperbaiki kualitasnya ewallet ditambah opsinya dll,Konflik
16,ok cepat lgsung,Positif
17,bagus tp loadingnya mending versi simpel tp cepet,Konflik
18,mempermudah mempersulit kasian orang awam apk kai access,Negatif
19,update user friendly ribet qris udah detect bayar perlua laama bayarnya cpeet langsugn sleesai,Positif
20,update lancar buka aplikasinya langsung satset tpi antarmukanya bagusan,Negatif
21,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Negatif
22,simple,Negatif
23,terupdate otomatis tampilannya skrg ribet bingung simpel update mempermudah,Negatif
24,emang have fun and youth fasilitas berfungsi namanya spesial orang mudah mencari kai access nama kai access keren spesial identitas pesan kereta api access maknanya revamp revamp aneh gitu inget stasiun lupa jalan akses aneh mmm kayak livin by mandiri,Positif
25,ui update terbaru sangan menyenangkan ka lokal kota ka bandara komputer terpisah menunya kebih mudah cepat railfood,Positif
26,ok banget sayang metode dibatasi kartu debit mandiri ovo mohon tambahin ewallet gopay dana debit bri mandiri bca,Positif
27,enakan aplikasinya lancar emot seger ngebosenin,Positif
28,ok cepat lgsung,Positif
29,admin balikin lemot banget update update user friendly filter pilihan by harga kelas pilih kursi hrs scroll layar hadeuh maju,Negatif
30,gimana temen gnti jadwal kereta tnpa stasiun gnti,Konflik
31,suka app,Negatif
32,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
33,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
34,abis update tampikan bagus lancar mw cari gampang,Positif
35,ui ux elit backend sulit,Positif
36,cari menyusahkan drop down available versi sblm sorting available harga tersorting judul saran dikembalikan versi,Negatif
37,update user friendly ribet qris udah detect bayar perlua laama bayarnya cpeet langsugn sleesai,Positif
38,terupdate otomatis tampilannya skrg ribet bingung simpel update mempermudah,Negatif
39,interface ramah update ngga suka bgtt mata sakit menarik untung lancar pesen mudah bayarnya pake ovo user ovo bangwt,Negatif
40,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Positif
41,keren mudah deh pesan bepergian semangat sahabat kai,Positif
42,update segi ui bagus eror,Positif
43,aplikasinya mempermudah bagus,Positif
44,diupdate beli mudah lancar ui diperbaiki jg keren versi versi bagus banget performanya,Positif
45,iya lancar efektif pemilihan kursi kursi mending efektif efisien,Negatif
46,unggulan terbarunya menarik thanks kai aplikasinya bagus lancar trouble,Positif
47,update parah bug loading lemot update data nik berubah gmn team,Negatif
48,buruk,Negatif
49,update colourfull lengkap jadwal commuterline suka versi kai performnya meningkt cepet,Positif
50,cari menyusahkan drop down available versi sblm sorting available harga tersorting judul saran dikembalikan versi,Negatif
51,gini lancar severny kemaren koneksinya timeout diplikasi pesen,Konflik
52,upgrade susah mesen tiketnya pesan metode link hp udah terpasang aplikasinya tp disuruh download,Konflik
53,bagus benr bagus performa,Positif
