,ulasan,label
0,aplikasinya mudah bagus lemot,Positif
1,lag banget internet bagus apk susah masuk semenjak update,Konflik
2,fiturnya ribet membingungkan simpel,Negatif
3,bagus enak diliat gua lemot tampilannya enteng apk berat,Positif
4,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif
5,barunya error pesan gabisa gara bayar time out klik time out logout uninstall ulang tetep gabisa hapus akun gabisa alasannya perjalanan blm selesai beli gabisa gimana solusinya susah beli nyuruh adek pakai akunnya,Negatif
6,udah update ui kualitas buruk lihat jadwal krl jalur rangkas tanah abang,Negatif
7,bagus lancar pemuda pesan,Positif
8,update otomatis kereta habis ditampilin habis ditampilin kirain tersedia,Negatif
9,ribet orang tua menyusahkan ui ux sederhana,Negatif
10,upgrade bagus lancar pake qris lancar,Positif
11,update terbaru terbaru bukanya memperbaiki mempersulit udah habis ngapain nongol lbh suka simpel beribet,Negatif
12,sekelas pemerintah jeleknya ampun server jelek,Negatif
13,diperbarui garibet pesen lemot lbih mudah beli skrng hhh seblumnya thx,Positif
14,pusing pakek kai acces saran pertahankan kasiancalon pnp tua,Konflik
15,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif
16,membantu mencari informasi jadwal ka promo,Positif
17,lancar pesen ka lokal gampang,Positif
18,perbaikin apknya bagus pesan ka lokal mudah dripada,Positif
19,bagus lancar,Positif
20,butuh ma akses kereta males bgt make app minggu loading trs eror trs org buru bner bkin emosi pas nyampe stasiun disuruh loket loket disuruh petugas dpn bner nyebelin bgt sampe ketinggalan jadwal kereta lg buru org gbs beli diloket benerin app ngerugiin orang,Negatif
21,cepat senyap simpel joooooooozzz berangkat,Positif
22,hah gabisa dibuka samsek daritadi buka muncul logone tok berfungsi samsek,Negatif
23,diupdate mudah aplikasinya lemot mudah cek menyelesaikan step by step isi data penumpang update terbaru membantu puas,Positif
24,rekomendasi pake palikasi praktis buang dipake bener efisien tolong kai diperbaiki,Negatif
25,terupdate otomatis tampilannya skrg ribet bingung simpel update mempermudah,Negatif
26,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif
27,diupdate jdi lancar kasih bintang deh,Positif
28,tujuannya nampilin promo tp tersedia bagus mudah versi,Negatif
29,bagus lancar banget versi terbaru,Positif
30,updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai susah,Negatif
31,kemudahan customer update an bintang update an terbarunya kai udah lemot jos mantp is best lancar jaya suka terbaru mudah dimengerti customer pengguna,Positif
32,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif
33,senang pembaruan kai accesa update no hp gagal terbaru membantu pengguna performanya canggih cepet,Positif
34,aplikasinya kebanyakan fiture jembot kebanyakan kreatif aplikasinya sampe gabisa pakai,Negatif
35,penggunaan kai acces terbaru memuaskan karna system responsif double payment kai pay niat merefresh tolong dibenahi consumen mengalami menyenangkan terima kasih,Negatif
36,byk plusnya metode jg banyk beli mudah bgt lacar jg,Positif
37,bagus cm kurangnya mencari hotel memilih bintang hotel,Konflik
38,meng operasikan mending offline aj tiadakan offline,Negatif
39,bermanfaat mudah memesan kereta dibanding pake apk online,Positif
40,masuk lancar bgt proses lancar butuh cepet super lancar,Positif
41,oke aplikasinya semoga ditingkatkan,Positif
42,tolong atuh perbaiki kualitas pake ditingkatkan akun trs susah login loading banget ampun,Negatif
43,ui ux elit backend sulit,Negatif
44,cari menyusahkan drop down available versi sblm sorting available harga tersorting judul saran dikembalikan versi,Negatif
45,terupdate otomatis tampilannya skrg ribet bingung simpel update mempermudah,Negatif
46,males pkenya update msuk loading ribet msen ge,Negatif
47,ribet pake kaipay mempermudah user kai pesen tikt fiturbarunya satset parah,Netral
48,pake pesan gagal diaplikasi berhasil dna cepet lemot,Netral
49,diperbarui garibet pesen lemot lbih mudah beli skrng hhh seblumnya thx,Positif
50,good jobs,Netral
51,bermanfaat mudah memesan kereta dibanding pake apk online,Positif
52,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
53,pilihannya gabusa terakses running versi merugikan konsumen mendesak butuh reshcedulle gabisa coba telpon service center solusi coba manual unistall download install gabisa perhatian,Negatif
54,keren mudah deh pesan bepergian semangat sahabat kai,Positif
55,update segi ui bagus eror,Negatif
56,aplikasinya mempermudah bagus,Positif
57,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif
58,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif
59,unggulan terbarunya menarik thanks kai aplikasinya bagus lancar trouble,Positif
60,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
61,update bagus bagus tema warna gelap,Positif
62,canggih ni apk sekarng pesen gausah nulis nama nama masuk keseimpen tinggal nambahin,Positif
63,update otomatis kereta habis ditampilin habis ditampilin kirain tersedia,Negatif
64,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
65,updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai susah,Negatif
66,fiturnya ribet membingungkan simpel,Negatif
67,cari menyusahkan drop down available versi sblm sorting available harga tersorting judul saran dikembalikan versi,Negatif
68,membantu manteb pokoknya,Positif
69,bagus benr bagus performa,Positif
70,males pkenya update msuk loading ribet msen ge,Negatif
71,sepenuhnya memudahkan proses boarding ktp pengecekan gunanya mengisi data pribadi akun ribet cek ktp berguna tambahan ribet pilih kereta beda menyesal upgrade access kai,Negatif
72,reduksi harga dihilangkan lemot ciri khas bumn bgt,Negatif
73,tolong banget gangguannya please fix,Negatif
74,update mudah login butuh login keren app terupdatenya,Positif
75,downgrade upgrade bad,Negatif
76,updetan versi terbaru bner bagus deh galemot banget sanagat memudhakan versi,Positif
77,pesan rebahan mudah pilih kursi sesuai selera,Positif
78,barunya error pesan gabisa gara bayar time out klik time out logout uninstall ulang tetep gabisa hapus akun gabisa alasannya perjalanan blm selesai beli gabisa gimana solusinya susah beli nyuruh adek pakai akunnya,Negatif
79,lemooooooooooooottttttt bangettttttttt buka loadingnya jaringan bangus aplikasinya upgrade buka masukin otp email sms kasih otp,Negatif
80,update bagus buriq,Negatif
81,byk plusnya metode jg banyk beli mudah bgt lacar jg,Positif
82,verifikasi kaipay kode otp muncul kaspro id kerja suka lemot,Konflik
83,membantu,Positif
