,kalimat,kalimat_token
300,coba dihilangkan aja fitur yang nggak relate sama kai kayak beli paket data pulsa dan token listrik biar aplikasi ini semakin efisien dan mengurangi beban server juga sehingga nggak overload ketika lagi banyak yang ngakses atau war tiket,"['coba', 'dihilangkan', 'aja', 'fitur', 'yang', 'nggak', 'relate', 'sama', 'kai', 'kayak', 'beli', 'paket', 'data', 'pulsa', 'dan', 'token', 'listrik', 'biar', 'aplikasi', 'ini', 'semakin', 'efisien', 'dan', 'mengurangi', 'beban', 'server', 'juga', 'sehingga', 'nggak', 'overload', 'ketika', 'lagi', 'banyak', 'yang', 'ngakses', 'atau', 'war', 'tiket']"
608,performany sedikit lebih baik darisebelumnya,"['performany', 'sedikit', 'lebih', 'baik', 'darisebelumnya']"
249,sebelumnya saya sudah beli tiket pake aplikasi lama trus saya cek di aplikasi tiket saya ilang tuh pertanggungjawabannya gimana,"['sebelumnya', 'saya', 'sudah', 'beli', 'tiket', 'pake', 'aplikasi', 'lama', 'trus', 'saya', 'cek', 'di', 'aplikasi', 'tiket', 'saya', 'ilang', 'tuh', 'pertanggungjawabannya', 'gimana']"
163,ternyata tidak sepenuhnya memudahkan proses boarding tetap diminta ktp untuk pengecekan apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek ktp aplikasi tidak berguna tambahan tampilan juga bikin ribet kalo mau pilih kereta beda dengan aplikasi sebelumnya jadi menyesal upgrade ke access kai,"['ternyata', 'tidak', 'sepenuhnya', 'memudahkan', 'proses', 'boarding', 'tetap', 'diminta', 'ktp', 'untuk', 'pengecekan', 'apa', 'gunanya', 'kita', 'mengisi', 'data', 'pribadi', 'saat', 'buat', 'akun', 'kalo', 'hanya', 'bikin', 'ribet', 'cek', 'ktp', 'aplikasi', 'tidak', 'berguna', 'tambahan', 'tampilan', 'juga', 'bikin', 'ribet', 'kalo', 'mau', 'pilih', 'kereta', 'beda', 'dengan', 'aplikasi', 'sebelumnya', 'jadi', 'menyesal', 'upgrade', 'ke', 'access', 'kai']"
462,setelah di upgrade malah jadi lancar aplikasi nya buka jadwal pembayaran malah jadi lebih cepet,"['setelah', 'di', 'upgrade', 'malah', 'jadi', 'lancar', 'aplikasi', 'nya', 'buka', 'jadwal', 'pembayaran', 'malah', 'jadi', 'lebih', 'cepet']"
42,diperbarui makin bagus lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga,"['diperbarui', 'makin', 'bagus', 'lancar', 'trus', 'fiturnya', 'juga', 'banyak', 'dan', 'lengkap', 'jadi', 'pesen', 'tiket', 'kereta', 'bisa', 'seklain', 'pesen', 'hotel', 'beli', 'kuota', 'internet', 'juga']"
73,malah semakin bagus dan lancar banget aplikasi nya di versi terbaru ini,"['malah', 'semakin', 'bagus', 'dan', 'lancar', 'banget', 'aplikasi', 'nya', 'di', 'versi', 'terbaru', 'ini']"
393,di update bukannya makin bagus malah makin buruk tidak se simpel praktis dulu banyak iklan,"['di', 'update', 'bukannya', 'makin', 'bagus', 'malah', 'makin', 'buruk', 'tidak', 'se', 'simpel', 'praktis', 'dulu', 'banyak', 'iklan']"
66,wahh tampilan nya sekarang ok banget cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama ovo mohon tambahin dong ewallet gopay dan dana terus debit bri mandiri sama bca,"['wahh', 'tampilan', 'nya', 'sekarang', 'ok', 'banget', 'cuma', 'sayang', 'metode', 'pembayaran', 'masih', 'dibatasi', 'kartu', 'debit', 'mandiri', 'sama', 'ovo', 'mohon', 'tambahin', 'dong', 'ewallet', 'gopay', 'dan', 'dana', 'terus', 'debit', 'bri', 'mandiri', 'sama', 'bca']"
11,udah bisapake qris di kai access aya suka dengan pembayaran qris jadi lebih simpel ditambah uga aplikasinya makin satset,"['udah', 'bisapake', 'qris', 'di', 'kai', 'access', 'aya', 'suka', 'dengan', 'pembayaran', 'qris', 'jadi', 'lebih', 'simpel', 'ditambah', 'uga', 'aplikasinya', 'makin', 'satset']"
