,kalimat,kalimat_token
78,diperbarui makin bagus lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga,"['diperbarui', 'makin', 'bagus', 'lancar', 'trus', 'fiturnya', 'juga', 'banyak', 'dan', 'lengkap', 'jadi', 'pesen', 'tiket', 'kereta', 'bisa', 'seklain', 'pesen', 'hotel', 'beli', 'kuota', 'internet', 'juga']"
208,kai update otomatis di hp saya seltah saya buka dan ccoba versi barunya emang lebih user freandly syaa juga langsung pesan tiket untk kebernagkatan ke surabaya dg commuterline wah dari pencarian pemesanan dan bayarnya mudah bettt lancar suwun kai,"['kai', 'update', 'otomatis', 'di', 'hp', 'saya', 'seltah', 'saya', 'buka', 'dan', 'ccoba', 'versi', 'barunya', 'emang', 'lebih', 'user', 'freandly', 'syaa', 'juga', 'langsung', 'pesan', 'tiket', 'untk', 'kebernagkatan', 'ke', 'surabaya', 'dg', 'commuterline', 'wah', 'dari', 'pencarian', 'pemesanan', 'dan', 'bayarnya', 'mudah', 'bettt', 'lancar', 'suwun', 'kai']"
570,kalo dibandingin kai yg dulu sama sekarang beda bgt dari segi performa nya makin lancar dari pesen tiket bayarnya tmpilannya menarik juga ditambah fitur terbaru yg bermanfaat bangett menurut saya,"['kalo', 'dibandingin', 'kai', 'yg', 'dulu', 'sama', 'sekarang', 'beda', 'bgt', 'dari', 'segi', 'performa', 'nya', 'makin', 'lancar', 'dari', 'pesen', 'tiket', 'bayarnya', 'tmpilannya', 'menarik', 'juga', 'ditambah', 'fitur', 'terbaru', 'yg', 'bermanfaat', 'bangett', 'menurut', 'saya']"
181,sangat buruk saya telat menit uang gabisa di refund malah hangus jadi rbu cuman beli angin,"['sangat', 'buruk', 'saya', 'telat', 'menit', 'uang', 'gabisa', 'di', 'refund', 'malah', 'hangus', 'jadi', 'rbu', 'cuman', 'beli', 'angin']"
101,semenjak update aplikasi jd ringan dan lancar bet,"['semenjak', 'update', 'aplikasi', 'jd', 'ringan', 'dan', 'lancar', 'bet']"
158,jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket ge,"['jd', 'males', 'pkenya', 'setelah', 'update', 'ga', 'bisa', 'msuk', 'loading', 'terus', 'jd', 'ribet', 'mu', 'msen', 'tiket', 'ge']"
55,sejak diupdate malah makin mudah aplikasinya ga lemot lagi mudah sekali ketika cek tiket dan ketika menyelesaikan step by step setelah isi data penumpang update terbaru ini sangat membantu saya puas,"['sejak', 'diupdate', 'malah', 'makin', 'mudah', 'aplikasinya', 'ga', 'lemot', 'lagi', 'mudah', 'sekali', 'ketika', 'cek', 'tiket', 'dan', 'ketika', 'menyelesaikan', 'step', 'by', 'step', 'setelah', 'isi', 'data', 'penumpang', 'update', 'terbaru', 'ini', 'sangat', 'membantu', 'saya', 'puas']"
436,diupdate malah bisa beli tiket dg mudah lancar terus ui nya yg diperbaiki jg lebih keren lebih baik dari versi yg lama versi yg baru bagus banget performanya,"['diupdate', 'malah', 'bisa', 'beli', 'tiket', 'dg', 'mudah', 'lancar', 'terus', 'ui', 'nya', 'yg', 'diperbaiki', 'jg', 'lebih', 'keren', 'lebih', 'baik', 'dari', 'versi', 'yg', 'lama', 'versi', 'yg', 'baru', 'bagus', 'banget', 'performanya']"
135,setelah di update dan tampilan baru malah lebih parah bug ny loading lama lemot malah setelah update data nik berubah gmn ini team it ny,"['setelah', 'di', 'update', 'dan', 'tampilan', 'baru', 'malah', 'lebih', 'parah', 'bug', 'ny', 'loading', 'lama', 'lemot', 'malah', 'setelah', 'update', 'data', 'nik', 'berubah', 'gmn', 'ini', 'team', 'it', 'ny']"
218,selain apknya udah gak lemott lagi dan makin satset aku jg suka saat pesen tiket buat pilih kursinya lebih enak aja di versi skarang daripada dulu,"['selain', 'apknya', 'udah', 'gak', 'lemott', 'lagi', 'dan', 'makin', 'satset', 'aku', 'jg', 'suka', 'saat', 'pesen', 'tiket', 'buat', 'pilih', 'kursinya', 'lebih', 'enak', 'aja', 'di', 'versi', 'skarang', 'daripada', 'dulu']"
