,kalimat
300,"coba dihilangkan saja fitur yang enggak mengerti sama kai kayak beli paket data, pulsa dan token listrik biar aplikasi ini makin efisien dan mengurangi beban peladen juga sehingga enggak kelebihan ketika lagi banyak yang mengakses atau war tiket."
608,"performanya sedikit lebih baik dari sebelumnya,"
249,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
163,"ternyata tidak sepenuhnya memudahkan proses pengembapan, tetap diminta ktp untuk pengecekan. apa gunanya kita mengisi data pribadi saat buat akun kalau hanya bikin ribet cek ktp? aplikasi tidak berguna. dyy = + - dyy = + - tambahan tampilan juga bikin ribet kalau mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal ditingkatkan ke access kaidyy = + - dyy = + -"
462,setelah ditingkatkan malah jadi lancar. aplikasinya buka jadwal / pembayaran malah jadi lebih cepat
42,"diperbarui makin bagus, lancar terus fiturnya juga banyak dan lengkap jadi pesan tiket kereta bisa selain pesan hotel beli kuota internet juga"
73,malah makin bagus dan lancar banget aplikasinya di versi terbaru ini.
393,diperbarui bukannya makin bagus malah makin buruk. tidak sesuai simpel praktis dahulu. banyak iklan.
66,"wah tampilannya sekarang oke banget. cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama ovo. mohon tambahkan dong wallet gopay dan dana. terus debit bri, mandiri, sama bca."
11,sudah bisa pakai qris di kai access aya kai akun ada suka dengan pembayaran qris jadi lebih simpel ditambah uga aplikasinya makin satset
364,"ditingkatkan malah tambah lancar, dari proses masuk sampai pambayran tiket"
155,"setelah ditingkatkan jadi susah pesan tiketnya, sering pesan dengan metode pembayaran tautan saja, padahal di telepon seluler sudah terpasang aplikasinya tetapi disuruh unduh"
551,aplikasi kaiacces ada perbarui makin simpel dan mempermudah. makin lancar dan enggak lambat juga
83,lebih suka tampilan aplikasi yang dahulu
275,"sudah perbarui, ui yang baru tetapi kualitas makin buruk. mau lihat jadwal kerlu dari jalur rangkas - tanah abang saja enggak bisa"
354,"pembaruan terbaru, tampilan terbaru, bukannya memperbaiki, malah mempersulit, tiket sudah habis untuk apa masih pada menongol. lebih suka tampilan yang lama, simpel dan tidak beribet"
