"ulasan","label"
"Tolong di perbaiki lagi aplikasi ini,sering logout sendiri,untuk mengakses jg sangat lama. Disappointed Terimakasih.","Negatif"
"Minta update mulu semenjak tampilan baru,i makin susah diakses dan jauh lebih ribet fiturnya","Negatif"
"Setelah update kenapa jadi susah buat cek tiket ??? Loading terus. Harus pakai waifi dulu baru bisa dibuka .. Tolong dong diperbaiki !!","Negatif"
"Setelah update saya tidak bisa menggunakan promo alumni ITB dan QRIS tidak terdeteksi","Negatif"
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","Negatif"
"Setelah update kaya fitur tapi lemot nya minta ampun, jauh sekali dari yang diharapkan, tolong lekas dibenahi","Positif"
"Habis update malah ribet dan sangat sangat lemot, tolong di benahi lagi apa karena masih baru update belum dilalukan percobaan atau gmn, cth di pencarian stasiun kereta sangat lambat loading nya dan stasiun tidak di temukan padahal di versi sebelumnya bisa langsung ketemu dan cepat, pilih tempat duduk loading sampai 20 mnit blm slesai ahirnya beli di traveloka aja ,balikin ke versi sebelumnya aja,di tes dlu sampai benar2 jalan semua fiturnya sebelum apk nya di luncurin buat umum, smg d benerin","Negatif"
"banyak tools tp lemot..suka time out..","Positif"
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","Negatif"
"Menurut aku ketika di update tiket kereta susah buat nunggu cairnya tiket yang di refund beda dengan sebelumnya uang yang kita refund harus nunggu 45 hari buat di transfer kembali pada saat belum di update bisa langsung cair 1jam bahkan gada berhari hari,sangat disayang kan disitu tapi overall dari UI nya sudah bagus.","Negatif"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","Negatif"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","Konflik"
"Lemot banget ga bisa login Tolong perbaikannya","Negatif"
"Tambah lemot, Fitur nambah tapi sistem gak support","Positif"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","Negatif"
"Tolong atuh perbaiki kualitas nya kan banyak yang pake aplikasi ini seharusnya lebih ditingkatkan lagi. Jangan tiba tiba keluar sendiri akun nya trs susah login lagi nya loading nya lama banget ampun","Negatif"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","Positif"
"Gak ada fitur filter ganti nama keretanya ... Mohon di perbaiki lgi . Makasih","Negatif"
"Gak bisa log in,koneksi timeout terus","Negatif"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","Negatif"
"Di samsung J3 pro tidak bisa d slide untuk lihat jadwal dan pesan tempat duduk kereta yang akan di pesan. Tolong di bantu untuk bisa di akses dengan HP layar d bawah 6""","Negatif"
"Baik saat pemesanan, login itu jadi lemot banget setelah di update, udah sekitar 1 jam tapi masih gagal untuk memesan karna loading padahal sinyal jelas bagus. fitur dulu lebih mudah untuk diakses walaupun yang saat ini tampilannya lebih fresh.","Negatif"
"Proses ganti jadwal kesulitan saat memilih reduksi","Negatif"
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","Negatif"
"Ini setelah d update kenapa aplikasi nya jadi lemot banget min,bahkan logout sendiri,pas mau masuk jdi gk bisa masuk keterangan nya ""failed request"" padahal udah biasa dulu pake KAI acces, tolong donk klo memang harus pake aplikasi,aplikasinya yaa di bikin simpel dan mudah akses nya jangan jadi malah susah gini.","Negatif"
"Berat bnget aplikasinya. ðŸ˜… sering keluar sendiri , jadwal krl gak lengkap setelah update. Buka aplikasi sampai 1 menit . Device lama samsung galaxy a50. Ini game berat?","Negatif"
