,ulasan,label
0,tolong baik aplikasi akses disappointed terima kasih,Negatif
1,baru melulu semenjak tampil susah akses ribet fiturnya,Negatif
2,baru susah cek tiket muat pakai waifi buka tolong baik,Negatif
3,baru promo alumni itb qris deteksi,Negatif
4,fitur tampil bagus sayang lambat ampun pilih duduk bayar tinggal tunggu kode bayar time out tiket jalan dadak beda aplikasi set cepat muat,Negatif
5,baru kayak fitur lambat ampun harap tolong lekas benah,Positif
6,habis baru ribet lambat tolong benah baru lalu coba cetah cari stasiun kereta lambat muat stasiun temu versi langsung temu cepat pilih duduk muat selesai beli traveloka kembali versi tes jalan fiturnya aplikasi luncur semarang baik,Negatif
7,alat lambat suka time out,Positif
8,lot banget beli cari tiket enak lunya aduh,Negatif
9,baru tiket kereta susah tunggu cair tiket kembali beda uang kembali tunggu transfer baru langsung cair jam hari sayang situ ui-nya bagus,Negatif
10,izin kendala daftar anggota tepat kode tekan tombol lanjut pikir sinyal alhasil susah beli tiket daftar anggota,Negatif
11,baru fitur koneksi lambat aplikasi baru versi baru ganggu fitur rusak fitur,Konflik
12,lot banget masuk tolong baik,Negatif
13,lambat fitur sistem dukung,Positif
14,eror daftar pesan kosong tingkat gagal tumbid harga promo pes tingkat,Negatif
15,tolong baik kualitas pakai aplikasi tingkat akun susah masuk lagi muat banget ampun,Negatif
16,fiturnya paket lambat ampun,Positif
17,fitur filter ganti nama kereta mohon baik terima kasih,Negatif
18,masuk koneksi timeout,Negatif
19,malas pakai baru masuk muat ribet mas tiket gue,Negatif
20,samsung pro slide lihat jadwal pesan duduk kereta pes tolong bantu akses telepon seluler layar,Negatif
21,mesan masuk lambat banget baru jam gagal mes muat sinyal bagus fitur mudah akses tampil segar,Negatif
22,proses ganti jadwal sulit pilih reduksi,Negatif
23,kali kecewa baru baru bagus lambat masuk tunggu pesan tiket susah mohon solusi,Negatif
24,baru aplikasi lambat banget admin pas masuk masuk terang failed pakai kai acces tolong pakai aplikasi aplikasi ya bikin simpel mudah akses susah,Negatif
25,berat banget aplikasi jadwal kerlu lengkap baru buka aplikasi menit ulas samsung galaxy main berat,Negatif
26,dih gemas banget aplikasi kai sih pakai ubah enak lambat pol fiturnya jelas tolong deh kembali aplikasi kai,Negatif
27,baru aplikasi lambat susah beli tiket sulit pemboardan,Negatif
28,sortir bagus aplikasi sort kelas kursi,Negatif
29,baru masuk butuh verifikasi sms telepon seluler banget kirim otp sms-nya kunci akun aduh sih,Negatif
30,masuk aplikasi kai acces,Negatif
31,aku suka,Negatif
32,baru masuk aplikasi,Negatif
33,masuk sulit lelet banget susah masuk masuk aduh,Negatif
34,tampil cari kereta tiket habis muncul beri harap palsu calon tumpang,Negatif
35,aplikasi lambat parah menu menu fokus jual tiket alih fungsi,Negatif
36,masuk pelat merah lo main,Negatif
37,berengsek man susah masuk pesan tiket ribet pulang woi admin,Negatif
38,masuk lambat putar,Negatif
39,pliss kai baik aplikasi cepat baru aplikasi bantu beli tiket lokal pakai aplikasi otas pas beli lot banget tampil bagus fungsional tolong banget baik pagi telat kereta gra-gara lambat aplikasi lot pas masuk pilih tiket bayar dll  kasih bayar habis muat ganti sedia,Negatif
40,hubung masuk cs lanjut,Negatif
41,tingkat lambat pilih kursi buka aplikasi suruh masuk,Negatif
42,tuju tampil promo sedia bagus mudah versi,Negatif
43,masuk lambat proses bayar lambat bayar habis baik aplikasi parah super lambat,Negatif
44,baru aplikasi lambat fiturnya fitur tiket tiket beli tunjuk sebab tunggu tukar tiket cetak pengat fitur kereta beli tiker kota lambat tang coba internal kai langsung main baru aplikasi maksimal,Negatif
45,buruk telat menit uang kembali hangus ribu beli angin,Negatif
46,jual kilat lancar pas jual kilat muat selesai selesai,Konflik
47,bikin akun baik sistem maaf,Negatif
48,fitur lengkap operasi lemoot fitur beli tiket kereta kece tiket kereta bagus baru,Positif
49,lengkap ribet ya,Konflik
50,baru buka aplikasi cari mohon tingkat biar kendala,Negatif
51,masuk susah banget sih versi canggih,Negatif
52,ribet ya admin cek jadwal commuter line enak aplikasi,Negatif
53,paham fitur jelek sih,Negatif
54,aplikasi baru susah masuk masuk bendal masuk mutarnya tolong baik laden,Negatif
55,keluh kai access ribet versi mohon maaf admin jujur kai access aplikasi jalan apresiasi tambah fitur lokal kerla kcic tambah fitur hotel bus kai akses hilang identitas kai access,Negatif
56,batal tiket kereta kai access potong proses kembali transfer gilir batal reservasi hotel kai access arah hubung traveloka traveloka hubung tuju konfirmasi reservasi batal penalti kembali dana arah hubung mesan kai access aplikasi kai access opsi cakap bantu,Negatif
