,ulasan,label
0,fitur tampil bagus sayang lambat ampun pilih duduk bayar tinggal tunggu kode bayar time out tiket jalan dadak beda aplikasi set cepat muat,Positif
1,halo guna aplikasi kai acces baru muas sistem responsif bayar kai pay tiket niat mengeresh tolong benah konsumen alami senang terima kasih,Negatif
2,lambat banget si habis tingkat kualitas unduh bolak-balik mesan tinggal bayar lambat masyaallah sih,Negatif
3,aplikasi baru sulit bayar pakai wallet gagal mending kembali belum lancar,Negatif
4,bayar,Negatif
5,susah hubung gagal pindai bayar sedia aplikasi eror stabil mending beli loker payah,Negatif
6,aplikasi lambat batal bayar muat limit bayar habis,Negatif
7,transaksi qris sukses tiket besok pp aplikasi batas bingung aplikasi,Negatif
8,lambat isi ulang eror,Negatif
9,masuk lambat proses bayar lambat bayar habis baik aplikasi parah super lambat,Negatif
10,aplikasi baru eror pesan tiket gara-tiap bayar time klik time copot ulang hapus akun alas tiket jalan selesai orang beli tiket solusi susah beli tiket suruh adik pakai akun,Negatif
11,lot bayar tiket muncul,Negatif
12,tampil kecewa bayar kedaluwarsa sih,Negatif
13,bagus desain elegan simpel lelucon iseng lambat bikin bingung baik kualitas bayar ewallet tambah opsi dll ,Negatif
14,beli tiket pakai aplikasi cek aplikasi tiket hilang tuh pertanggungjawabannya,Negatif
15,baru kemarin bagus ramah guna parah bayar bisa habis mencet metode bayar tolong menu reschedule kembali muncul ubah berangkat bantu ulas kasih bintang semarang tim kai baik,Negatif
16,saran urus kai zaman modern digital serba cepat batal tiket kembali dana tunggu tahun transfer dana,Negatif
17,baru masuk sesi bayar masuk sesi pilih kursi halaman kedaluwarsa,Negatif
18,baru susah metode bayar ovo bayar taut dana hilang,Negatif
19,kakak baru otomatis pas masuk tiket hilang jalan sabtu kak rugi uang mahasiswa uang kak,Negatif
20,mudah lancar bayar atm indomaret alfamart mantap,Positif
21,beli tiket bayar dobel isi saldo kai pay ribu harga tiket kereta api lokal beli tiket orang saldo tinggal bayar dobel tolong kai jasa,Negatif
22,proses mesan bayar cepat mudah,Positif
23,lambat banget proses bayar cek tiket makan menit beli tiket menit buka tiket untung kejar kereta,Negatif
24,baru aplikasi masalah masuk aplikasi isi kode otp muat tunggu blokir jam masuk kode otp bayar qris kode qris kunjung muncul bayar tiket jenis kelamin ubah di-refresh jenis kelamin salah tukar laki perempuan tumpang,Negatif
25,aplikasi buruk banget genting buru beli tike buka saldo kaipay hilang ribu tolong kembali saldo kaipaynya woi,Negatif
26,sele otomatis baru lelet banget pas aktif kai pay berkas verifikasi otp isi sesuai sms kode valid buka aplikasi masuk mohon baik ya admin,Negatif
27,baru baru tampil oke kualitas turun banget load pas buka aplikasi pas mencet menu pas bayar muat banget bayar gagal butuh cepat simpel mudah butuh tampil modern banget ala anak muda performa butuh,Negatif
28,tingkat lambat ya jaring aplikasi buka jadwal bayar banget bayang buru kejar cepat,Negatif
29,lot banget bayar selesai muat,Negatif
30,lambat kendala bayar buang efektif,Negatif
31,sulit bayar via qris aplikasi baru aman kendala eror,Negatif
32,tingkat aplikasi kaipay tingkat kasih opsi bayar biar ribet beli tiket doang,Negatif
33,habis baru lambat banget bayar enak aplikasi baru kai acces asyik,Negatif
34,aplikasi lambat pesan tiket susah mending pakai traveloka cepat set langsung tinggal bayar transfer aplikasi bumn lampat ampun buru kereta argo dwipangga yogyakarta,Negatif
35,halo halo keluh kesah tiket beli bayar kaifay muncul ya kai acces daftar tiket saldo kaipay potong halo halo,Negatif
36,tingkat susah pesan tiket pesan metode bayar taut telepon seluler pasang aplikasi suruh unduh,Negatif
37,bayar pakai taut,Negatif
38,bayar ribet tinggal bayar taut ovo qris,Negatif
39,aplikasi jelek isi saldo beli tiket masuk bayar saldo kosong tiket sih,Negatif
40,bayar dana,Netral
41,aplikasi lambat pas pesan tiket alias salah pakai indek akal susah bayar aplikasi pakai taut ovo pakai spay bintang mending pakai aplikasi,Negatif
