,ulasan,label
0,pesan muat banget pas batal pesan kursi sedia,Negatif
1,tolong ganti susah bingung pesan,Negatif
2,ubah aplikasi cek tiket butuh proses muat,Negatif
3,susah pes klik bagus versi,Negatif
4,ganti pesan ka kota ka lokasi,Negatif
5,eror daftar pesan kosong tingkat gagal tumbid harga promo pes tingkat,Negatif
6,proses mesan tiket ribet makan versi,Negatif
7,baru versi baru efisien cari beli tiket baik tiket habis muncul versi bagus layan dengar keluh guna,Negatif
8,gblog udara sedia telkomsel masuk tolol aplikasi ning aplikasi simpel tuk tampil masuk menu pesan tiket habis muat bayar aplikasi sampah buruk layan,Negatif
9,malas pakai baru masuk muat ribet mas tiket gue,Negatif
10,mesan masuk lambat banget baru jam gagal mes muat sinyal bagus fitur mudah akses tampil segar,Negatif
11,pilih duduk lambat banget suka,Netral
12,gara-gara promo merdeka tiket susah cari terang tiket habis pakai aplikasi kai toko daring stok tolong jelas slot kursi akurat,Negatif
13,baru sampah kereta api habis muncul harga harga pas muncul benar bikin kesal,Negatif
14,kali kecewa baru baru bagus lambat masuk tunggu pesan tiket susah mohon solusi,Negatif
15,admin aplikasi tingkat susa baru pesan tiket baru pesan gabung anggota dasar gilir gabung,Negatif
16,baru aplikasi lambat susah beli tiket sulit pemboardan,Negatif
17,baru versi pesan tiket wifi-nya pakai sedia kerut melulu kadang teman pesan tiket versi baru pakai tiket tangkap layar gara-perkara aplikasi mengobut kereta kerja mesti beli daring luring tolong baik komplain cepat benah terima kasih,Negatif
18,semenjak baru pesan tiket kereta muat banget parah tinggal kereta gara-gara pesan tiket muat gila banget kecewa,Negatif
19,berengsek man susah masuk pesan tiket ribet pulang woi admin,Negatif
20,pliss kai baik aplikasi cepat baru aplikasi bantu beli tiket lokal pakai aplikasi otas pas beli lot banget tampil bagus fungsional tolong banget baik pagi telat kereta gra-gara lambat aplikasi lot pas masuk pilih tiket bayar dll  kasih bayar habis muat ganti sedia,Negatif
21,ribet jadwal habis langsung buka muncul jam berangkat efisien cari jam bangku lambat lambap lemoot banget selesai iai data pilih kursi muat banget,Negatif
22,pesan kereta lokal susah sesi habis,Negatif
23,aplikasi baru eror pesan tiket gara-tiap bayar time klik time copot ulang hapus akun alas tiket jalan selesai orang beli tiket solusi susah beli tiket suruh adik pakai akun,Negatif
24,mohon maaf baru akses lambat aplikasi pilih kursi timeout tunggu habis,Negatif
25,menu pilih berangkat gilir kursi versi baru susah mending versi gampang,Konflik
26,baru ribet pesan tiket set lambat susah pesan tiket tulis habis nyata tiket sedia susah beli tiket aplikasi ha kembali sih kayak biar sulit guna terima kasih,Negatif
27,baru logo parah ya masuk aplikasi banget kadang pesan tiket kereta baru pesan via kai web buka tiket stasiun pakai sabun wajah lihat kode mesan masuk aplikasi susah tolong baik bagus versi,Negatif
28,fitur lengkap operasi lemoot fitur beli tiket kereta kece tiket kereta bagus baru,Negatif
29,jadwal baru aplikasi payah,Negatif
30,lihat jadwal kereta pesan tiket sulit buka mudah desak,Negatif
31,sadar aplikasi tingkat tampil bagus lambat mengebug pesan tiket kota sedia sih admin bagus lihat balas adminnya suruh baru masuk coba aplikasi versi pling baru,Negatif
32,promonya ramai gilir aplikasi buka meleg taruh uang saldo kai guna mending go show loket,Negatif
33,muat banget pas cari kursi pas masuk pilih aplikasi pilih kursi kadang lancar kadang ya versi lancar,Konflik
34,baru lambat susah mesan tolong baik,Negatif
35,mudah mesan tiket,Positif
36,sadar baru kai access access by kai kirain sengaja copot tahu ganti nama fiturnya ikon enak tampil sih layan pesan tiket doang sih jual pulsa data bayar listrik aplikasi berat pesan tiket susah daftar stasiun muncul,Negatif
37,aplikasi bingung tingkat cari kereta aplikasi lambat,Negatif
38,baik aplikasi buruk pesan kak lokal,Negatif
39,latar belakang ganti kai access access by kai sumpah kecewa banget kualitas tingkat unduh pesan tiket lelet tambah daftar tumpang muat banget tolong tampil ubah akses mudah tingkat sih cepat baik maaf,Negatif
40,semenjak baru baru parah lambat baru bagus buruk tolong baik pesan tiket jam kelar kelar failed bagus kai acces mohon baik hambat orang pergi kereta,Negatif
41,baru lambat interface enak beli tiket susah mohon baik guna kai pekan,Negatif
42,sulit masuk muncul tampil mesan tiket,Negatif
43,tingkat aneh cek sisa kursi sedia beli,Negatif
44,lot banget pesan tiket langkah jaring telepon seluler oke,Negatif
45,ribet unduh cari kereta klik kereta sedia kursi enak aplikasi langsung sedia kursi,Negatif
46,sih baru lambat masuk aplikasi lambat beli tiket pergi kereta hambat pergi kerja tolong baik,Negatif
47,payah pesan tiket banget eror melulu,Negatif
48,aplikasi bantu detail kendala muat cek jadwal putar line susah cari nama stasiun makan muat hasil cari,Negatif
49,pesan tiket aplikasi lelet,Negatif
50,aplikasi lambat mudah sulit debat aman stasiun gara-gabisa pesan tiket tolong baik evaluasi besar biar tumpang rugi,Negatif
51,butuh akses kereta malas banget deh pakai aplikasi minggu muat eror orang tuh buru bikin emosi pas stasiun suruh loket loket suruh tugas sebal banget tinggal jadwal kereta buru orang beli loket ya benar tua aplikasi rugi orang,Negatif
52,tiket pesan tingkat aplikasi pasang masuk masuk baru kagak tolong bantu masuk masuk,Negatif
53,susah banget buka ujung loket sebal mepet,Negatif
54,proses mesan bayar cepat mudah,Positif
55,pilih kursi omong pakai kereta kota,Negatif
56,kualitas turun baru pesan tiket mohon baik pesan,Negatif
57,tingkat cek tiket kereta parah bagus lemah parah,Negatif
58,susah pesan tiket,Negatif
59,lot susah pesan tiket angus tiket muncul bayar,Negatif
60,bagus fitur mesan akses,Negatif
61,hasil beli pas berangkat tipu tiket aplikasi buka apa,Positif
62,aplikasi lambat pesan tiket susah mending pakai traveloka cepat set langsung tinggal bayar transfer aplikasi bumn lampat ampun buru kereta argo dwipangga yogyakarta,Negatif
63,baru aplikasi lambat pakai masuk akun susah pesan tiket susah bayar pakai qris gagak kode deteksi,Negatif
64,mesan habis bayar ganggu aplikasi lambat ganti kursi tumpang niat bikin aplikasi sih surel kirim cek situ video kendala respons bot pesan tiket kak lokal eror tolong baik,Negatif
65,pesan tiket nama nenek bayar tiket atur tolong baik layan,Negatif
66,kualitas buruk akses masuk kereta gara-gara aplikasi baru beli tiket kai bohong publik uang bayar pesan tiket hangus berangkat dipertanggungjawabkan,Negatif
67,buna kacau susah bayar muat mesan tiket habis qrisnya moga admin tingkat susah masuk sulit,Negatif
68,beli tiket cek akun kai access menu tiket muncul eror pesan bayar lancar aplikasi kocak,Positif
69,aplikasi eror mes tiket habis lambat banget tinggal bayar aplikasi,Negatif
70,tampil oke sistem lot banget admin kira jaring lambat ulang telepon seluler pesan seribet mending,Negatif
71,tampil oke mesan cepat langsung,Positif
72,poin ulas kai access access by kai colok fitur mesan opsi railfood layan masuk biar pes efisien raya lintas mesan tiket padat kejar pilih kursi tampil denah kursi gulir ramah guna kiga opsi gerbong,Negatif
73,aplikasi bagus pilih kursi akses pakai baca layar back tuna netra pilih kursi bagus aplikasi tampil pilih kursi sedia isi,Negatif
74,tampil eror log in ulang coba pesan tiket tingkat basic anggota ikut langkah muncul tulis hidnum has already exist isi,Negatif
75,tampil ganti otomatis buka ya tiket pesan september kode mesan mohon solusi,Negatif
76,lambat aplikasi pesan tiket banget,Negatif
77,aplikasi rumit repot pesan tiket mesti tingkat anggota tingkat legkap informasi gagal,Negatif
78,eror mesan jaring aman mes alas pesan kedaluwarsa detik mes kayak habis tiket terima kasih,Negatif
79,pemberitahuan otomatis baru aplikasi baru pakai copot kali masuk ulang kali restart telepon seluler kali menu data pemberitahuan kedaluwarsa mesan habis sila mesan ulang pesan,Negatif
80,pesan tiket kereta antarkota,Negatif
81,baru kacau lambat eror pesan tiket lokal hasil pesan kedaluwarsa pesan,Negatif
82,pesan komuter line fungsi transportasi tua aplikasi dukung,Negatif
83,susah pesan tiket ya rada lambat jadwal kereta,Negatif
84,baru susah pesan tiket,Negatif
85,mohon maaf tingkat mohon cerah pesan tiket,Negatif
86,aplikasi baru susah pesan tiket cek kursi pas klik pesan tolong baik,Negatif
87,baru lambat aneh banget pesan susah,Negatif
88,baru beli tiket planing jalan pesan tiket terang pesan habis tolong baik opsi pesan tiket kereta lokal web,Negatif
89,kacau pesan kereta masuk akun kai access-nya payah tingkat aplikasi lemah layan,Negatif
90,baru tahu pesan tiket malam masuk paksa beli tiket aplikasi,Negatif
91,aplikasi susah buka pesan tiket susah banget buka orang butuh cepat pakai banget deh pesan gagal masuk,Negatif
92,masuk susah banget picture oke jaring kayak masuk aplikasi susah banget tolong baik pesan tiket susah ampun paksa beli pakai shopee cari duduk batas,Negatif
93,uprede baru pesan tiket muncul nama kereta pilih salah kereta ribet ya mudah logo warna biru kai bagus warna unggu pesan tiket ya,Negatif
94,nih habis baru bikin bingung pesan tiket langsung tiket sedia habis buka nama kereta,Negatif
95,pesan tiket menu kereta kota masuk tuju tanggal layar eror gulir menu bawah,Negatif
96,suka versi versi devis kompatibel pesan tiket,Negatif
97,tingkat eh pesan tiket henti tumpang cari kak nih,Negatif
98,time out pesan tiket kereta hancur sih aplikasi,Negatif
99,bagus lancar pemuda pesan tiket,Positif
100,masuk pesan tiket jalan rabu buka aplikasi cetak tiket,Negatif
101,pesan tiket gegara surel cantum salah ganti masuk surel mohon solusi,Negatif
102,lot banget aplikasi bikin sandi harap kai baik hambat pesan tiket kai ubah aplikasi mending sulit,Negatif
103,pesan tiket kak lokal tulis sedia bangku aneh,Negatif
104,kali pesan gara-gara aplikasi masalah daftar habis mohon baik,Negatif
105,aplikasi baru buruk pesan tiket susah masuk anggota nomor telepon genggam acak ganti layan jelek banget muas langgan,Negatif
106,tanggal eror pesan tiket terang transaksi laku set ulang aplikasi al hasil masuk akun,Negatif
107,aplikasi keren mudah deh pesan tiket pergi semangat sahabat kai,Positif
108,pesan tiket rebah mudah pilih kursi sesuai selera,Positif
109,pesan tiket gagal enak aplikasi,Negatif
110,alhamdulillah kali jalan pesan tiket aplikasi lancar jaya kendala apa loket cekin barkot tiket daring cerak cetak moga sukses kai,Positif
111,kualitas buruk susah akses pesan tiket suruh tingkat,Negatif
112,aselinya pakai aplikasi gilir versi baru susah pesan time out tanda ya masuk pakai nomor telepon seluler surel mes time out ui-nya pusing,Negatif
113,paksa hapus beli tiket kereta lokal,Negatif
114,tingkat eror fungsi masuk beli tiket isi kacauww,Negatif
