,ulasan,label
0,tolong baik aplikasi akses disappointed terima kasih,Negatif
1,baru susah cek tiket muat pakai waifi buka tolong baik,Negatif
2,masuk,Negatif
3,fitur tampil bagus sayang lambat ampun pilih duduk bayar tinggal tunggu kode bayar time out tiket jalan dadak beda aplikasi set cepat muat,Negatif
4,lambat,Negatif
5,baru kayak fitur lambat ampun harap tolong lekas benah,Negatif
6,habis baru ribet lambat tolong benah baru lalu coba cetah cari stasiun kereta lambat muat stasiun temu versi langsung temu cepat pilih duduk muat selesai beli traveloka kembali versi tes jalan fiturnya aplikasi luncur semarang baik,Negatif
7,lot ya allah tinggal bayar muat jaring stabil,Negatif
8,alat lambat suka time out,Negatif
9,lot banget beli cari tiket enak lunya aduh,Negatif
10,lambat banget si habis tingkat kualitas unduh bolak-balik mesan tinggal bayar lambat masyaallah sih,Negatif
11,lambat banget masuk menu home,Negatif
12,fitur reduksi harga hilang aplikasi lambat ciri khas bumn banget,Negatif
13,tingkat versi turun performa aplikasi lambat kes berat fitur guna versi baru performa tampil ux ramah versi mohon tinjau tingkat aplikasi,Negatif
14,baru fitur lambat banget,Negatif
15,baru fitur koneksi lambat aplikasi baru versi baru ganggu fitur rusak fitur,Negatif
16,lot banget masuk tolong baik,Negatif
17,lemmootnya ampun tolong baik sistem copot lambat banget kayak,Negatif
18,baru baru parah lambat ribet,Negatif
19,tingatkan lambat baru bikin lambat,Negatif
20,lambat fitur sistem dukung,Negatif
21,semenjak aplikasi baru lambat aduh,Negatif
22,aplikasi baru lot,Negatif
23,fiturnya paket lambat ampun,Negatif
24,baru lambat mending pakai bagus ganti semarwut aplikasi faedah saran kembali aplikasi mudah nyaman bagus,Negatif
25,sistem basi lambat engginer aplikasi basi transfer tiket keburu kiamat otp surel deh muncul eror java,Negatif
26,masuk koneksi timeout,Negatif
27,buruk buruk reload menit nomor respons tinggal kereta gara muat benar katai sih ubah proses tolong baik reloadnya,Negatif
28,pilih duduk lambat banget suka,Negatif
29,baru baru lemah sesal banget baru buka aplikasi tunggu jam jam jalan hari jalan,Negatif
30,kali kecewa baru baru bagus lambat masuk tunggu pesan tiket susah mohon solusi,Negatif
31,melag,Negatif
