,ulasan,label
0,baru melulu semenjak tampil susah akses ribet fiturnya,Negatif
1,fitur tampil bagus sayang lambat ampun pilih duduk bayar tinggal tunggu kode bayar time out tiket jalan dadak beda aplikasi set cepat muat,Positif
2,nyaman cepat versi ganti tampil dll ,Negatif
3,segi tampil oke nyaman versi satset beli kerta kaja versi tunda lumayan,Positif
4,baru sesuai harap tampil operasi efisien versi sumpah versi sebal aneh,Negatif
5,lot banget beli cari tiket enak lunya aduh,Negatif
6,baru tiket kereta susah tunggu cair tiket kembali beda uang kembali tunggu transfer baru langsung cair jam hari sayang situ ui-nya bagus,Positif
7,tingkat versi turun performa aplikasi lambat kes berat fitur guna versi baru performa tampil ux ramah versi mohon tinjau tingkat aplikasi,Negatif
8,tiket habis tampil daftar bingung mengentap habis daftar,Negatif
9,aplikasi tampil ribet enak tampil simpel cepat proses transaksi baik tinggal tampil sederhana ribet proses mesan tiket,Negatif
10,tampil enak ya baru ruwet,Positif
11,semenjak baru aplikasi lot tampil bingung kereta penuh muncul,Negatif
12,bagus baru aplikasi stabil tampil efisien,Negatif
13,tampil lambat parah aplikasi,Negatif
14,kasih bintang tingkat aplikasi baru lambat susah operasi aplikasi guna aktif minggu pst pakai aplikasi kai hafal banget beda aplikasi pilih kereta muat super tampil kereta tiket habis leta rurut kecoh lawan aplikasi baru uji coba biar mermanfaat keribetannya,Negatif
15,pecat ui ux desainer sumpah ui bagus ux jelek ui ux desainer ide deh modal bagus tampil guna journey perhati ribet ajar ui ux-nya,Positif
16,baru beli tiket ya putar tolong depan ui-nya baik mending versi versi jelek banget performa,Negatif
17,baru tampil parah eror muat lambat baru data nik ubah tim it-nya,Negatif
18,bagus aplikasi pilih reduksi muncul segi visualisasi bagong enak sulit paham guna interfas tuh ramai banget warna guna suka simpel main uji analisis guna sampel kayak simpel fungsi ya ubah tampil,Negatif
19,saran kembali antarmuka aplikasi baru sulit beda tiket habis,Negatif
20,guna ramah aplikasi,Negatif
21,sadar aplikasi tingkat tampil bagus lambat mengebug pesan tiket kota sedia sih admin bagus lihat balas adminnya suruh baru masuk coba aplikasi versi pling baru,Positif
22,tampil kecewa bayar kedaluwarsa sih,Negatif
23,bagus desain elegan simpel lelucon iseng lambat bikin bingung baik kualitas bayar ewallet tambah opsi dll ,Negatif
24,woi admin kembali aplikasi lama lambat banget aplikasi baru baru guna friendly filter pilih harga kelas pilih kursi gulir layar aduh maju,Negatif
