,ulasan,label
0,baru melulu semenjak tampil susah akses ribet fiturnya,Negatif
1,segi tampil oke nyaman versi satset beli kerta kaja versi tunda lumayan,Negatif
2,ribet operasi,Negatif
3,baru sesuai harap tampil operasi efisien versi sumpah versi sebal aneh,Negatif
4,halo guna aplikasi kai acces baru muas sistem responsif bayar kai pay tiket niat mengeresh tolong benah konsumen alami senang terima kasih,Negatif
5,lambat banget si habis tingkat kualitas unduh bolak-balik mesan tinggal bayar lambat masyaallah sih,Negatif
6,sertifikat vaksin kerat jarak ya,Netral
7,susah pes klik bagus versi,Negatif
8,fitur reduksi harga hilang aplikasi lambat ciri khas bumn banget,Netral
9,tingkat versi turun performa aplikasi lambat kes berat fitur guna versi baru performa tampil ux ramah versi mohon tinjau tingkat aplikasi,Negatif
10,baru fitur koneksi lambat aplikasi baru versi baru ganggu fitur rusak fitur,Netral
11,aplikasi eror,Negatif
12,mantap moga eror banyak tambah fitur,Positif
13,aplikasi baru sulit bayar pakai wallet gagal mending kembali belum lancar,Negatif
14,sinyal bagus susah masuk aplikasi baru susah masuk ya,Negatif
15,ha buka buka muncul logone tok fungsi,Negatif
16,tolong baik kualitas pakai aplikasi tingkat akun susah masuk lagi muat banget ampun,Negatif
17,baru versi baru buka ya,Netral
18,aplikasi tampil ribet enak tampil simpel cepat proses transaksi baik tinggal tampil sederhana ribet proses mesan tiket,Netral
19,baru lambat mending pakai bagus ganti semarwut aplikasi faedah saran kembali aplikasi mudah nyaman bagus,Negatif
20,baru jelek,Negatif
21,baru buka,Negatif
22,susah hubung gagal pindai bayar sedia aplikasi eror stabil mending beli loker payah,Negatif
23,mending aplikasi,Negatif
24,gblog udara sedia telkomsel masuk tolol aplikasi ning aplikasi simpel tuk tampil masuk menu pesan tiket habis muat bayar aplikasi sampah buruk layan,Negatif
25,samsung pro slide lihat jadwal pesan duduk kereta pes tolong bantu akses telepon seluler layar,Negatif
26,bantu,Positif
27,buruk buruk reload menit nomor respons tinggal kereta gara muat benar katai sih ubah proses tolong baik reloadnya,Negatif
28,ulang telepon seluler baru aplikasi biar lambat,Netral
29,baru baru lemah sesal banget baru buka aplikasi tunggu jam jam jalan hari jalan,Negatif
30,efisien aplikasi,Negatif
31,berat banget aplikasi jadwal kerlu lengkap baru buka aplikasi menit ulas samsung galaxy main berat,Negatif
32,diskon,Netral
33,admin aplikasi tingkat susa baru pesan tiket baru pesan gabung anggota dasar gilir gabung,Negatif
34,jelek jelek kerja sulit pesan tiket aplikasi mending kembali ribet muat bikin darah,Negatif
35,aduh repot banget sih tiket hilang masuk akun,Negatif
36,bikin atur ya bikin baru eror pulang pakai kereta aplikasi baru atur beli tiket konter minggu aplikasi stabil coba lihat usaha kereta bikin atur sih efek pergi pulang pakai kereta aplikasi erti tuh vital mending cari alternatif transportasi,Negatif
37,request kai acces bikin reschedule jalan biar mubazir tiket pergi terima kasih,Netral
38,tingkat kai access,Netral
39,kai access baru eror,Negatif
40,aplikasi guna baru parah,Negatif
41,enak versi,Negatif
42,baru versi pesan tiket wifi-nya pakai sedia kerut melulu kadang teman pesan tiket versi baru pakai tiket tangkap layar gara-perkara aplikasi mengobut kereta kerja mesti beli daring luring tolong baik komplain cepat benah terima kasih,Netral
43,oke,Positif
44,angel sulit susah rumit klik lanjut jalan habis,Negatif
45,bagus baru aplikasi stabil tampil efisien,Negatif
46,susah buka enak,Negatif
