,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
82,Baru update Log in ny butuh verifikasi sms hp tpi lama bgt kirim otp sms nya Mlh lock akun ny Hadeh Gmn sii,Baru memperbarui masuknya butuh verifikasi SMS telepon seluler tetapi lama banget kirim OTP SMS-nya malah kunci akunnya aduh bagaimana sih,baru memperbarui masuknya butuh verifikasi sms telepon seluler tetapi lama banget kirim otp sms-nya malah kunci akunnya aduh bagaimana sih,"['baru', 'memperbarui', 'masuknya', 'butuh', 'verifikasi', 'sms', 'telepon', 'seluler', 'tetapi', 'lama', 'banget', 'kirim', 'otp', 'sms-nya', 'malah', 'kunci', 'akunnya', 'aduh', 'bagaimana', 'sih']","['memperbarui', 'masuknya', 'butuh', 'verifikasi', 'sms', 'telepon', 'seluler', 'banget', 'kirim', 'otp', 'sms-nya', 'kunci', 'akunnya', 'aduh', 'sih']","['baru', 'masuk', 'butuh', 'verifikasi', 'sms', 'telepon', 'seluler', 'banget', 'kirim', 'otp', 'sms-nya', 'kunci', 'akun', 'aduh', 'sih']"
51,Gak ada fitur filter ganti nama keretanya Mohon di perbaiki lgi Makasih,Enggak ada fitur filter ganti nama keretanya mohon diperbaiki lagi terima kasih,enggak ada fitur filter ganti nama keretanya mohon diperbaiki lagi terima kasih,"['enggak', 'ada', 'fitur', 'filter', 'ganti', 'nama', 'keretanya', 'mohon', 'diperbaiki', 'lagi', 'terima', 'kasih']","['fitur', 'filter', 'ganti', 'nama', 'keretanya', 'mohon', 'diperbaiki', 'terima', 'kasih']","['fitur', 'filter', 'ganti', 'nama', 'kereta', 'mohon', 'baik', 'terima', 'kasih']"
220,Aplikasi Di update malah step by step lemooottttt bangetttttttt yaAllah gimana kalau yg buru waktu pembayaran juga abis sama lemotnyaaaaaaaaa,Aplikasi diperbarui malah langkah selamat tinggal banget ya Allah bagaimana kalau yang buru waktu pembayaran juga habis sama lambatnya,aplikasi diperbarui malah langkah selamat tinggal banget ya allah bagaimana kalau yang buru waktu pembayaran juga habis sama lambatnya,"['aplikasi', 'diperbarui', 'malah', 'langkah', 'selamat', 'tinggal', 'banget', 'ya', 'allah', 'bagaimana', 'kalau', 'yang', 'buru', 'waktu', 'pembayaran', 'juga', 'habis', 'sama', 'lambatnya']","['aplikasi', 'diperbarui', 'langkah', 'selamat', 'tinggal', 'banget', 'ya', 'allah', 'buru', 'pembayaran', 'habis', 'lambatnya']","['aplikasi', 'baru', 'langkah', 'selamat', 'tinggal', 'banget', 'ya', 'allah', 'buru', 'bayar', 'habis', 'lambat']"
558,Cari tiket nya jadi sedikit menyusahkan harus drop down dulu kurang jelas tiket mana yg available lebih jelas tampilan di versi sblm nya dan jadi tidak bisa sorting tiket yg available menurut harga dsb Yg tersorting hanya judul besar tiket saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya menurut saya itu sudah sangat jelas,Cari tiketnya jadi sedikit menyusahkan harus turun gangguan dahulu kurang jelas tiket mana yang nilai lebih jelas tampilan di versi sebelumnya dan jadi tidak bisa menyesal tiket yang tersedia menurut harga dsb. yang tersorting hanya judul besar tiket sarannya mungkin dikembalikan saja tampilan tiketnya seperti versi sebelumnya menurut saya itu sudah sangat jelas,cari tiketnya jadi sedikit menyusahkan harus turun gangguan dahulu kurang jelas tiket mana yang nilai lebih jelas tampilan di versi sebelumnya dan jadi tidak bisa menyesal tiket yang tersedia menurut harga dsb. yang tersorting hanya judul besar tiket sarannya mungkin dikembalikan saja tampilan tiketnya seperti versi sebelumnya menurut saya itu sudah sangat jelas,"['cari', 'tiketnya', 'jadi', 'sedikit', 'menyusahkan', 'harus', 'turun', 'gangguan', 'dahulu', 'kurang', 'jelas', 'tiket', 'mana', 'yang', 'nilai', 'lebih', 'jelas', 'tampilan', 'di', 'versi', 'sebelumnya', 'dan', 'jadi', 'tidak', 'bisa', 'menyesal', 'tiket', 'yang', 'tersedia', 'menurut', 'harga', 'dsb', '.', 'yang', 'tersorting', 'hanya', 'judul', 'besar', 'tiket', 'sarannya', 'mungkin', 'dikembalikan', 'saja', 'tampilan', 'tiketnya', 'seperti', 'versi', 'sebelumnya', 'menurut', 'saya', 'itu', 'sudah', 'sangat', 'jelas']","['cari', 'tiketnya', 'menyusahkan', 'turun', 'gangguan', 'tiket', 'nilai', 'tampilan', 'versi', 'menyesal', 'tiket', 'tersedia', 'harga', 'dsb', '.', 'tersorting', 'judul', 'tiket', 'sarannya', 'dikembalikan', 'tampilan', 'tiketnya', 'versi']","['cari', 'tiket', 'susah', 'turun', 'ganggu', 'tiket', 'nilai', 'tampil', 'versi', 'sesal', 'tiket', 'sedia', 'harga', 'dsb', '', 'tersorting', 'judul', 'tiket', 'saran', 'kembali', 'tampil', 'tiket', 'versi']"
451,Hadehh lelet betul ini aplikasi,Aduh lelet betul ini aplikasi,aduh lelet betul ini aplikasi,"['aduh', 'lelet', 'betul', 'ini', 'aplikasi']","['aduh', 'lelet', 'aplikasi']","['aduh', 'lelet', 'aplikasi']"
302,Kenapa si ini setelah Update kok malah makin lemot saat masuk ke apk nya jga lemot yg mau bli tiket atau mau bepergian naik Kereta jdi terhambat apalagi yg mau pergi kerja Tolong di perbaiki lgi,Kenapa sih ini setelah pembaruan kok malah makin lambat saat masuk ke aplikasinya juga lambat yang mau beli tiket atau mau berpergian naik kereta jadi terhambat apalagi yang mau pergi kerja tolong diperbaiki lagi,kenapa sih ini setelah pembaruan kok malah makin lambat saat masuk ke aplikasinya juga lambat yang mau beli tiket atau mau berpergian naik kereta jadi terhambat apalagi yang mau pergi kerja tolong diperbaiki lagi,"['kenapa', 'sih', 'ini', 'setelah', 'pembaruan', 'kok', 'malah', 'makin', 'lambat', 'saat', 'masuk', 'ke', 'aplikasinya', 'juga', 'lambat', 'yang', 'mau', 'beli', 'tiket', 'atau', 'mau', 'berpergian', 'naik', 'kereta', 'jadi', 'terhambat', 'apalagi', 'yang', 'mau', 'pergi', 'kerja', 'tolong', 'diperbaiki', 'lagi']","['sih', 'pembaruan', 'lambat', 'masuk', 'aplikasinya', 'lambat', 'beli', 'tiket', 'berpergian', 'kereta', 'terhambat', 'pergi', 'kerja', 'tolong', 'diperbaiki']","['sih', 'baru', 'lambat', 'masuk', 'aplikasi', 'lambat', 'beli', 'tiket', 'pergi', 'kereta', 'hambat', 'pergi', 'kerja', 'tolong', 'baik']"
551,Kalo bisa milih mau tak ganti ke tampilan sebelumnya ini malah tiba otomatis ke upgrade sendiri ketika mau pesen tiketpun gak bisa atau emang loading sih,Kalau bisa memilih mau tak ganti ke tampilan sebelumnya ini malah tiba otomatis ke ditingkatkan sendiri ketika mau pesan tiket pun enggak bisa atau memang memuat sih,kalau bisa memilih mau tak ganti ke tampilan sebelumnya ini malah tiba otomatis ke ditingkatkan sendiri ketika mau pesan tiket pun enggak bisa atau memang memuat sih,"['kalau', 'bisa', 'memilih', 'mau', 'tak', 'ganti', 'ke', 'tampilan', 'sebelumnya', 'ini', 'malah', 'tiba', 'otomatis', 'ke', 'ditingkatkan', 'sendiri', 'ketika', 'mau', 'pesan', 'tiket', 'pun', 'enggak', 'bisa', 'atau', 'memang', 'memuat', 'sih']","['memilih', 'ganti', 'tampilan', 'otomatis', 'ditingkatkan', 'pesan', 'tiket', 'memuat', 'sih']","['pilih', 'ganti', 'tampil', 'otomatis', 'tingkat', 'pesan', 'tiket', 'muat', 'sih']"
215,Updetan versi terbaru bukanya makin bagus malah jadi buruk Lemot banget bukan mempermudah malah mempersulit Serasa downgrade ke versi lama,Pembaruan versi terbaru bukannya makin bagus malah jadi buruk lambat banget bukan mempermudah malah mempersulit Serasa penurunan ke versi lama,pembaruan versi terbaru bukannya makin bagus malah jadi buruk lambat banget bukan mempermudah malah mempersulit serasa penurunan ke versi lama,"['pembaruan', 'versi', 'terbaru', 'bukannya', 'makin', 'bagus', 'malah', 'jadi', 'buruk', 'lambat', 'banget', 'bukan', 'mempermudah', 'malah', 'mempersulit', 'serasa', 'penurunan', 'ke', 'versi', 'lama']","['pembaruan', 'versi', 'terbaru', 'bagus', 'buruk', 'lambat', 'banget', 'mempermudah', 'mempersulit', 'serasa', 'penurunan', 'versi']","['baru', 'versi', 'baru', 'bagus', 'buruk', 'lambat', 'banget', 'mudah', 'sulit', 'serasa', 'turun', 'versi']"
235,perbaikin apknya buruk sekali masa mau pesan ka lokal tidak bisa terus,perbaiki aplikasinya buruk sekali masa mau pesan Kak lokal tidak bisa terus,perbaiki aplikasinya buruk sekali masa mau pesan kak lokal tidak bisa terus,"['perbaiki', 'aplikasinya', 'buruk', 'sekali', 'masa', 'mau', 'pesan', 'kak', 'lokal', 'tidak', 'bisa', 'terus']","['perbaiki', 'aplikasinya', 'buruk', 'pesan', 'kak', 'lokal']","['baik', 'aplikasi', 'buruk', 'pesan', 'kak', 'lokal']"
18,Hallo menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai pay dengan tiket yang sama padahal niat awal hanya ingin merefresh saja Tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya terima kasih,Halo menurut saya penggunaan aplikasi KAI Acces terbaru ini kurang memuaskan karena sistem yang kurang responsif membuat saya melakukan pembayaran melalui Kai pay dengan tiket yang sama padahal niat awal hanya ingin mengeresh saja tolong dibenahi supaya tidak ada konsumen yang mengalami hal kurang menyenangkan seperti saya terima kasih,halo menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karena sistem yang kurang responsif membuat saya melakukan pembayaran melalui kai pay dengan tiket yang sama padahal niat awal hanya ingin mengeresh saja tolong dibenahi supaya tidak ada konsumen yang mengalami hal kurang menyenangkan seperti saya terima kasih,"['halo', 'menurut', 'saya', 'penggunaan', 'aplikasi', 'kai', 'acces', 'terbaru', 'ini', 'kurang', 'memuaskan', 'karena', 'sistem', 'yang', 'kurang', 'responsif', 'membuat', 'saya', 'melakukan', 'pembayaran', 'melalui', 'kai', 'pay', 'dengan', 'tiket', 'yang', 'sama', 'padahal', 'niat', 'awal', 'hanya', 'ingin', 'mengeresh', 'saja', 'tolong', 'dibenahi', 'supaya', 'tidak', 'ada', 'konsumen', 'yang', 'mengalami', 'hal', 'kurang', 'menyenangkan', 'seperti', 'saya', 'terima', 'kasih']","['halo', 'penggunaan', 'aplikasi', 'kai', 'acces', 'terbaru', 'memuaskan', 'sistem', 'responsif', 'pembayaran', 'kai', 'pay', 'tiket', 'niat', 'mengeresh', 'tolong', 'dibenahi', 'konsumen', 'mengalami', 'menyenangkan', 'terima', 'kasih']","['halo', 'guna', 'aplikasi', 'kai', 'acces', 'baru', 'muas', 'sistem', 'responsif', 'bayar', 'kai', 'pay', 'tiket', 'niat', 'mengeresh', 'tolong', 'benah', 'konsumen', 'alami', 'senang', 'terima', 'kasih']"
