,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
158,aplikasi susah dibuka setelah melakukan pembelian tiket padahal malam hari ini keberangkatan,aplikasi susah dibuka setelah melakukan pembelian tiket padahal malam hari ini keberangkatan,aplikasi susah dibuka setelah melakukan pembelian tiket padahal malam hari ini keberangkatan,"['aplikasi', 'susah', 'dibuka', 'setelah', 'melakukan', 'pembelian', 'tiket', 'padahal', 'malam', 'hari', 'ini', 'keberangkatan']","['aplikasi', 'susah', 'dibuka', 'pembelian', 'tiket', 'malam', 'keberangkatan']","['aplikasi', 'susah', 'buka', 'beli', 'tiket', 'malam', 'berangkat']"
497,aplikasi nggk banget secara dulu waktu untuk pembayaran selama menit sekarang setelah di update bukannya malah membaik malahan sering terjadi error ketika akan melakukan pembayaran bahkan untuk waktunya sekarang di persingkat hanya detik tidak worth it bagi pengguna hp yang di rasa dengan proses loading yang cukup lama,aplikasi enggak banget secara dahulu waktu untuk pembayaran selama menit sekarang setelah diperbarui bukannya malah membaik malahan sering terjadi eror ketika akan melakukan pembayaran bahkan untuk waktunya sekarang di persingkat hanya detik tidak setimpal bagi pengguna telepon seluler yang di rasa dengan proses memuat yang cukup lama,aplikasi enggak banget secara dahulu waktu untuk pembayaran selama menit sekarang setelah diperbarui bukannya malah membaik malahan sering terjadi eror ketika akan melakukan pembayaran bahkan untuk waktunya sekarang di persingkat hanya detik tidak setimpal bagi pengguna telepon seluler yang di rasa dengan proses memuat yang cukup lama,"['aplikasi', 'enggak', 'banget', 'secara', 'dahulu', 'waktu', 'untuk', 'pembayaran', 'selama', 'menit', 'sekarang', 'setelah', 'diperbarui', 'bukannya', 'malah', 'membaik', 'malahan', 'sering', 'terjadi', 'eror', 'ketika', 'akan', 'melakukan', 'pembayaran', 'bahkan', 'untuk', 'waktunya', 'sekarang', 'di', 'persingkat', 'hanya', 'detik', 'tidak', 'setimpal', 'bagi', 'pengguna', 'telepon', 'seluler', 'yang', 'di', 'rasa', 'dengan', 'proses', 'memuat', 'yang', 'cukup', 'lama']","['aplikasi', 'banget', 'pembayaran', 'menit', 'diperbarui', 'membaik', 'eror', 'pembayaran', 'persingkat', 'detik', 'setimpal', 'pengguna', 'telepon', 'seluler', 'proses', 'memuat']","['aplikasi', 'banget', 'bayar', 'menit', 'baru', 'baik', 'eror', 'bayar', 'singkat', 'detik', 'timpal', 'guna', 'telepon', 'seluler', 'proses', 'muat']"
395,bagus aplikasi sebelum diupdate aplikasi yang baru lebih ribet mohon diperbaiki,bagus aplikasi sebelum diperbarui aplikasi yang baru lebih ribet mohon diperbaiki,bagus aplikasi sebelum diperbarui aplikasi yang baru lebih ribet mohon diperbaiki,"['bagus', 'aplikasi', 'sebelum', 'diperbarui', 'aplikasi', 'yang', 'baru', 'lebih', 'ribet', 'mohon', 'diperbaiki']","['bagus', 'aplikasi', 'diperbarui', 'aplikasi', 'ribet', 'mohon', 'diperbaiki']","['bagus', 'aplikasi', 'baru', 'aplikasi', 'ribet', 'mohon', 'baik']"
155,kenapa sekarang susah banget masuk pesen semua nya loading parah,kenapa sekarang susah banget masuk pesan semuanya memuat parah,kenapa sekarang susah banget masuk pesan semuanya memuat parah,"['kenapa', 'sekarang', 'susah', 'banget', 'masuk', 'pesan', 'semuanya', 'memuat', 'parah']","['susah', 'banget', 'masuk', 'pesan', 'memuat', 'parah']","['susah', 'banget', 'masuk', 'pesan', 'muat', 'parah']"
321,aplikasi lemot bukannya mempermudah malah mempersulit bapak saya sampe debat sama security stasiun gara gabisa pesen tiket tolong di perbaiki lagi kalo bisa evaluasi besaran biar penumpang ga banyak yg di rugikan,aplikasi lambat bukannya mempermudah malah mempersulit bapak saya sampai debat sama keamanan stasiun gara-gabisa pesan tiket tolong diperbaiki lagi kalau bisa evaluasi besaran biar penumpang enggak banyak yang dirugikan,aplikasi lambat bukannya mempermudah malah mempersulit bapak saya sampai debat sama keamanan stasiun gara-gabisa pesan tiket tolong diperbaiki lagi kalau bisa evaluasi besaran biar penumpang enggak banyak yang dirugikan,"['aplikasi', 'lambat', 'bukannya', 'mempermudah', 'malah', 'mempersulit', 'bapak', 'saya', 'sampai', 'debat', 'sama', 'keamanan', 'stasiun', 'gara-gabisa', 'pesan', 'tiket', 'tolong', 'diperbaiki', 'lagi', 'kalau', 'bisa', 'evaluasi', 'besaran', 'biar', 'penumpang', 'enggak', 'banyak', 'yang', 'dirugikan']","['aplikasi', 'lambat', 'mempermudah', 'mempersulit', 'debat', 'keamanan', 'stasiun', 'gara-gabisa', 'pesan', 'tiket', 'tolong', 'diperbaiki', 'evaluasi', 'besaran', 'biar', 'penumpang', 'dirugikan']","['aplikasi', 'lambat', 'mudah', 'sulit', 'debat', 'aman', 'stasiun', 'gara-gabisa', 'pesan', 'tiket', 'tolong', 'baik', 'evaluasi', 'besar', 'biar', 'tumpang', 'rugi']"
212,setelah update semakin lemot ya ada solusi kah,setelah memperbarui semakin lambat ya ada solusikah,setelah memperbarui semakin lambat ya ada solusikah,"['setelah', 'memperbarui', 'semakin', 'lambat', 'ya', 'ada', 'solusikah']","['memperbarui', 'lambat', 'ya', 'solusikah']","['baru', 'lambat', 'ya', 'solusi']"
234,update aplikasi baru jadi kacau balau sumpah najis dah,pembaruan aplikasi baru jadi kacau balau sumpah najis deh,pembaruan aplikasi baru jadi kacau balau sumpah najis deh,"['pembaruan', 'aplikasi', 'baru', 'jadi', 'kacau', 'balau', 'sumpah', 'najis', 'deh']","['pembaruan', 'aplikasi', 'kacau', 'balau', 'sumpah', 'najis', 'deh']","['baru', 'aplikasi', 'kacau', 'balau', 'sumpah', 'najis', 'deh']"
289,setelah di update jadi lemot buka aplikasinya payah buka app loadingnya lama,setelah diperbarui jadi lambat buka aplikasinya payah buka aplikasi memuatnya lama,setelah diperbarui jadi lambat buka aplikasinya payah buka aplikasi memuatnya lama,"['setelah', 'diperbarui', 'jadi', 'lambat', 'buka', 'aplikasinya', 'payah', 'buka', 'aplikasi', 'memuatnya', 'lama']","['diperbarui', 'lambat', 'buka', 'aplikasinya', 'payah', 'buka', 'aplikasi', 'memuatnya']","['baru', 'lambat', 'buka', 'aplikasi', 'payah', 'buka', 'aplikasi', 'muat']"
300,makin ribet malah downgrade mau cari kereta harus klik dulu keretanya untuk tau ketersediaan kursi msh enak aplikasi yg dulu lgsg terlihat ketersediaan kursinya,makin ribet malah unduh mau cari kereta harus klik dahulu keretanya untuk tahu ketersediaan kursi masih enak aplikasi yang dahulu langsung terlihat ketersediaan kursinya,makin ribet malah unduh mau cari kereta harus klik dahulu keretanya untuk tahu ketersediaan kursi masih enak aplikasi yang dahulu langsung terlihat ketersediaan kursinya,"['makin', 'ribet', 'malah', 'unduh', 'mau', 'cari', 'kereta', 'harus', 'klik', 'dahulu', 'keretanya', 'untuk', 'tahu', 'ketersediaan', 'kursi', 'masih', 'enak', 'aplikasi', 'yang', 'dahulu', 'langsung', 'terlihat', 'ketersediaan', 'kursinya']","['ribet', 'unduh', 'cari', 'kereta', 'klik', 'keretanya', 'ketersediaan', 'kursi', 'enak', 'aplikasi', 'langsung', 'ketersediaan', 'kursinya']","['ribet', 'unduh', 'cari', 'kereta', 'klik', 'kereta', 'sedia', 'kursi', 'enak', 'aplikasi', 'langsung', 'sedia', 'kursi']"
356,aplikasinya makin ribet lebih simple versi lama aplikasinya tambah lambat,aplikasinya makin ribet lebih simpel versi lama aplikasinya tambah lambat,aplikasinya makin ribet lebih simpel versi lama aplikasinya tambah lambat,"['aplikasinya', 'makin', 'ribet', 'lebih', 'simpel', 'versi', 'lama', 'aplikasinya', 'tambah', 'lambat']","['aplikasinya', 'ribet', 'simpel', 'versi', 'aplikasinya', 'lambat']","['aplikasi', 'ribet', 'simpel', 'versi', 'aplikasi', 'lambat']"
