"ulasan","label"
"Solusi pembelian tiket kereta api yang mudah","Positif"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Positif"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","Positif"
"Solusi pembelian tiket kereta api yang mudah","Positif"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Positif"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","Positif"
"Solusi pembelian tiket kereta api yang mudah","Positif"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Positif"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","Positif"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Positif"
"Solusi pembelian tiket kereta api yang mudah","Positif"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Positif"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","Positif"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Positif"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","Positif"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","Positif"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","Positif"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","Positif"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","Positif"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","Positif"
"tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit, tapi menarik,,, untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo, soalnya saya user ovo bangwt","Positif"
