"ulasan","label"
"Lebih mudah digunakan yg tampilan lama, yg baru lebih ruwet","Konflik"
"Ko tiba tiba update kaget ama logo dan mana barunya tapi jadi makin lancar sihh","Konflik"
"Secara user interface lebih baik yang sebelumnya, mungkin ya memang lebih terkesan modern atau bagus dipandang. Namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis makan seharusnya otomatis turun atau pindah ke bawah seperti dulu, serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan.","Konflik"
"Msh blm familiar dengan tampilan barunya","Konflik"
"Sy lebih suka tampilan KAI mobile yang lama! Tampilan yang baru ini setelah di upgrafe jadi lwbih ribet , ga sesimple seperti sebelumnya. apk KAI yg sblmnya kalau tiket sudh habis ga ada di tampilkan di bagian list. Sekarang ini , udh habis pun tiket nya tp masi aja muncul di bagian list -_-","Konflik"
"Jujur aja lebih bagus dan simpel versi yang lama min.untuk versi terbaru aneh banget tampilan nya bikin bingung dan malah lebih ribet.tolong di perbaiki kalo perlu di bikin tampilan seperti versi yang lama aja.nanti saya tambah bintang nya.","Konflik"
"Di samsung J3 pro tidak bisa d slide untuk lihat jadwal dan pesan tempat duduk kereta yang akan di pesan. Tolong di bantu untuk bisa di akses dengan HP layar d bawah 6""","Netral"
"Sy baru sadar kalau apk nya di upgrade, tampilannya bagus, tapi kok ini malah lemot skli, dan ngebug terus. Setiap mau pesen tiket antar kota selalu tidak tersedia? ini gmna si min, bagusan yg lama. Sy juga lihat balasan adminnya disini malah suruh update atau log ini lagi, udah sy coba segala cara sama ajaaaaaa, padahal ini apk sdh versi pling terbaru","Konflik"
"Bagusan desain sebelumnya, lebih elegan,simple,gak seperti di prank. Sekarang lambat, bikin bingung. Harusnya diperbaiki kualitasnya pembayaran ewallet ditambah opsinya, dll","Konflik"
"Setiap ada update bukannya lebih baik malah banyak masalah, padahal yang kemarin sudah bagus dan friendly user.. Dan yang ini lebih parah.. mau bayar ga bisa bisa.. ""waktu anda telah habis...""..padahal baru mencet metode pembayaran.. Tolong menu RESCHEDULE dan REFUND agar DIMUNCULKAN KEMBALI krn buat yg sering berubah keberangkatan sangat2 membantu.. sudah banyak ulasan dan kasih bintang 1, smg tim KAI bisa segera memperbaiki..","Konflik"
"Tampilan bagus, tp makin lama loadingnya. Mending versi yang lama. Simpel tp cepet","Konflik"
"Baru sadar ada pembaruan dari KAI Access ke Access by KAI. Kirain ngga sengaja uninstall taunya ganti nama. Fiturnya makin banyak, iconnya makin banyak. Udah enak tampilan sebelumnya sih. Udah bener buat layanan pesen tiket doang sih, sekarang jual pulsa, data, bayar listrik. App nya makin berat, buat pesen tiket makin susah, daftar stasiunnya nggak muncul.","Konflik"
"Bagus versi baru.... jadi lebih mudah dan lengkap... Terus tingkatkan efisiensi dan kurang bug...","Konflik"
"Tidak jadwal waktu sholat seperti versi terdahulu","Netral"
"Semakin lama buka aplikasinya dan setiap langkah itu prosesnya lama banget, berbeda dengan yg sebelumnya lebih cepat. Malah sering kembali lagi kehalaman utama, semoga segera diperbaiki.terimakasih","Konflik"
"Tampilan UI jelek, padahal lebih simpel dan elegan yg dulu ðŸ˜ŒðŸ˜Œ","Konflik"
"Gimana temenÂ², sudah bisa gnti jadwal kereta tnpa harus ke stasiun belum?? Apa gnti tampilan aja","Konflik"
"Maaf sebelumnya saya mau komplain kepada programmer yang mendesain tampilan UI serta UX pada aplikasi access ini, saya lebih suka tampilan yang sebelumnya dikarenakan tampilan yang sekarang terlalu banyak data yang di stored sehingga aplikasi ini tidak responsif seperti versi yang sebelumnya","Konflik"
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget","Konflik"
"lebih buruk dari aplikasi sebelumnya, aplikasi baru walaupun tampilannya bagus, tapi sangat lamban dan sering error, kita yang butuh tiket cepat jd terhambat.","Konflik"
"Setelah update malah gabisaÂ² masuk, memang dr segi tampilan makin oke tapi performanya makin buruk","Konflik"
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong","Konflik"
"Tampilan Baru Dari KAI Access, Tampilan Yng User Frandly, Walau Masih Sedikit Bug, Semoga Dengan Tampilan Baru Lebih Satset dan Mudah Dalam Memesan Tiket, Dan Yang Paling Penting Banyak Metode Pembayrannya.","Konflik"
"Tampilan emang bagus. Tapi loading nya jadi lemot. Bagusan yang dulu min. Yang sekarang info makin lengkap tapi aplikasii makin lemot","Konflik"
"Sejauh ini mudah digunakan dengan tampilan access baru, tapi tolong diperbaiki tampilan kai antarkota ngga bisa diklik dibagian bawahnya krn tampilannya ngga full dan aplikasi sering berhenti sendiri, terima kasih atensinya, mohon segera dilakukan perbaikan sehingga bisa pesan tiket antarkota dgn mudahðŸ™","Konflik"
"SAYA GK SUKA TAMPILAN SEKARANG TAMPILAN SKRNG MALAH BIKIN RIWEH+ DIKIT"" SUKA KELUAR+LEMOTTT,TRS YG BIASANYA PESEN TIKET CPT SKRNG MALAH HARUS PENCET INI ITU DLU. PLEASE AYO BALIKIN TAMPILAN YANG KAYA DULUUUUU LAGII","Konflik"
"tampilan lama lebih ramah terhadap pengguna","Netral"
"Mohon maaf lebih bagus UI sebelumnya, UI sekarang bikin aplikasi lemot saat dibuka, butuh 1 menitan baru bisa masuk ke halaman home, mohon diperbaiki secepatnya, agar tidak mempersulit para penumpang ketika saat boarding di stasiun, terimakasih ðŸ™","Konflik"
"Tampilan emang have fun and youth. Fasilitas lebih banyak tapi masih belum berfungsi. Tapi namanya jadi tidak spesial. Orang lebih mudah mencari KAI dari pada Access. Nama Kai Access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. Lah kalo ACCESS ini maknanya apa? Revamp ya revamp. Tapi gak jadi lebih aneh gitu. Jadi inget bikin stasiun tapi lupa buat jalan akses. Kan aneh. Mmm mungkin mau buat kayak LIVIN by mandiri","Positif"
"penyegaran UI/UX nya sngt membantu sekali, teruss tingkatkan pelayanan dan pengembangan aplikasi, selalu terima masukan dri user jadikan bahan evaluasi agar lbih baik lgi.","Positif"
"Tampilan yg semakin memudahkan","Positif"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","Positif"
"Thanks tampilan baru lebih intuitif","Positif"
"Tampilan yg semakin memudahkan","Positif"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","Positif"
"Thanks tampilan baru lebih intuitif","Positif"
"Tampilan yg semakin memudahkan","Positif"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","Positif"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","Positif"
"Thanks tampilan baru lebih intuitif","Positif"
"Tampilan yg semakin memudahkan","Positif"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Update sangat tidak nyaman Memang tampilan lebih baik Tapi buat apa tampilan baik kalo malah jadi lebih ribet Tolong tampilkan harga tiket per kelas bukan per nama kereta Sangat menyusahkan Dan tolong kembalikan filter kelas pada filter pencarian","Positif"
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!","Positif"
"Ini UI di update terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yg terpisah menunya. Jadi kebih mudah, cepat dan juga railfood ðŸ¥°ðŸ¥°","Positif"
"Wahh tampilan nya sekarang ok banget. Cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama OVO. Mohon tambahin dong ewallet Gopay dan DANA. Terus debit BRI, Mandiri, sama BCA.","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","Positif"
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget","Positif"
"Yang baru lucu tapi lemot parah.","Positif"
"Tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya","Positif"
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong","Positif"
"Jarang banget ngasi Ulasan gini, tp ini fix super lemot banget, kukira semakin baik, eh cuma tampilannya doang, masa mau buka apk aja lemot poll, kalo kek gini, kan gak bisa bur"" buka pas mau scan barcode ya","Positif"
"Lebih baik jangan di-update dulu, memang dari segi UI bagus, cuma masih banyak eror","Positif"
"Tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya","Positif"
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong","Positif"
"Jarang banget ngasi Ulasan gini, tp ini fix super lemot banget, kukira semakin baik, eh cuma tampilannya doang, masa mau buka apk aja lemot poll, kalo kek gini, kan gak bisa bur"" buka pas mau scan barcode ya","Positif"
"Lebih baik jangan di-update dulu, memang dari segi UI bagus, cuma masih banyak eror","Positif"
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget","Positif"
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong","Positif"
"Jarang banget ngasi Ulasan gini, tp ini fix super lemot banget, kukira semakin baik, eh cuma tampilannya doang, masa mau buka apk aja lemot poll, kalo kek gini, kan gak bisa bur"" buka pas mau scan barcode ya","Positif"
"Lebih baik jangan di-update dulu, memang dari segi UI bagus, cuma masih banyak eror","Positif"
"Ui ux elit, backend sulit","Positif"
"Pliss KAI segera perbaiki apknya secepatmyaaaaa! , setelah updet bnr bnr apk tidak membantu! Apalagi beli tiket lokal hrus pake apk gk bisa ots. Pas mau beli malah lemooootttt banget, sangat percuma penampilan bagus tapi gak fungsional. Tolong banget segera perbaiki, tadi pagi saya telat naik kereta dan gk jadi naik gra gra lemot apknya!! Lemotnya di semua mau pas log innya. Milih tiketnya, pembayaran dll. Dikasih waktu 5 mnit buat bayar tapi waktunya abis sama loading, udh ganti provider ttp.","Positif"
"Bagus, setelah update aplikasi nya jadi lebih stabil dan tampilan nya yang efisien","Positif"
"Udahh Lancar banget buat beli dan cari tiket malah tambah enak dipandaang ux terbaru nya","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Setelah update tampilan lebih colourfull lebih lengkap bahkan jadwal commuterline..suka dg versi baru kai performnya meningkt jadi lebih cepet","Positif"
"Abis tak update tampikan baru malah makin bagus dan jadi makin lancar, mw cari tiket juga gampang","Positif"
"Bagus.... benr2 bagus baik performa & tampilan","Positif"
"tampilan ok pemesanan cepat lgsung dapat","Positif"
"Setelah update tampilan lebih colourfull lebih lengkap bahkan jadwal commuterline..suka dg versi baru kai performnya meningkt jadi lebih cepet","Positif"
"Abis tak update tampikan baru malah makin bagus dan jadi makin lancar, mw cari tiket juga gampang","Positif"
"Bagus.... benr2 bagus baik performa & tampilan","Positif"
"Udah update versi terbaru tampilanya GEMESSSSS banget sukaa malah lancarr banget juga","Positif"
"Darisegi perfroma lbh baik dari versi seblmunya, suka bgt sama tampilan barunya","Positif"
"enakan yg sekarang aplikasinya lancar ga l emot, tampilan lebih kelihatan seger ga ngebosenin","Positif"
"Setelah update malah ga lemot masuk nya, dr segi tampilan makin oke dan performanya makin baik","Positif"
"Setelah update malah ga lemot masuk nya, dr segi tampilan makin oke dan performanya makin baik","Positif"
