"ulasan","label"
"Good Jobs","Netral"
"Sebenarnya tampilan ini lebih fresh, cuman kalo yg kemarin lebih mudah dan efisien. Kenapa fitur yg seperti kemarin dihilangkan, seperti filter yg dulu lebih variatif dan bisa dipilih sekaligus 2 atau lebih. Sekarang cuman bisa satu saja. Tp overall bagus dan lancar jg","Konflik"
"aplikasi ini bagus, cm kurangnya ketika ingin mencari hotel, belum bisa memilih semua bintang hotel.","Konflik"
"Versi lama mempermudah pelanggan, versi baru justru mempersulit pelanggan. Tolong diperbaiki...","Konflik"
"makin pusing pakek aplikasi kai acces yg baru... saran saya pertahankan yg dulu saja.... kasiancalon pnp yg tua","Konflik"
"Upgrade baru tambah ribet.mending pakai aplikasi lama lebih mudah","Konflik"
"Kalau ga punya sertifikat vaksin bisa naik kerat apa jarak jauh ga ya","Konflik"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","Konflik"
"Ini update versi terbaru malah nggak bisa dibuka. Gimana yaaaaðŸ¥º","Konflik"
"Berat bnget aplikasinya. ðŸ˜… sering keluar sendiri , jadwal krl gak lengkap setelah update. Buka aplikasi sampai 1 menit . Device lama samsung galaxy a50. Ini game berat?","Konflik"
"Baru update.Log in ny butuh verifikasi sms hp tpi lama bgt kirim otp sms nya. Mlh d lock akun ny. Hadeh. Gmn sii???","Konflik"
"Request dong kai acces bikin reschedule perjalanan gitu, biar gak mubazir tiket saya kalo gak jadi bepergian. Thanks","Konflik"
"Apakah ini upgrade an KAI ACCESS sebelum ini?","Netral"
"Udah chat ga bisa login ke cs ga ada kelanjutan","Netral"
"Di update bukan makin bagus . makin lemot jaringan susah masuk...gakjelas","Konflik"
"Saat verifikasi kaipay loh kenapa tibaÂ² kode otp nya muncul dari kaspro.id. apa kerja sama ? Lebih suka aplikasi yang lama. Yang baru ini lemot","Konflik"
"lag banget, padahal internet bagus, tapi apk susah masuk, apalagi semenjak update","Konflik"
"C","Positif"
"Cepat,senyap,simpel......joooooooozzz berangkat..","Positif"
"Oke kok aplikasinya, semoga semakin ditingkatkan.","Positif"
"Membantu sekali, manteb pokoknya","Positif"
"The bestâ™¥ðŸ™","Positif"
"Sudah sesuai harapan.","Positif"
"Lebih mudah memakai aplikasi ini untuk pergi jauh dan tidak perlu repot2 ngntri lbh cepat jg","Positif"
"Terpercaya","Positif"
"Bagus lancar.","Positif"
"KAI PANCEN OKE...","Positif"
"Kerenn","Positif"
"Memudahkan dalam traveling cepat juga pendukung buat yg suka travelling.","Positif"
"Aplikasi mudah digunakan,gak ribet mau ganti jadwal pembatalan tiket cukup lewat aplikasi.","Positif"
"Good","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Aplikasinya mempermudah dan bagus","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","Positif"
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!","Positif"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£A4A143:A604","Positif"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","Positif"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","Positif"
"Cukup membantu dalam mencari informasi mengenai jadwal KA dan promo","Positif"
"Masih mudah dan gampang di pahami aplikasi yg terbaru,,","Positif"
"Setelah upgrade terbaru, sangat memuaskan program ny berubah dan menjadi lebihh memuaskan. Lebih mudah aplikasi yg terbaru daripada yg sblum nya.","Positif"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","Positif"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","Positif"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","Positif"
"Setelah upgrade terbaru, sangat memuaskan program ny berubah dan menjadi lebihh memuaskan. Lebih mudah aplikasi yg terbaru daripada yg sblum nya.","Positif"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","Positif"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","Positif"
