"ulasan","label"
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","1"
"Habis update malah ribet dan sangat sangat lemot, tolong di benahi lagi apa karena masih baru update belum dilalukan percobaan atau gmn, cth di pencarian stasiun kereta sangat lambat loading nya dan stasiun tidak di temukan padahal di versi sebelumnya bisa langsung ketemu dan cepat, pilih tempat duduk loading sampai 20 mnit blm slesai ahirnya beli di traveloka aja ,balikin ke versi sebelumnya aja,di tes dlu sampai benar2 jalan semua fiturnya sebelum apk nya di luncurin buat umum, smg d benerin","0"
"Update besar2an aplikasi KAI semakin bagus, respon cepat dan UI keren. Cuma ada kekurangan yaitu metode pembayaran e wallet cuma ada opsi OVO, mungkin kedepan bisa ditambahkan wallet lain seperti gopay, shopeepay, dana atau virtual account.","1"
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","1"
"Setelah di update ke fitur baru jadi lemot bgt:(((","0"
"Tambah lemot, Fitur nambah tapi sistem gak support","0"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","1"
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","0"
"Ini setelah d update kenapa aplikasi nya jadi lemot banget min,bahkan logout sendiri,pas mau masuk jdi gk bisa masuk keterangan nya ""failed request"" padahal udah biasa dulu pake KAI acces, tolong donk klo memang harus pake aplikasi,aplikasinya yaa di bikin simpel dan mudah akses nya jangan jadi malah susah gini.","0"
"Dih gemes banget sama aplikasi KAI yang sekarang kenapa sih pake di rubah segala enak yang dulu sekarang lemot pollll fitur2nya juga gak jelas , jelas an yang dulu please deh kembalikan aplikasi kai yang dulu aja ðŸ§ðŸ§ðŸ§ðŸ§","0"
"Bagus sih ada beberapa bagian menu yg bukanya cepat. Tapi sering log out dan sulit masuk ke app lagi. Bahkan hari ini ter log out tp gak bisa log in lagi.Mungkin kedepannya ada opsi pembayaran Comuter selain pakai KAIPay. Mohon app nya segera diperbaiki.","1"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0"
"Ui ux elit, backend sulit","0"
"Ga bisa diapa""kan nih aplikasi wkwkwk.. buka aja syusah bagus penampilan, buruk dalamnya","0"
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!","0"
"alhamdulilah beberapa kali perjalanan pesan tiket lewat apk ini lancar jaya tanpa ada kendala apapun. Dan di loket cekin cukup menunjukkan barkot di tiket online aja tanpa perlu mencerak/print dulu. Semoga semakin sukses KAI","1"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","1"
"Aplikasi lebih ringan , dan mudah untuk digunakan ,juga penambahan fiturnya lengkap","1"
"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, thanks kai aplikasinya bagus dan lancar tdk ada trouble","1"
"Cukup membantu dalam mencari informasi mengenai jadwal KA dan promo","1"
"Aplikasinya sdh bagus hanya saja saat pilih kursi tdk akses pakai pembaca layar talk back buat tuna netra Kala pilih kursi masih bagus aplikasi lama tampilan pilih kursi tersedia atau terisinya","0"
"alhamdulillah jd lebih mudah... lancar, dulu susah banget kl mau hapus email (akun) krn sdh tdk aktif, skrg kl mau ganti nomer caranya udh gampang bgt. sukaaa","1"
"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet gak efisien, masih enak apk sebelum update. Gak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi gak fokus apk khusus KAI.","0"
"Ini UI di update terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yg terpisah menunya. Jadi kebih mudah, cepat dan juga railfood ðŸ¥°ðŸ¥°","1"
"Sebenarnya tampilan ini lebih fresh, cuman kalo yg kemarin lebih mudah dan efisien. Kenapa fitur yg seperti kemarin dihilangkan, seperti filter yg dulu lebih variatif dan bisa dipilih sekaligus 2 atau lebih. Sekarang cuman bisa satu saja. Tp overall bagus dan lancar jg","0"
