"Ulasan","Performa","Pemesanan","Pembayaran","Fitur","Tampilan","Umum"
"Tolong di perbaiki lagi aplikasi ini,sering logout sendiri,untuk mengakses jg sangat lama. Disappointed Terimakasih.","Negatif","","","","",""
"Minta update mulu semenjak tampilan baru,i makin susah diakses dan jauh lebih ribet fiturnya","Konflik","","","","",""
"Setelah update kenapa jadi susah buat cek tiket ??? Loading terus. Harus pakai waifi dulu baru bisa dibuka .. Tolong dong diperbaiki !!","Negatif","Negatif","","","",""
"Saat pesan loading nya lama banget, pas dibatalkan dan pesan lagi malah kursi tidak tersedia","","Negatif","","","",""
"Setelah update saya tidak bisa menggunakan promo alumni ITB dan QRIS tidak terdeteksi","Negatif","","","","",""
"saat login lamaaAAAA","Negatif","","","","",""
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","Positif","","Positif","Positif","",""
"Sangatt lemott","Negatif","","","","",""
"Sepertinya ada yang keliru dalam pengaturan batas waktu pembayaran, Ketika akan melakukan pembayaran menggunakan KAI pay maupun QRIS LinkAja batas waktu pembayaran yang tertera 00:-51:00 sehingga memunculkan notifikasi error 'kadaluwarsa, waktu pemesanan anda telah habis' langsung setelah kami klik 'bayar' Mohon segera diperbaiki","","","Netral","","",""
"Setelah update kaya fitur tapi lemot nya minta ampun, jauh sekali dari yang diharapkan, tolong lekas dibenahi","","","","Konflik","",""
"Habis update malah ribet dan sangat sangat lemot, tolong di benahi lagi apa karena masih baru update belum dilalukan percobaan atau gmn, cth di pencarian stasiun kereta sangat lambat loading nya dan stasiun tidak di temukan padahal di versi sebelumnya bisa langsung ketemu dan cepat, pilih tempat duduk loading sampai 20 mnit blm slesai ahirnya beli di traveloka aja ,balikin ke versi sebelumnya aja,di tes dlu sampai benar2 jalan semua fiturnya sebelum apk nya di luncurin buat umum, smg d benerin","Negatif","","","Negatif","",""
"Lebih nyaman dan cepat digunakan versi sblm ganti tampilan dll.","Positif","","","","",""
"Update besar2an aplikasi KAI semakin bagus, respon cepat dan UI keren. Cuma ada kekurangan yaitu metode pembayaran e wallet cuma ada opsi OVO, mungkin kedepan bisa ditambahkan wallet lain seperti gopay, shopeepay, dana atau virtual account.","Positif","","","Positif","",""
"banyak tools tp lemot..suka time out..","Negatif","","","","",""
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","Positif","","","Positif","",""
"Tolong dong jangan di ganti susah dan bingung jadi nya mau pesen","","Negatif","","","",""
"Setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses loading lama","","Negatif","","","",""
"Jadi ribet pengoperasiannya","Negatif","","","","","Negatif"
"Setelah di update bukannya lebih baik malah zonk. tampilan dan pengoperasian lebih efisien versi lama sumpah, versi baru nyebelin. Aneh","Negatif","","","","","Negatif"
"Hallo, menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai-pay dengan tiket yang sama, padahal niat awal hanya ingin merefresh saja. Tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya, terima kasih.","","","","","",""
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","","Negatif","","","",""
"Lemot bgtttt si abis upgrade tp kualitas malah downgrade, bolak balik pemesanan tinggal bayar aja lemotnya MaasyaaAllah. Mau apasi","","Negatif","Negatif","","",""
"Menurut aku ketika di update tiket kereta susah buat nunggu cairnya tiket yang di refund beda dengan sebelumnya uang yang kita refund harus nunggu 45 hari buat di transfer kembali pada saat belum di update bisa langsung cair 1jam bahkan gada berhari hari,sangat disayang kan disitu tapi overall dari UI nya sudah bagus.","","","Negatif","","","Positif"
"Jadi lemot banget mau masuk menu home","","","","","","Negatif"
"Kalau ga punya sertifikat vaksin bisa naik kerat apa jarak jauh ga ya","","","","","","Konflik"
"Semakin susah gak bs di pesan gak bisa di klik.. masih bagus yg versi lamaðŸ˜­","","Negatif","","","",""
"Fitur reduksi harga dihilangkan, aplikasi juga sangat lemot! Ciri khas bumn bgt!","","Negatif","Negatif","","",""
"saya rasa upgrade version yg sekarang sangat menurun performanya, aplikasi menjadi lambat, terkesan berat, lalu banyak fitur yg kurang berguna sebenarnya,jauhh lebih baik versi sebelum updatenya baik dari performa maupun dari tampilan ui/ux yg lebih friendly versi sebelumnya, mohon ditinjau kembali upgrade app ini","Positif","","","","","Positif"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","","Negatif","Negatif","","",""
"Setelah di update ke fitur baru jadi lemot bgt:(((","Negatif","","","Negatif","",""
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","","","","Konflik","","Konflik"
"Kalau tiket abis ga usah di tampilin lagi listnya, jadi bingung nge tap satu persatu karena yang habis tetap ada di list","","Negatif","","","",""
"aplikasi menjadi sangat lemot sesudah di update, tapi di aplikasi lain smuanya lancar dan cepat, susah login, susah booking, selalu lemot muter terus saya tunggu hampir 1 jam bulak balik masih saja lemot, aneh! diharuskan pesen online tapi aplikasinya kayak begini!! bukan mempermudah tapi mempersusah!","Negatif","","","","",""
"Lemot banget ga bisa login Tolong perbaikannya","Konflik","","","","",""
"Aplikasi baru sering crash","Konflik","","","","",""
