ulasan,label
"Ui ux elit, backend sulit",Negatif
"Ga bisa diapa""kan nih aplikasi wkwkwk.. buka aja syusah bagus penampilan, buruk dalamnya",Negatif
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!",Negatif
alhamdulilah beberapa kali perjalanan pesan tiket lewat apk ini lancar jaya tanpa ada kendala apapun. Dan di loket cekin cukup menunjukkan barkot di tiket online aja tanpa perlu mencerak/print dulu. Semoga semakin sukses KAI,Positif
"Updateny bagus,tpi susah skrng dftr kaipayny, udah gitu byar pake kai juga susah",Netral
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ğŸ¤£",Positif
"Aplikasi lebih ringan , dan mudah untuk digunakan ,juga penambahan fiturnya lengkap",Positif
"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, thanks kai aplikasinya bagus dan lancar tdk ada trouble",Positif
Cukup membantu dalam mencari informasi mengenai jadwal KA dan promo,Positif
Aplikasinya sdh bagus hanya saja saat pilih kursi tdk akses pakai pembaca layar talk back buat tuna netra Kala pilih kursi masih bagus aplikasi lama tampilan pilih kursi tersedia atau terisinya,Negatif
"alhamdulillah jd lebih mudah... lancar, dulu susah banget kl mau hapus email (akun) krn sdh tdk aktif, skrg kl mau ganti nomer caranya udh gampang bgt. sukaaa",Positif
"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet gak efisien, masih enak apk sebelum update. Gak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi gak fokus apk khusus KAI.",Negatif
"Ini UI di update terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yg terpisah menunya. Jadi kebih mudah, cepat dan juga railfood ğŸ¥°ğŸ¥°",Positif
"Sebenarnya tampilan ini lebih fresh, cuman kalo yg kemarin lebih mudah dan efisien. Kenapa fitur yg seperti kemarin dihilangkan, seperti filter yg dulu lebih variatif dan bisa dipilih sekaligus 2 atau lebih. Sekarang cuman bisa satu saja. Tp overall bagus dan lancar jg",Negatif
"Aplikasi update terbaru bagus, tp Saran q baikny harga2 tiket yg sdh habis terjual, d taruh paling bawah seperti aplikasi sebelumnya supaya gx bingung. Klu skrang d kirain msh ada tiketny, ternyata zonk.",Negatif
Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet,Positif
"Apk nya ngebantu bangettt apalagi kalo misalkan lagi butuh cepettt tiket kereta, ditambah lagi bisa order makanan via apk juga",Positif
Sejak diupdate malah makin mudah Aplikasinya ga lemot lagi. mudah sekali ketika cek tiket dan ketika menyelesaikan step by step setelah isi data penumpang. Update terbaru ini sangat membantu saya puas,Positif
Semakin memberikan kemudahan customer update an yg baru ini. Bintang 5 buat update an terbarunya kai udah ga lemot lagi jadi jos mantp is the best lancar jaya. Lebih suka aplikasi terbaru ini karena mudah dimengerti oleh customer/pengguna,Positif
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga",Positif
setelah di upgrade malah jadi lancar. aplikasi nya buka jadwal/pembayaran malah jadi lebih cepet,Positif
"sangat tidak ramah untuk penggunaan pembelian tiket harusnya cuman isi data diri ,pilih kursi, langsung bayar sekarang ada pembelian makanan , tiket transportasi dll sangat menganggu proses transaksi harusnya di pisah dari tools utama yaitu pembelian tiket jangan di selipi untuk pesan makanan maupun akomodasi transportasi. terimakasih",Negatif
Iya sih makin lancar tapi aplikasi yang baru tidak efektif dalam pemilihan kursi. Tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien,Negatif
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia",Positif
"Mau naik kereta api bookingnya makin mudah, aplikase lancar.. ",Positif
Di update bukannya makin bagus malah makin buruk. Tidak se simpel praktis dulu. Banyak iklan.,Negatif
Pembayaran ga ribet pake kaipay makin mempermudah user kai buat pesen tikt sih ini fiturbarunya satset parah lagi,Positif
Tidak megnecewakan siii setelah di update malah satset parah. Ada prommo kemerdekaan jgu sangat membantu sekali tengkyu kai,Positif
"aplikasi g guna, klo g bisa meng operasikan aplikasi mending offline aj, malah di tiadakan offline",Negatif
"jadi ngga bisa cek jadwal krl, aplikasi malah jd lebih rumit, simple yg versi lama",Negatif
"Setelah di update jadi lebih baik ngga zonk lagi baik dari performa fitur""nya dll. tampilan dan pengoperasian jugalebih efisien versi terbaru sumpah, versi lamanya nyebelin. Aneh",Positif
Apk terbaru kebanyakan menu,Negatif
"Dari segi performa kai accsess terbaru lbih baik daripada seblumnya, booking tiekt makin mudah dan bayarnya bisa pake Qris ada fiturbuat pesen hotel juga lengkap",Positif
