ulasan,label
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget",Negatif
"Secara tampilan oke, masalah sistem jauh sama yang lama. Lemot banget min, kukira jaringan yg lemot ternyata bukan sampe restart hp berkali-kali Mau pesen malah jadi seribet ini. Mending yang lama",Konflik
"lebih buruk dari aplikasi sebelumnya, aplikasi baru walaupun tampilannya bagus, tapi sangat lamban dan sering error, kita yang butuh tiket cepat jd terhambat.",Negatif
aplikasi buatan negri memang terbaik waktu buka aplikasinya juga cepet banget gak pakek loading terbaik emang buatan anak negeri,Positif
"Ui ux elit, backend sulit",Negatif
"Ga bisa diapa""kan nih aplikasi wkwkwk.. buka aja syusah bagus penampilan, buruk dalamnya",Negatif
Yang baru lucu tapi lemot parah.,Negatif
Tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya,Negatif
Sangat baik,Positif
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!",Netral
"Tampilan jadi semakin bagus. sebelum di Update sering Lemot, setelah di Update untuk akses ke semua Fitur lancar jaya. Fitur untuk Commuter Line lebih lancar dibandingkan via aplikasi C Acces.",Negatif
pakai aplikasi sangat membantu banget bisa mesan tiket dari jauh hari 😊😊😊,Positif
alhamdulilah beberapa kali perjalanan pesan tiket lewat apk ini lancar jaya tanpa ada kendala apapun. Dan di loket cekin cukup menunjukkan barkot di tiket online aja tanpa perlu mencerak/print dulu. Semoga semakin sukses KAI,Positif
"ini sudah beli tiket, di cek di akun kai access menu tiket tidak muncul, eror terus, tp kalau mau pesan dan pembayaran lancar..aplikasi kocak",Negatif
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho 🤣",Positif
"Aplikasi lebih ringan , dan mudah untuk digunakan ,juga penambahan fiturnya lengkap",Positif
Setelah update audah bisa aktivasi... Good job... �?�?,Positif
"Update baru, memuaskan",Positif
"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, thanks kai aplikasinya bagus dan lancar tdk ada trouble",Positif
