ulasan,label
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget",Positif
"Ga bisa diapa""kan nih aplikasi wkwkwk.. buka aja syusah bagus penampilan, buruk dalamnya",Positif
Yang baru lucu tapi lemot parah.,Positif
Tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya,Positif
"Aplikasi Ini Keren🤩 Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAI🤩",Positif
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho 🤣",Positif
"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, thanks kai aplikasinya bagus dan lancar tdk ada trouble",Positif
Thanks tampilan baru lebih intuitif,Positif
"Bagus nih, tampilan enak diliat, tapi di gua gak lemot kok tampilannya, enteng juga apk nya ga berat",Positif
"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet gak efisien, masih enak apk sebelum update. Gak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi gak fokus apk khusus KAI.",Negatif
Setelah update tampilan lebih colourfull lebih lengkap bahkan jadwal commuterline..suka dg versi baru kai performnya meningkt jadi lebih cepet,Positif
Updatean malah jadi kek Tokopedia. Secara visual lebih baik tapi secara keseluruhan aplikasi yang lama keknya lebih baik.,Positif
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong",Positif
"Sebenarnya tampilan ini lebih fresh, cuman kalo yg kemarin lebih mudah dan efisien. Kenapa fitur yg seperti kemarin dihilangkan, seperti filter yg dulu lebih variatif dan bisa dipilih sekaligus 2 atau lebih. Sekarang cuman bisa satu saja. Tp overall bagus dan lancar jg",Positif
"update nya bagus, tapi lebih bagus lagi kalau ada tema warna gelap...",Negatif
Aplikasinya mempermudah dan bagus,Positif
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress",Positif
"Abis tak update tampikan baru malah makin bagus dan jadi makin lancar, mw cari tiket juga gampang",Positif
"Lebih mudah digunakan yg tampilan lama, yg baru lebih ruwet",Konflik
Ko tiba tiba update kaget ama logo dan mana barunya tapi jadi makin lancar sihh,Konflik
"Setelah update jadi lancar, tapi tampilan antarmukanya bagusan yang sebelumnya",Negatif
Lebih suka tampilan app yg dulu,Negatif
"Jarang banget ngasi Ulasan gini, tp ini fix super lemot banget, kukira semakin baik, eh cuma tampilannya doang, masa mau buka apk aja lemot poll, kalo kek gini, kan gak bisa bur"" buka pas mau scan barcode ya",Positif
Tampilan baru malah semakin buruk..,Negatif
Semenjak update jadi tidak berat tapi tampilan ui nya saya ga nyaman,Negatif
Bagus.... benr2 bagus baik performa & tampilan,Positif
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ",Positif
Udah update versi terbaru tampilanya GEMESSSSS banget sukaa malah lancarr banget juga,Positif
"Setelah di update jadi lebih baik ngga zonk lagi baik dari performa fitur""nya dll. tampilan dan pengoperasian jugalebih efisien versi terbaru sumpah, versi lamanya nyebelin. Aneh",Positif
"Cari tiket nya jadi sedikit menyusahkan, harus drop down dulu, kurang jelas tiket mana yg available, lebih jelas tampilan di versi sblm nya.. dan jadi tidak bisa sorting tiket yg available menurut harga,dsb.. Yg tersorting hanya judul besar tiket.. saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya, menurut saya itu sudah sangat jelas",Negatif
"Secara user interface lebih baik yang sebelumnya, mungkin ya memang lebih terkesan modern atau bagus dipandang. Namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis makan seharusnya otomatis turun atau pindah ke bawah seperti dulu, serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan.",Konflik
"Kalo dibandingin kai yg dulu sama sekarang beda bgt dari segi performa nya makin lancar dari pesen tiket, bayarnya, tmpilannya menarik juga ditambah fitur2 terbaru yg bermanfaat bangett menurut saya",Positif
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa",Negatif
Msh blm familiar dengan tampilan barunya,Konflik
