ulasan,label
mantaap,Positif
aplikasi buatan negri memang terbaik waktu buka aplikasinya juga cepet banget gak pakek loading terbaik emang buatan anak negeri,Positif
"Ga bisa diapa""kan nih aplikasi wkwkwk.. buka aja syusah bagus penampilan, buruk dalamnya",Negatif
Good Jobs,Netral
Sangat baik,Positif
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!",Netral
"Tampilan jadi semakin bagus. sebelum di Update sering Lemot, setelah di Update untuk akses ke semua Fitur lancar jaya. Fitur untuk Commuter Line lebih lancar dibandingkan via aplikasi C Acces.",Negatif
pakai aplikasi sangat membantu banget bisa mesan tiket dari jauh hari ğŸ˜ŠğŸ˜ŠğŸ˜Š,Positif
Kereen,Positif
"penyegaran UI/UX nya sngt membantu sekali, teruss tingkatkan pelayanan dan pengembangan aplikasi, selalu terima masukan dri user jadikan bahan evaluasi agar lbih baik lgi.",Negatif
Kerenn,Positif
Memudahkan dalam traveling cepat juga pendukung buat yg suka travelling.,Positif
"Aplikasi mudah digunakan,gak ribet mau ganti jadwal pembatalan tiket cukup lewat aplikasi.",Positif
Good,Positif
"Dapat pesan tiket sambil rebahanğŸ˜‚ , mudah pilih kursi sesuai selerağŸ˜€",Positif
"Cepat,senyap,simpel......joooooooozzz berangkat..",Positif
"Aplikasi Ini KerenğŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIğŸ¤©",Positif
"Oke kok aplikasinya, semoga semakin ditingkatkan.",Positif
"Membantu sekali, manteb pokoknya",Positif
The bestâ™¥ğŸ™?,Positif
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ğŸ¤£",Positif
Sudah sesuai harapan.,Positif
"Aplikasi lebih ringan , dan mudah untuk digunakan ,juga penambahan fiturnya lengkap",Positif
Setelah update audah bisa aktivasi... Good job... ğŸ‘?ğŸ‘?,Positif
"Update baru, memuaskan",Positif
"Keren si ini, nyaman aplikasinya. Serig pesen tiket lewat pake aplikasi KAI acces",Positif
"Mantap min, sudah bisa beli tiket commuter lewat kai acces makin mempermudah pengguna yeay, terimakasih ğŸ™?ğŸ‘?",Positif
Lebih mudah memakai aplikasi ini untuk pergi jauh dan tidak perlu repot2 ngntri lbh cepat jg,Positif
Terpercaya,Positif
Bagus lancar.,Positif
KAI PANCEN OKE...,Positif
Cukup membantu dalam mencari informasi mengenai jadwal KA dan promo,Positif
Terimakasih apk nya sangat membantu ğŸ¤©,Positif
Bagus lancar dan pemuda kita untuk pesan tiket,Positif
"Terima kasih, akhirnya bisa terupdate juga, tampilan UI nya mengkeren dari sebelumnya ğŸ‘?",Positif
Aplikasinya sdh bagus hanya saja saat pilih kursi tdk akses pakai pembaca layar talk back buat tuna netra Kala pilih kursi masih bagus aplikasi lama tampilan pilih kursi tersedia atau terisinya,Positif
Update terbarunya keren makin simple dan satset udah ada semua,Positif
"Memudahkan konsumen,menyingkat waktu",Positif
Sangat memudahkan alkamdulillah,Positif
"Bagus nih, tampilan enak diliat, tapi di gua gak lemot kok tampilannya, enteng juga apk nya ga berat",Positif
Nicee,Positif
"Behhhhh mantap,kalo bisa ada fitur yang bisa ngecek jalur nya bisa kek stasiun apa ajah kaya,serang bisa jalur stasiun Cilegon,pasir putih dhh kek gitu lah",Positif
"Udah update access by KAI, selama ini lancar - lancar saja",Positif
"Sangat menarik dari sisi tampilan dan lebih akurat dalam menyampaikan informasi Perjalanan kereta api, ini juga lebih cepat apknya berjalan",Positif
Mantap,Positif
"alhamdulillah jd lebih mudah... lancar, dulu susah banget kl mau hapus email (akun) krn sdh tdk aktif, skrg kl mau ganti nomer caranya udh gampang bgt. sukaaa",Positif
"Banyak fitur menjadi satu, ini baru keren. (Ka Jarak Jauh, Ka Lokal, Ka Bandara, Commuter Line) Mantap.",Positif
Sangat membantu aktifitas kerja dan jadi lebih efisien karena tdk butuh waktu lama untuk pesan tiket semakin lancarjg,Positif
Bagus ğŸ‘?ğŸ?»ğŸ‘?ğŸ?»ğŸ‘?ğŸ?»ğŸ‘?ğŸ?»ğŸ‘?ğŸ?»,Positif
Pelayanan mudah dipahami,Positif
Mantap,Positif
"Nah, akhirnya setelah server diperbaiki, sekarang kuenceng. Terima kasih KAI",Positif
"Ini UI di update terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yg terpisah menunya. Jadi kebih mudah, cepat dan juga railfood ğŸ¥°ğŸ¥°",Positif
Updatean malah jadi kek Tokopedia. Secara visual lebih baik tapi secara keseluruhan aplikasi yang lama keknya lebih baik.,Negatif
Mantap terimakasih,Positif
"Sebenarnya tampilan ini lebih fresh, cuman kalo yg kemarin lebih mudah dan efisien. Kenapa fitur yg seperti kemarin dihilangkan, seperti filter yg dulu lebih variatif dan bisa dipilih sekaligus 2 atau lebih. Sekarang cuman bisa satu saja. Tp overall bagus dan lancar jg",Konflik
Keren jg update yg terbaru,Positif
Mantab,Positif
"aplikasi ini bagus, cm kurangnya ketika ingin mencari hotel, belum bisa memilih semua bintang hotel.",Konflik
"Mantap,sudah bisa dan sukses selalu",Positif
Bagus sekali,Positif
"Aplikasi Bagus ,Aplikasi Ini Sangat Membantu Para Travel Khusunya Yang Menggunakan Jalur Kereta Api.",Positif
"LANCARR DI HP ku tapi dg spek lumayan tinggi lo, gatau kok orang-orang bilanylemot banget tapi di aku lancar. Banyak promo hotel jug",Positif
Terlalu bnyak menu semakin lemot aplikasinya....,Negatif
Sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pake apk tiket online yang lain,Positif
Aplikasinya mempermudah dan bagus,Positif
"kualitasnya lebih baik untuk baru di update, saya mau pesan tiket juga makin mudah sudah tidak eror dan lemot",Positif
"Updetan versi terbaru bner2 makin bagus deh dah gaLemot banget, sanagat memudhakan daripada versi lama",Positif
Sejak diupdate malah makin mudah Aplikasinya ga lemot lagi. mudah sekali ketika cek tiket dan ketika menyelesaikan step by step setelah isi data penumpang. Update terbaru ini sangat membantu saya puas,Positif
Lancar bettt,Positif
"Setelah update jadi mudah buat login, ga butuh waktu yang lama untuk login. Keren nih app terupdatenya",Positif
Diperbarui malah lebih baik & malah memudahkann. Mau upgrade ke basic pake akun yang lama mudah lancar jaya langusugn bisa. Bintang 5,Positif
UI klo belom mateng gausa di launching,Negatif
"Sangat lancar buat pesen tiket kereta, bookng hotel juga bisa lewat kai sekrang",Positif
"Ga nyesel upgrade ke versi baru, awalnya berkali2 coba masuk tetep aja g bisa login setelh upgrade mudah login",Positif
byk promonya jg ni abis di perbarui pesen tiket dpat harga promo kan jadi enak ya,Positif
Aplikasi aman lancar jaya & Membuat Pelanggan KAI Semakin mudah Dengan Update Ini.,Positif
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga",Positif
Aplikasi baru alhamdulillah.... lancar Mau pesen tiket ka lokal jadi lebih gampang,Positif
GOOD buat pemerintah apk kai terbru kualitasnya bagus cepet jg,Positif
"Habis di update jadi mudah diakses, bagus versi terbaru daripada sebelumnya kaga lemot",Positif
"Aplikasinya tidak familiar, mending yang lama",Negatif
"Diupdate jdi makin lancar, tak kasih bintang 5 deh buat aplikasi ini",Positif
Aplikasinya Lebih bagus daripada sistem yang lama,Positif
Masih bagus yang lama. Setelah di-update malah bobrok,Negatif
Ada pembaruan bukannya tambah oke malah buruk,Negatif
Malah semakin bagus dan lancar banget aplikasi nya di versi terbaru ini...,Positif
"Aplikasi setelah update justru gak jelas, semakin ribet!!",Negatif
"Versi lama mempermudah pelanggan, versi baru justru mempersulit pelanggan. Tolong diperbaiki...",Konflik
Setelah upgrade kok malah susah banget ya masuk aplikasinya..semoga segera di benahi aplikasi ini.,Negatif
"Udah normal apanya, ini aku mau masuk suruh masuk pakai email lagi. Bad bgt KAI access yg baru, menyulitkan customer.",Negatif
