"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-"
"Menurut aku ketika di update tiket kereta susah buat nunggu cairnya tiket yang di refund beda dengan sebelumnya uang yang kita refund harus nunggu 45 hari buat di transfer kembali pada saat belum di update bisa langsung cair 1jam bahkan gada berhari hari,sangat disayang kan disitu tapi overall dari UI nya sudah bagus.","0","0","0","0","0","0","0","1","1","0","0","0"
"Semenjak aplikasinya update jadi makin lemot hadehh","0","0","0","0","0","0","0","0","0","0","0","1"
"Tampilan emang have fun and youth. Fasilitas lebih banyak tapi masih belum berfungsi. Tapi namanya jadi tidak spesial. Orang lebih mudah mencari KAI dari pada Access. Nama Kai Access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. Lah kalo ACCESS ini maknanya apa? Revamp ya revamp. Tapi gak jadi lebih aneh gitu. Jadi inget bikin stasiun tapi lupa buat jalan akses. Kan aneh. Mmm mungkin mau buat kayak LIVIN by mandiri","0","0","0","0","0","0","0","0","1","0","0","1"
"Bagus sih ada beberapa bagian menu yg bukanya cepat. Tapi sering log out dan sulit masuk ke app lagi. Bahkan hari ini ter log out tp gak bisa log in lagi.Mungkin kedepannya ada opsi pembayaran Comuter selain pakai KAIPay. Mohon app nya segera diperbaiki.","0","0","0","0","0","0","0","0","0","0","0","0"
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","0","0","0","0","0","0","0","1","0","1","0","1"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","0","0","0","0","0","0","1","0","0","0","1","0"
"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet gak efisien, masih enak apk sebelum update. Gak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi gak fokus apk khusus KAI.","1","0","0","0","0","0","0","0","0","1","0","0"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","0","0","0","0","0","0","1","0","0","0","1","0"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","0","0","0","0","0","0","1","0","0","0","1","0"
"Semenjak update jadi tidak berat tapi tampilan ui nya saya ga nyaman","1","0","0","0","0","0","0","0","0","1","0","0"
