"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-","label"
"Semenjak aplikasinya update jadi makin lemot hadehh","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Tampilan emang have fun and youth. Fasilitas lebih banyak tapi masih belum berfungsi. Tapi namanya jadi tidak spesial. Orang lebih mudah mencari KAI dari pada Access. Nama Kai Access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. Lah kalo ACCESS ini maknanya apa? Revamp ya revamp. Tapi gak jadi lebih aneh gitu. Jadi inget bikin stasiun tapi lupa buat jalan akses. Kan aneh. Mmm mungkin mau buat kayak LIVIN by mandiri","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet gak efisien, masih enak apk sebelum update. Gak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi gak fokus apk khusus KAI.","1","0","0","0","0","0","0","0","0","1","0","0","100000000100"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Semenjak update jadi tidak berat tapi tampilan ui nya saya ga nyaman","1","0","0","0","0","0","0","0","0","1","0","0","100000000100"
"KAI update otomatis di hp saya seltah saya buka dan ccoba versi barunya emang lebih user freandly,,,, syaa juga langsung pesan tiket untk kebernagkatan ke surabaya dg commuterline wah dari pencarian, pemesanan dan bayarnya mudah bettt lancar. suwun kai","1","0","1","0","1","0","0","0","0","0","0","0","101010000000"
"Good job KAI aplikasinya jadi lancar banget, pemesanan cepat bgt, di upgrade jd lebih baik dan lebih mudah diakses","0","0","1","0","0","0","0","0","0","0","1","0","001000000010"
"Kalo dibandingin kai yg dulu sama sekarang beda bgt dari segi performa nya makin lancar dari pesen tiket, bayarnya, tmpilannya menarik juga ditambah fitur2 terbaru yg bermanfaat bangett menurut saya","1","0","0","0","0","0","1","0","1","0","0","0","100000101000"
"tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit, tapi menarik,,, untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo, soalnya saya user ovo bangwt","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Update sangat tidak nyaman Memang tampilan lebih baik Tapi buat apa tampilan baik kalo malah jadi lebih ribet Tolong tampilkan harga tiket per kelas bukan per nama kereta Sangat menyusahkan Dan tolong kembalikan filter kelas pada filter pencarian","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Semenjak update aplikasi udah ngak lemot,,tapi tampilan membingungkan. Kereta yang penuh masih muncul untungnya pesen tiket sama bayar nya aman dan gampang bgt.","1","0","0","0","0","0","0","0","0","1","0","0","100000000100"
"Buat skrang yg semua serba online kai access verisi terbaru memudhkan usernya buat pesen tiket bayarnya jg secara online, approve buat kai","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Diupdate malah bisa beli tiket dg mudah... lancar terus... UI nya yg diperbaiki jg lebih keren... lebih baik dari versi yg lama.. versi yg baru bagus banget performanya..","1","0","0","0","0","0","0","0","1","0","1","0","100000001010"
"Sejak diperbarui makin garibet.. Pesen tiket jadi sat set.. ga lemot.. lbih mudah beli tiket di aplikasi skrng.. Hhh.. lebih baik daripada seblumnya.. Thx","1","0","0","0","1","0","0","0","0","0","1","0","100010000010"
"Udahh Lancar banget buat beli dan cari tiket malah tambah enak dipandaang ux terbaru nya","1","0","0","0","0","0","0","0","1","0","0","0","100000001000"
"Tolong di perbaiki lagi aplikasi ini,sering logout sendiri,untuk mengakses jg sangat lama. Disappointed Terimakasih.","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Minta update mulu semenjak tampilan baru,i makin susah diakses dan jauh lebih ribet fiturnya","0","1","0","0","0","0","0","1","0","0","0","0","010000010000"
"Setelah update kenapa jadi susah buat cek tiket ??? Loading terus. Harus pakai waifi dulu baru bisa dibuka .. Tolong dong diperbaiki !!","0","1","0","1","0","0","0","0","0","0","0","0","010100000000"
"Saat pesan loading nya lama banget, pas dibatalkan dan pesan lagi malah kursi tidak tersedia","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Setelah update saya tidak bisa menggunakan promo alumni ITB dan QRIS tidak terdeteksi","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"saat login lamaaAAAA","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","1","0","0","0","1","0","1","0","0","0","0","0","100010100000"
"Sangatt lemott","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Habis update malah ribet dan sangat sangat lemot, tolong di benahi lagi apa karena masih baru update belum dilalukan percobaan atau gmn, cth di pencarian stasiun kereta sangat lambat loading nya dan stasiun tidak di temukan padahal di versi sebelumnya bisa langsung ketemu dan cepat, pilih tempat duduk loading sampai 20 mnit blm slesai ahirnya beli di traveloka aja ,balikin ke versi sebelumnya aja,di tes dlu sampai benar2 jalan semua fiturnya sebelum apk nya di luncurin buat umum, smg d benerin","0","1","0","0","0","0","0","1","0","0","0","0","010000010000"
"Lebih nyaman dan cepat digunakan versi sblm ganti tampilan dll.","1","0","0","0","0","0","0","0","0","0","0","0","100000000000"
"Update besar2an aplikasi KAI semakin bagus, respon cepat dan UI keren. Cuma ada kekurangan yaitu metode pembayaran e wallet cuma ada opsi OVO, mungkin kedepan bisa ditambahkan wallet lain seperti gopay, shopeepay, dana atau virtual account.","1","0","0","0","0","0","1","0","0","0","0","0","100000100000"
"banyak tools tp lemot..suka time out..","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","1","0","0","0","0","0","1","0","0","0","0","0","100000100000"
"Tolong dong jangan di ganti susah dan bingung jadi nya mau pesen","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses loading lama","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Jadi ribet pengoperasiannya","0","1","0","0","0","0","0","0","0","0","0","1","010000000001"
"Setelah di update bukannya lebih baik malah zonk. tampilan dan pengoperasian lebih efisien versi lama sumpah, versi baru nyebelin. Aneh","0","1","0","0","0","0","0","0","0","0","0","1","010000000001"
"Hallo, menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai-pay dengan tiket yang sama, padahal niat awal hanya ingin merefresh saja. Tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya, terima kasih.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Lemot bgtttt si abis upgrade tp kualitas malah downgrade, bolak balik pemesanan tinggal bayar aja lemotnya MaasyaaAllah. Mau apasi","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Jadi lemot banget mau masuk menu home","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Semakin susah gak bs di pesan gak bisa di klik.. masih bagus yg versi lamaðŸ˜­","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Fitur reduksi harga dihilangkan, aplikasi juga sangat lemot! Ciri khas bumn bgt!","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"saya rasa upgrade version yg sekarang sangat menurun performanya, aplikasi menjadi lambat, terkesan berat, lalu banyak fitur yg kurang berguna sebenarnya,jauhh lebih baik versi sebelum updatenya baik dari performa maupun dari tampilan ui/ux yg lebih friendly versi sebelumnya, mohon ditinjau kembali upgrade app ini","1","0","0","0","0","0","0","0","0","0","1","0","100000000010"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Setelah di update ke fitur baru jadi lemot bgt:(((","0","1","0","0","0","0","0","1","0","0","0","0","010000010000"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Kalau tiket abis ga usah di tampilin lagi listnya, jadi bingung nge tap satu persatu karena yang habis tetap ada di list","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"aplikasi menjadi sangat lemot sesudah di update, tapi di aplikasi lain smuanya lancar dan cepat, susah login, susah booking, selalu lemot muter terus saya tunggu hampir 1 jam bulak balik masih saja lemot, aneh! diharuskan pesen online tapi aplikasinya kayak begini!! bukan mempermudah tapi mempersusah!","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Ganti baru malah ngak bisa tuk pesan KA antar kota.tpi kalau KA lokasi bisa...","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Lemmootnya minta ampun, tolong segera di perbaiki sistemnya. Lebih baik uninstal klo lemot bgt kya gini","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Cepat,senyap,simpel......joooooooozzz berangkat..","1","0","0","0","0","0","0","0","0","0","1","0","100000000010"
"Update terbaru malah jadi parah. Tambah lemot dan tambah ribet","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Kalau bisa tingatkan lemotnya. Update malah bikin lemot.","0","1","0","0","0","0","0","0","0","0","0","0","010000000000"
"Tambah lemot, Fitur nambah tapi sistem gak support","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
