,kalimat,kalimat_token
300,tampilan ok pemesanan cepat lgsung dapat,"['tampilan', 'ok', 'pemesanan', 'cepat', 'lgsung', 'dapat']"
608,diupgrade malah tambah lancar dari proses login sampe pambayran tiket,"['diupgrade', 'malah', 'tambah', 'lancar', 'dari', 'proses', 'login', 'sampe', 'pambayran', 'tiket']"
249,fitur reduksi harga dihilangkan aplikasi juga sangat lemot ciri khas bumn bgt,"['fitur', 'reduksi', 'harga', 'dihilangkan', 'aplikasi', 'juga', 'sangat', 'lemot', 'ciri', 'khas', 'bumn', 'bgt']"
163,updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai juga susah,"['updateny', 'bagus', 'tpi', 'susah', 'skrng', 'dftr', 'kaipayny', 'udah', 'gitu', 'byar', 'pake', 'kai', 'juga', 'susah']"
462,gini dong lancar severny yg kemaren kok koneksinya timeout terus kalo diplikasi yg baru bisa sat set pesen tiket,"['gini', 'dong', 'lancar', 'severny', 'yg', 'kemaren', 'kok', 'koneksinya', 'timeout', 'terus', 'kalo', 'diplikasi', 'yg', 'baru', 'bisa', 'sat', 'set', 'pesen', 'tiket']"
42,aplikasi terupdate otomatis tampilannya skrg tambah ribet dan bikin bingung lebih simpel tampilan yg lama seharusnya klo memang ada update lebih mempermudah ini malah sebaliknya,"['aplikasi', 'terupdate', 'otomatis', 'tampilannya', 'skrg', 'tambah', 'ribet', 'dan', 'bikin', 'bingung', 'lebih', 'simpel', 'tampilan', 'yg', 'lama', 'seharusnya', 'klo', 'memang', 'ada', 'update', 'lebih', 'mempermudah', 'ini', 'malah', 'sebaliknya']"
73,aplikasi ini keren jadi lebih mudah deh pesan tiket untuk bepergian semangat sahabat kai,"['aplikasi', 'ini', 'keren', 'jadi', 'lebih', 'mudah', 'deh', 'pesan', 'tiket', 'untuk', 'bepergian', 'semangat', 'sahabat', 'kai']"
393,sudah update bukannya makin bagus malah jadi semakin membuat emosi saat pembayaran menggunakan wallet jadi susah sekali password ovo yang saya punya tidak bisa muncul dan dikatakan pembayaran gagal padahal saya sudah update ovo kesel banget lebih bagus kai access versi lama,"['sudah', 'update', 'bukannya', 'makin', 'bagus', 'malah', 'jadi', 'semakin', 'membuat', 'emosi', 'saat', 'pembayaran', 'menggunakan', 'wallet', 'jadi', 'susah', 'sekali', 'password', 'ovo', 'yang', 'saya', 'punya', 'tidak', 'bisa', 'muncul', 'dan', 'dikatakan', 'pembayaran', 'gagal', 'padahal', 'saya', 'sudah', 'update', 'ovo', 'kesel', 'banget', 'lebih', 'bagus', 'kai', 'access', 'versi', 'lama']"
66,tampilan yg sekarang bagus dan mudah sangat nyaman,"['tampilan', 'yg', 'sekarang', 'bagus', 'dan', 'mudah', 'sangat', 'nyaman']"
11,aplikasi kai gapernah bener emang gimanasih tim it nya nih ah elah,"['aplikasi', 'kai', 'gapernah', 'bener', 'emang', 'gimanasih', 'tim', 'it', 'nya', 'nih', 'ah', 'elah']"
364,lebih baik jangan di update dulu memang dari segi ui bagus cuma masih banyak eror,"['lebih', 'baik', 'jangan', 'di', 'update', 'dulu', 'memang', 'dari', 'segi', 'ui', 'bagus', 'cuma', 'masih', 'banyak', 'eror']"
155,hallo menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai pay dengan tiket yang sama padahal niat awal hanya ingin merefresh saja tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya terima kasih,"['hallo', 'menurut', 'saya', 'penggunaan', 'aplikasi', 'kai', 'acces', 'terbaru', 'ini', 'kurang', 'memuaskan', 'karna', 'system', 'yang', 'kurang', 'responsif', 'membuat', 'saya', 'melakukan', 'double', 'payment', 'melalui', 'kai', 'pay', 'dengan', 'tiket', 'yang', 'sama', 'padahal', 'niat', 'awal', 'hanya', 'ingin', 'merefresh', 'saja', 'tolong', 'dibenahi', 'supaya', 'tidak', 'ada', 'consumen', 'yang', 'mengalami', 'hal', 'kurang', 'menyenangkan', 'seperti', 'saya', 'terima', 'kasih']"
551,waktu may bayar sudah tidak loading terus lebih baik dari seblum ny performa nya meningkat,"['waktu', 'may', 'bayar', 'sudah', 'tidak', 'loading', 'terus', 'lebih', 'baik', 'dari', 'seblum', 'ny', 'performa', 'nya', 'meningkat']"
83,update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
275,pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot,"['pake', 'aplikasi', 'dulu', 'setiap', 'mau', 'pesan', 'tiket', 'sering', 'gagal', 'tapi', 'diaplikasi', 'sekarang', 'selalu', 'berhasil', 'dna', 'lebih', 'cepet', 'juga', 'tidak', 'lemot']"
354,menjadi tidak simple,"['menjadi', 'tidak', 'simple']"
79,aplikasinya mempermudah dan bagus,"['aplikasinya', 'mempermudah', 'dan', 'bagus']"
23,kai pancen oke,"['kai', 'pancen', 'oke']"
507,aplikasi update terbaru bagus tp saran baikny harga tiket yg sdh habis terjual taruh paling bawah seperti aplikasi sebelumnya supaya gx bingung klu skrang kirain msh ada tiketny ternyata zonk,"['aplikasi', 'update', 'terbaru', 'bagus', 'tp', 'saran', 'baikny', 'harga', 'tiket', 'yg', 'sdh', 'habis', 'terjual', 'taruh', 'paling', 'bawah', 'seperti', 'aplikasi', 'sebelumnya', 'supaya', 'gx', 'bingung', 'klu', 'skrang', 'kirain', 'msh', 'ada', 'tiketny', 'ternyata', 'zonk']"
298,tampilan ok pemesanan cepat lgsung dapat,"['tampilan', 'ok', 'pemesanan', 'cepat', 'lgsung', 'dapat']"
341,terlalu bnyak menu semakin lemot aplikasinya,"['terlalu', 'bnyak', 'menu', 'semakin', 'lemot', 'aplikasinya']"
284,sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pake apk tiket online yang lain,"['sangat', 'bermanfaat', 'mudah', 'sekali', 'untuk', 'memesan', 'tiket', 'kereta', 'dibanding', 'pake', 'apk', 'tiket', 'online', 'yang', 'lain']"
495,bagus nih tampilan enak diliat tapi di gua gak lemot kok tampilannya enteng juga apk nya ga berat,"['bagus', 'nih', 'tampilan', 'enak', 'diliat', 'tapi', 'di', 'gua', 'gak', 'lemot', 'kok', 'tampilannya', 'enteng', 'juga', 'apk', 'nya', 'ga', 'berat']"
556,setelah update malah makin lancar lemot seblumnya saat masuk ke apk nya lemot bgt sekarnang yg mau bli tiket atau mau bepergian naik kereta jdi mudah apalagi yg mau pergi kerja,"['setelah', 'update', 'malah', 'makin', 'lancar', 'lemot', 'seblumnya', 'saat', 'masuk', 'ke', 'apk', 'nya', 'lemot', 'bgt', 'sekarnang', 'yg', 'mau', 'bli', 'tiket', 'atau', 'mau', 'bepergian', 'naik', 'kereta', 'jdi', 'mudah', 'apalagi', 'yg', 'mau', 'pergi', 'kerja']"
137,fiturny banyak sepaket lemotnya juga minta ampun,"['fiturny', 'banyak', 'sepaket', 'lemotnya', 'juga', 'minta', 'ampun']"
