,kalimat,kalimat_token
300,tampilan oke pemesanan cepat langsung dapat,"['tampilan', 'oke', 'pemesanan', 'cepat', 'langsung', 'dapat']"
608,ditingkatkan malah tambah lancar dari proses masuk sampai pambayran tiket,"['ditingkatkan', 'malah', 'tambah', 'lancar', 'dari', 'proses', 'masuk', 'sampai', 'pambayran', 'tiket']"
249,fitur reduksi harga dihilangkan aplikasi juga sangat lambat ciri khas bumn banget,"['fitur', 'reduksi', 'harga', 'dihilangkan', 'aplikasi', 'juga', 'sangat', 'lambat', 'ciri', 'khas', 'bumn', 'banget']"
163,pembaruannya bagus tetapi susah sekarang daftar kaipaynya sudah begitu bayar pakai kai juga susah,"['pembaruannya', 'bagus', 'tetapi', 'susah', 'sekarang', 'daftar', 'kaipaynya', 'sudah', 'begitu', 'bayar', 'pakai', 'kai', 'juga', 'susah']"
462,begini dong lancar servernya yang kemarin kok koneksinya timeout terus kalau diplikasi yang baru bisa saat set pesan tiket,"['begini', 'dong', 'lancar', 'servernya', 'yang', 'kemarin', 'kok', 'koneksinya', 'timeout', 'terus', 'kalau', 'diplikasi', 'yang', 'baru', 'bisa', 'saat', 'set', 'pesan', 'tiket']"
42,aplikasi terbaru otomatis tampilannya sekarang tambah ribet dan bikin bingung lebih simpel tampilan yang lama seharusnya kalau memang ada perbarui lebih mempermudah ini malah sebaliknya,"['aplikasi', 'terbaru', 'otomatis', 'tampilannya', 'sekarang', 'tambah', 'ribet', 'dan', 'bikin', 'bingung', 'lebih', 'simpel', 'tampilan', 'yang', 'lama', 'seharusnya', 'kalau', 'memang', 'ada', 'perbarui', 'lebih', 'mempermudah', 'ini', 'malah', 'sebaliknya']"
73,aplikasi ini kerend sih jadi lebih mudah deh pesan tiket untuk bepergian semangat sahabat kaidy si,"['aplikasi', 'ini', 'kerend', 'sih', 'jadi', 'lebih', 'mudah', 'deh', 'pesan', 'tiket', 'untuk', 'bepergian', 'semangat', 'sahabat', 'kaidy', 'si']"
393,sudah perbarui bukannya makin bagus malah jadi makin membuat emosi saat pembayaran menggunakan wallet jadi susah sekali kata sandi ovo yang saya punya tidak bisa muncul dan dikatakan pembayaran gagal padahal saya sudah perbarui ovo kesal banget lebih bagus kai access versi lama,"['sudah', 'perbarui', 'bukannya', 'makin', 'bagus', 'malah', 'jadi', 'makin', 'membuat', 'emosi', 'saat', 'pembayaran', 'menggunakan', 'wallet', 'jadi', 'susah', 'sekali', 'kata', 'sandi', 'ovo', 'yang', 'saya', 'punya', 'tidak', 'bisa', 'muncul', 'dan', 'dikatakan', 'pembayaran', 'gagal', 'padahal', 'saya', 'sudah', 'perbarui', 'ovo', 'kesal', 'banget', 'lebih', 'bagus', 'kai', 'access', 'versi', 'lama']"
66,tampilan yang sekarang bagus dan mudah sangat nyaman,"['tampilan', 'yang', 'sekarang', 'bagus', 'dan', 'mudah', 'sangat', 'nyaman']"
11,aplikasi kai enggak pernah benar memang bagaimana sih tim it nya nih ah elah,"['aplikasi', 'kai', 'enggak', 'pernah', 'benar', 'memang', 'bagaimana', 'sih', 'tim', 'it', 'nya', 'nih', 'ah', 'elah']"
364,lebih baik jangan diperbarui dahulu memang dari segi ui bagus cuma masih banyak eror,"['lebih', 'baik', 'jangan', 'diperbarui', 'dahulu', 'memang', 'dari', 'segi', 'ui', 'bagus', 'cuma', 'masih', 'banyak', 'eror']"
155,halo menurut saya penggunaan aplikasi kali acces terbaru ini kurang memuaskan karena sistem yang kurang responsif membuat saya melakukan pembayaran melalui kai pay dengan tiket yang sama padahal niat awal hanya ingin merefresh saja tolong dibenahi supaya tidak ada konsumen yang mengalami hal kurang menyenangkan seperti saya terima kasih,"['halo', 'menurut', 'saya', 'penggunaan', 'aplikasi', 'kali', 'acces', 'terbaru', 'ini', 'kurang', 'memuaskan', 'karena', 'sistem', 'yang', 'kurang', 'responsif', 'membuat', 'saya', 'melakukan', 'pembayaran', 'melalui', 'kai', 'pay', 'dengan', 'tiket', 'yang', 'sama', 'padahal', 'niat', 'awal', 'hanya', 'ingin', 'merefresh', 'saja', 'tolong', 'dibenahi', 'supaya', 'tidak', 'ada', 'konsumen', 'yang', 'mengalami', 'hal', 'kurang', 'menyenangkan', 'seperti', 'saya', 'terima', 'kasih']"
551,waktu may bayar sudah tidak memuat terus lebih baik dari sebelumnya performanya meningkat,"['waktu', 'may', 'bayar', 'sudah', 'tidak', 'memuat', 'terus', 'lebih', 'baik', 'dari', 'sebelumnya', 'performanya', 'meningkat']"
83,pembaruannya bagus bagus banget apalagi tampulannya jadi lebih baru,"['pembaruannya', 'bagus', 'bagus', 'banget', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
275,pakai aplikasi dahulu setiap mau pesan tiket sering gagal tetapi di aplikasi sekarang selalu berhasil dan lebih cepat juga tidak lambat,"['pakai', 'aplikasi', 'dahulu', 'setiap', 'mau', 'pesan', 'tiket', 'sering', 'gagal', 'tetapi', 'di', 'aplikasi', 'sekarang', 'selalu', 'berhasil', 'dan', 'lebih', 'cepat', 'juga', 'tidak', 'lambat']"
354,menjadi tidak simpel,"['menjadi', 'tidak', 'simpel']"
79,aplikasinya mempermudah dan bagus,"['aplikasinya', 'mempermudah', 'dan', 'bagus']"
