,kalimat,kalimat_token
78,aplikasi ini kerend sih jadi lebih mudah deh pesan tiket untuk bepergian semangat sahabat kaidy si,"['aplikasi', 'ini', 'kerend', 'sih', 'jadi', 'lebih', 'mudah', 'deh', 'pesan', 'tiket', 'untuk', 'bepergian', 'semangat', 'sahabat', 'kaidy', 'si']"
208,jadi malas pakainya setelah pembaruan enggak bisa masuk memuat terus jadi ribetmu masih tiket gedy ,"['jadi', 'malas', 'pakainya', 'setelah', 'pembaruan', 'enggak', 'bisa', 'masuk', 'memuat', 'terus', 'jadi', 'ribetmu', 'masih', 'tiket', 'gedy']"
570,sudah perbarui jadi makin bagus malah jadi makin memudahkan saat pembayaran menggunakan wallet jadi mudah sekali lebih bagus daripada kai access versi lama,"['sudah', 'perbarui', 'jadi', 'makin', 'bagus', 'malah', 'jadi', 'makin', 'memudahkan', 'saat', 'pembayaran', 'menggunakan', 'wallet', 'jadi', 'mudah', 'sekali', 'lebih', 'bagus', 'daripada', 'kai', 'access', 'versi', 'lama']"
181,setelah diperbarui malah makin mudah untuk metode pembayaran dapat lewat ovo tautan saja dana,"['setelah', 'diperbarui', 'malah', 'makin', 'mudah', 'untuk', 'metode', 'pembayaran', 'dapat', 'lewat', 'ovo', 'tautan', 'saja', 'dana']"
101,fiturnya lebih ribet membingungkan lebih simpel aplikasi sebelumnya dy tm,"['fiturnya', 'lebih', 'ribet', 'membingungkan', 'lebih', 'simpel', 'aplikasi', 'sebelumnya', 'dy', 'tm']"
158,wah tampilannya sekarang oke banget cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama ovo mohon tambahkan dong wallet gopay dan dana terus debit bri mandiri sama bca,"['wah', 'tampilannya', 'sekarang', 'oke', 'banget', 'cuma', 'sayang', 'metode', 'pembayaran', 'masih', 'dibatasi', 'kartu', 'debit', 'mandiri', 'sama', 'ovo', 'mohon', 'tambahkan', 'dong', 'wallet', 'gopay', 'dan', 'dana', 'terus', 'debit', 'bri', 'mandiri', 'sama', 'bca']"
55,pembaruan terbaru tampilan terbaru bukannya memperbaiki malah mempersulit tiket sudah habis untuk apa masih pada menongol lebih suka tampilan yang lama simpel dan tidak beribet,"['pembaruan', 'terbaru', 'tampilan', 'terbaru', 'bukannya', 'memperbaiki', 'malah', 'mempersulit', 'tiket', 'sudah', 'habis', 'untuk', 'apa', 'masih', 'pada', 'menongol', 'lebih', 'suka', 'tampilan', 'yang', 'lama', 'simpel', 'dan', 'tidak', 'beribet']"
436,setelah diperbarui aplikasinya makin lancar enggak lambat,"['setelah', 'diperbarui', 'aplikasinya', 'makin', 'lancar', 'enggak', 'lambat']"
135,fiturnya banyak sepaket lambat juga minta ampun,"['fiturnya', 'banyak', 'sepaket', 'lambat', 'juga', 'minta', 'ampun']"
218,lemot banget banget setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan setiap mau buka harus masukkan otp nya entah lewat surel sms padahal sebelumnya pernah kasih otp,"['lemot', 'banget', 'banget', 'setiap', 'mau', 'buka', 'memuatnya', 'lama', 'padahal', 'jaringan', 'sudah', 'bangus', 'terus', 'aplikasinya', 'harus', 'ditingkatkan', 'setiap', 'mau', 'buka', 'harus', 'masukkan', 'otp', 'nya', 'entah', 'lewat', 'surel', 'sms', 'padahal', 'sebelumnya', 'pernah', 'kasih', 'otp']"
587,selain aplikasinya sudah enggak lambat lagi dan makin satset aku juga suka saat pesan tiket buat pilih kursinya lebih enak saja diversi sekarang daripada dahulu,"['selain', 'aplikasinya', 'sudah', 'enggak', 'lambat', 'lagi', 'dan', 'makin', 'satset', 'aku', 'juga', 'suka', 'saat', 'pesan', 'tiket', 'buat', 'pilih', 'kursinya', 'lebih', 'enak', 'saja', 'diversi', 'sekarang', 'daripada', 'dahulu']"
331,gara gara memperbarui lambat banget,"['gara', 'gara', 'memperbarui', 'lambat', 'banget']"
408,mohon maaf setelah memperbarui akses menjadi lebih lambat tidak seperti pada aplikasi sebelumnya saat memilih kursi timeout menunggu lama sekali menghabiskan banyak waktu,"['mohon', 'maaf', 'setelah', 'memperbarui', 'akses', 'menjadi', 'lebih', 'lambat', 'tidak', 'seperti', 'pada', 'aplikasi', 'sebelumnya', 'saat', 'memilih', 'kursi', 'timeout', 'menunggu', 'lama', 'sekali', 'menghabiskan', 'banyak', 'waktu']"
370,tampilan baru memang terlihat segar tetapi ya ampun enggak selama ini juga memuatnya dong,"['tampilan', 'baru', 'memang', 'terlihat', 'segar', 'tetapi', 'ya', 'ampun', 'enggak', 'selama', 'ini', 'juga', 'memuatnya', 'dong']"
2,jadi lambat banget mau masuk menu home,"['jadi', 'lambat', 'banget', 'mau', 'masuk', 'menu', 'home']"
176,mudah lancar pembayarannya yang tidak punya atm bisa melalui indomaret alfamart mantap,"['mudah', 'lancar', 'pembayarannya', 'yang', 'tidak', 'punya', 'atm', 'bisa', 'melalui', 'indomaret', 'alfamart', 'mantap']"
585,fitur lebih banyak dan tampilan lebih bagus tetapi sayang lambat minta ampun untuk memilih tempat duduk lama sekali pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out akhirnya jadi enggak dapat tiket padahal ini untuk perjalanan mendadak beda jauh dengan waktu aplikasi yang lama saat set bisa cepat enggak memuat terus,"['fitur', 'lebih', 'banyak', 'dan', 'tampilan', 'lebih', 'bagus', 'tetapi', 'sayang', 'lambat', 'minta', 'ampun', 'untuk', 'memilih', 'tempat', 'duduk', 'lama', 'sekali', 'pembayaran', 'tinggal', 'menunggu', 'kode', 'pembayaran', 'lama', 'dan', 'akhirnya', 'time', 'out', 'akhirnya', 'jadi', 'enggak', 'dapat', 'tiket', 'padahal', 'ini', 'untuk', 'perjalanan', 'mendadak', 'beda', 'jauh', 'dengan', 'waktu', 'aplikasi', 'yang', 'lama', 'saat', 'set', 'bisa', 'cepat', 'enggak', 'memuat', 'terus']"
448,performanya sedikit lebih baik dari sebelumnya,"['performanya', 'sedikit', 'lebih', 'baik', 'dari', 'sebelumnya']"
483,setelah memperbarui tampilan lebih colour full lebih lengkap bahkan jadwal commuterline suka dengan versi baru kai performanya meningkat jadi lebih cepat,"['setelah', 'memperbarui', 'tampilan', 'lebih', 'colour', 'full', 'lebih', 'lengkap', 'bahkan', 'jadwal', 'commuterline', 'suka', 'dengan', 'versi', 'baru', 'kai', 'performanya', 'meningkat', 'jadi', 'lebih', 'cepat']"
110,aplikasinya kebanyakan fitur jembot kebanyakan kreatif aplikasinya sampai enggak bisa dipakai,"['aplikasinya', 'kebanyakan', 'fitur', 'jembot', 'kebanyakan', 'kreatif', 'aplikasinya', 'sampai', 'enggak', 'bisa', 'dipakai']"
213,sebelumnya saya sudah beli tiket pakai aplikasi lama terus saya cek di aplikasi tiket saya hilang tuh pertanggungjawabannya bagaimana,"['sebelumnya', 'saya', 'sudah', 'beli', 'tiket', 'pakai', 'aplikasi', 'lama', 'terus', 'saya', 'cek', 'di', 'aplikasi', 'tiket', 'saya', 'hilang', 'tuh', 'pertanggungjawabannya', 'bagaimana']"
132,pembaruan otomatis biasanya tiket kereta yang sudah habis enggak ditampilkan ini yang sudah habis ditampilkan kira masih tersedia,"['pembaruan', 'otomatis', 'biasanya', 'tiket', 'kereta', 'yang', 'sudah', 'habis', 'enggak', 'ditampilkan', 'ini', 'yang', 'sudah', 'habis', 'ditampilkan', 'kira', 'masih', 'tersedia']"
349,woi admin kembalikan ke aplikasi lamalah lama banget aplikasi perbaruan baru setelah memperbarui malah makin tidak pengguna ramah filter hanya ada pilihan dahulu bisa oleh waktu harga dan kelas pilih kursi juga harus gulir atas bawah dahulu layar tampak semua aduh bukannya makin maju,"['woi', 'admin', 'kembalikan', 'ke', 'aplikasi', 'lamalah', 'lama', 'banget', 'aplikasi', 'perbaruan', 'baru', 'setelah', 'memperbarui', 'malah', 'makin', 'tidak', 'pengguna', 'ramah', 'filter', 'hanya', 'ada', 'pilihan', 'dahulu', 'bisa', 'oleh', 'waktu', 'harga', 'dan', 'kelas', 'pilih', 'kursi', 'juga', 'harus', 'gulir', 'atas', 'bawah', 'dahulu', 'layar', 'tampak', 'semua', 'aduh', 'bukannya', 'makin', 'maju']"
604,kai memperbarui otomatis di telepon seluler saya selatah saya buka dan coba versi barunya memang lebih pengguna ramah saya juga langsung pesan tiket untuk kebernangkatan ke surabaya dengan komuterline wah dari pencarian pemesanan dan bayarnya mudah banget lancar suwun kai,"['kai', 'memperbarui', 'otomatis', 'di', 'telepon', 'seluler', 'saya', 'selatah', 'saya', 'buka', 'dan', 'coba', 'versi', 'barunya', 'memang', 'lebih', 'pengguna', 'ramah', 'saya', 'juga', 'langsung', 'pesan', 'tiket', 'untuk', 'kebernangkatan', 'ke', 'surabaya', 'dengan', 'komuterline', 'wah', 'dari', 'pencarian', 'pemesanan', 'dan', 'bayarnya', 'mudah', 'banget', 'lancar', 'suwun', 'kai']"
