"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-"
"Sudah tidak ada kendala lagi buat pesen tiket kereta pake aplikasi kai ini jadi makin mudah dan cepet","1","0","1","0","0","0","0","0","0","0","0","0"
"Aplikasi kaiacces ada update semakin simpel dan mempermudah. makin lancar dan ga lemot juga","1","0","0","0","0","0","0","0","0","0","1","0"
"Aplikasi bagus banget setelah di update sudah tidak ada bug dan lancar banget","1","0","0","0","0","0","0","1","0","1","0","0"
"Setelah di update jadi lebih baik ngga zonk lagi baik dari performa fitur""nya dll. tampilan dan pengoperasian jugalebih efisien versi terbaru sumpah, versi lamanya nyebelin. Aneh","1","0","0","0","0","0","1","0","1","0","0","0"
"Aplikasi update terbaru bagus, tp Saran q baikny harga2 tiket yg sdh habis terjual, d taruh paling bawah seperti aplikasi sebelumnya supaya gx bingung. Klu skrang d kirain msh ada tiketny, ternyata zonk.","1","0","0","0","0","0","0","0","0","0","1","0"
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","1","0","0","0","0","0","1","0","0","0","0","0"
"Kalo dibandingin kai yg dulu sama sekarang beda bgt dari segi performa nya makin lancar dari pesen tiket, bayarnya, tmpilannya menarik juga ditambah fitur2 terbaru yg bermanfaat bangett menurut saya","1","0","1","0","1","0","0","0","1","0","0","0"
"kualitasnya lebih baik untuk baru di update, saya mau pesan tiket juga makin mudah sudah tidak eror dan lemot","1","0","1","0","0","0","0","0","0","0","0","0"
"Setelah update yang terbaru tampilan oke, kualitasnya juga bagus banget. Load pas buka appnya juga ga lama, pas mau ke pembayaran juga lancar banget, pembayarannya dapat dilakukan dengan mudah. Ini nih aplikasi yang kita butuhkan cepet, simple, dan mudah.","1","0","0","0","1","0","0","0","1","0","1","0"
"Performany sedikit lebih baik darisebelumnya,,,,","1","0","0","0","0","0","0","0","0","0","0","0"
"Bagus.... benr2 bagus baik performa & tampilan","1","0","0","0","0","0","0","0","1","0","1","0"
"Semenjak upgrade makin lancar untuk pembayaran makin memudahkan","1","0","0","0","1","0","0","0","0","0","0","0"
"Aplikasi bagus banget setelah di update sudah tidak ada bug dan lancar banget","1","0","0","0","0","0","0","0","0","0","1","0"
"Setelah Update malah makin lancar g lemot, seblumnya saat masuk ke apk nya lemot bgt,sekarnang yg mau bli tiket atau mau bepergian naik Kereta jdi mudah apalagi yg mau pergi kerja","1","0","0","0","1","0","0","0","0","0","0","0"
"Di upgrade tambah satset","1","0","0","0","0","0","0","0","0","0","0","0"
"Setelah update jadi mudah buat login, ga butuh waktu yang lama untuk login. Keren nih app terupdatenya","1","0","0","0","0","0","1","0","0","0","1","0"
"Pembayaran ga ribet pake kaipay makin mempermudah user kai buat pesen tikt sih ini fiturbarunya satset parah lagi","1","0","0","0","1","0","1","0","0","0","0","0"
"Saya pelanggan setia kai merasa paus dengan versi terbaruny memudahkan dlm segala hal pesan tiket mudah, cek tiket kereta mudah, bayrnya mudah, fitur tambahan yng juga berguna bagi saya. salutnya dg tambahan fitur yg banyak tpai masih lancar terus ga lemot lemot","1","0","1","0","1","0","1","0","0","0","0","0"
"Iya sih makin lancar tapi aplikasi yang baru tidak efektif dalam pemilihan kursi. Tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien","1","0","0","0","0","0","0","1","0","1","0","0"
"Semenjak update aplikasi udah ngak lemot,,tapi tampilan membingungkan. Kereta yang penuh masih muncul untungnya pesen tiket sama bayar nya aman dan gampang bgt.","1","0","1","0","1","0","0","1","0","1","0","0"
"alhamdulillah jd lebih mudah... lancar, dulu susah banget kl mau hapus email (akun) krn sdh tdk aktif, skrg kl mau ganti nomer caranya udh gampang bgt. sukaaa","1","0","0","0","0","0","1","0","0","0","1","0"
"Iya sih makin lancar tapi aplikasi yang baru tidak efektif dalam pemilihan kursi. Tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien","1","0","0","0","0","0","0","1","0","1","0","0"
"baru di update apknya lancar terus, ga bikin nggu makin lama","1","0","0","0","0","0","0","0","0","0","0","0"
"Setelah update tampilan lebih colourfull lebih lengkap bahkan jadwal commuterline..suka dg versi baru kai performnya meningkt jadi lebih cepet","1","0","0","0","0","0","1","0","1","0","0","0"
"Otomatis terupdate, versi baru memudahkan, lebih lancar. Mau pesan tiket jadi mudah kearena saya PP kerja naik commuter","1","0","1","0","0","0","0","0","0","0","1","0"
"Diupdate malah bisa beli tiket dg mudah... lancar terus... UI nya yg diperbaiki jg lebih keren... lebih baik dari versi yg lama.. versi yg baru bagus banget performanya..","1","0","0","0","1","0","0","0","1","0","0","0"
"Mau masuk lancar bgt, proses ke pembayaran juga lancar, sampai- sampai waktu pembayaran hanya butuh waktu yang cepet ga lama. Ini aplikasi super lancar dari segala2nya","1","0","0","0","1","0","0","0","0","0","1","0"
"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, thanks kai aplikasinya bagus dan lancar tdk ada trouble","1","0","0","0","0","0","1","0","1","0","1","0"
