"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-","label"
"Semenjak aplikasinya update jadi makin lemot hadehh","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Tampilan emang have fun and youth. Fasilitas lebih banyak tapi masih belum berfungsi. Tapi namanya jadi tidak spesial. Orang lebih mudah mencari KAI dari pada Access. Nama Kai Access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. Lah kalo ACCESS ini maknanya apa? Revamp ya revamp. Tapi gak jadi lebih aneh gitu. Jadi inget bikin stasiun tapi lupa buat jalan akses. Kan aneh. Mmm mungkin mau buat kayak LIVIN by mandiri","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Jadi lemot banget mau masuk menu home","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Update baru bukan tambah baik malah tambah lemot...mending pakai yg sebelumnya sudah bagus kenapa kok diganti lagi...malah jd semarwut...jadi aplikasi unfaedah malahan.. Saran saya kembalikan seperti aplikasi sebelumnya saja mudah nyaman dan bagus","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Kecewa banget dengan kereta suka macet jadi menghambat perjalanan","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"penyegaran UI/UX nya sngt membantu sekali, teruss tingkatkan pelayanan dan pengembangan aplikasi, selalu terima masukan dri user jadikan bahan evaluasi agar lbih baik lgi.","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Aplikasinya tidak familiar, mending yang lama","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Masih bagus yang lama. Setelah di-update malah bobrok","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Ada pembaruan bukannya tambah oke malah buruk","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Tolong ini aplikasi nya banyak banget gangguannya. Please fix","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Di Update Bukan Nya Makin Bagus , malah Makin Buriq","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Aplikasi KAI gapernah bener emang, gimanasih tim IT-nya nih ah elah","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Ini downgrade bukan upgrade. Bad","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Aplikasi setelah update justru gak jelas, semakin ribet!!","0","0","0","0","0","0","0","0","0","0","0","1","000000000001"
"Dapat pesan tiket sambil rebahanðŸ˜‚ , mudah pilih kursi sesuai seleraðŸ˜€","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Cepat,senyap,simpel......joooooooozzz berangkat..","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Oke kok aplikasinya, semoga semakin ditingkatkan.","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Membantu sekali, manteb pokoknya","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"The bestâ™¥ðŸ™","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Sudah sesuai harapan.","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Lebih mudah memakai aplikasi ini untuk pergi jauh dan tidak perlu repot2 ngntri lbh cepat jg","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Terpercaya","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Bagus lancar.","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"KAI PANCEN OKE...","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Kerenn","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Memudahkan dalam traveling cepat juga pendukung buat yg suka travelling.","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Aplikasi mudah digunakan,gak ribet mau ganti jadwal pembatalan tiket cukup lewat aplikasi.","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Good","0","0","0","0","0","0","0","0","0","0","1","0","000000000010"
"Tampilan barunya malah bikin bingung","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Lebih suka tampilan app yg dulu","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilan baru malah semakin buruk..","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Mata saya lebih nyaman dengan warna biru khas KAI daripada yang ungu","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilannya lebih suka yang dulu Lebih iconic ðŸ™ƒ","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Jadi ga ramah tampilan user interface nya","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilan baru malah semakin buruk..","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Mata saya lebih nyaman dengan warna biru khas KAI daripada yang ungu","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilannya lebih suka yang dulu Lebih iconic ðŸ™ƒ","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilan baru malah semakin buruk..","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilan barunya malah bikin bingung","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Lebih suka tampilan app yg dulu","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Jadi ga ramah tampilan user interface nya","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Tampilan baru malah semakin buruk..","0","0","0","0","0","0","0","0","0","1","0","0","000000000100"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","101"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","101"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","0","0","0","0","0","0","0","0","0","1","0","1","000000000101"
"ko tampilan nya lebih enak yang dahulu ya, di update malah jadi ruwet","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg semakin memudahkan","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Thanks tampilan baru lebih intuitif","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"ko tampilan nya lebih enak yang dahulu ya, di update malah jadi ruwet","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg semakin memudahkan","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Thanks tampilan baru lebih intuitif","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg semakin memudahkan","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Thanks tampilan baru lebih intuitif","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg semakin memudahkan","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","0","0","0","0","0","0","0","0","1","0","0","0","000000001000"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasinya mempermudah dan bagus","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasinya mempermudah dan bagus","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasinya mempermudah dan bagus","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
