"content","label"
"Veteran anyep pemula Gacor,kan anying","Netral"
"Halo Admin, kok akun saya setiap klik orderan selalu ditolak dan muncul keterangan ""KESALAHAN"" melulu ya??? Waduhhhhh gmn ini yh min???","Negatif"
"sangat baik sangat ramah dan prjlanan cepat","Positif"
"Sangat baik dan profesional","Positif"
"Dari pagi sampai malem gak dapet orderan,kenapa harus selalu prioritas yang mendapat orderan","Negatif"
"kenapa aplikasinya muter muter aja ngga ada orderan masuk.. percuma ditempat keramaian kalo aplikasinya muter doang","Negatif"
"Semenjak di update, jadi zona critical engga pernah dapat penumpang, padahal jarak engga sampai 1 km tapi engga masuk lelang dan engga dapat penumpang,","Netral"
"Tolong dong. dana yg terpotong akibat cancel dr penumpang langsung dikembalikan ke dompet.jgn dipisahkan. sy ga bs narik krn minus pdhl msh ada dana pengembalian yg tdk bs msk dompet.","Negatif"
"Update terusss deposit 50k belom habis habis sudah 2 bulan ini tolong indrive ðŸ˜­ðŸ¥²ðŸ™","Negatif"
"Barokah amin","Positif"
"Saya sebagai driver ,dengan adanya critical zone ini system nya jadi kacaw sekali jarang mendapatkan lelangan sekalipun order terdekat padahal akun saya sudah prioritas,dan sebenarnya yang di utamakan ini driver prioritas apa driver paling lama kenapa yang muncul selalu driver yg dengan ribuan perjalanan pada masuk lelangan sedangkan yg hanya punya perjalanan sedikit atau ratusan malah gak masuk lelang meskipun akun prioritas. Tolong di perbaiki lagi system nya adilkan sesama driver","Positif"
"Bagaimana ya cara nya bisa mendapatkan atribut sama helm indriver nya","Positif"
"Sudah top up tapi dari pagi sampai malam nggak dapet orderan Berarti masuk kategori penipuan dong ibaratnya kita sudah top up tapi nggak ada hasil Tolong dong sistemnya diperbaiki servernya itu diperbaiki Jangan cuma ambil duit doang tapi harus perawatan juga","Negatif"
"Ini aplikasi apaan, sudah di cancel potongan ga kembali","Negatif"
"Good","Positif"
"Ngabisin saldo aja dah males makenya,kaya pasang togel kadang dapet kadang gak....","Netral"
"Mantap","Positif"
"bagus","Positif"
"Driver itu hanyalah mitra, yang sama sekali gak jelas kesejahteraanya dan masa depan nya. Sudah begitu kalian buat lagi harga tawar menawar yg lebih murah. Apa kalian gak punya hati?","Negatif"
"Aplikasi yg sangat membantu bagi masyarakat disaat mau pergi ke mana2 udah ga pusing lagi mau naik apa, tinggal pesan Indrive aja hehehe","Positif"
"peningkatan dan update aplikasi boleh dan sah tapi aplikator harus cerdas dan jeli melihat kondisi dilapangan, jangan update melulu tapi peningkatannya untuk pelayanan kepada mitra dan pelanggan kurang memuaskan","Negatif"
"min kok setelah update, selalu ""kesalahan"" mulu ya? suka offline sendiri pula, fix secepatnya min","Positif"
"Tolong kalau auto bitnya bisa di cancel Atau di keluarkan Dari room .... Soalnya banyak skali penumpang yang Sengaja main pesan sampe waktu habis Baru pesan lagi tolong di tinjau yaa INI juga untuk kenyamanan para draiver Dan penumpang juga terutama aplikasi indriver....trimakasih skali lagi di pertimbangkan lagi... ðŸ™ðŸ™","Positif"
"Parah kuðŸ˜","Negatif"
"Orderan masih sulit tembus status sudah di ambil gak tau muncul lagi orderan dengan akun yang sama yang sudah di ambil tadi. Seperti dunia tipu tipu","Positif"
"good job","Positif"
"Puas","Positif"
"BERANTAS DRIVER YANG PAKAI MOD!!! YANG PAKAI AUTO MASUK LELEANG!!!!!","Negatif"
"Parah apk yg skrg sepi orderan jarak 7 meter aja ga kena Tolong dong pihak indriver di bagusin lagi aplikasi nya bukan nya malah di jelekin lg","Negatif"
"Aplikasi Abal Abal Cs ga bisa kasih solusi Hanya buang buang waktu Nyesel pake indriver","Negatif"
"nyaman la... serasa ud jd orang kaya... terjangkau ..","Positif"
"Potongan Naik. Tidak ada pengumuman. Counter Perjalanan Anda Rusak malah Oprasi Driver yang di anggap turun","Negatif"
"Semoga driver yg ikuti aturan real utk cari nafkah lbh dikedepankan","Positif"
"Aplikasi yang bisa dibajak.mot semakin banyak,dan tak bisa ditawar2 lagi karna smua pake mot dikota medan ini.ongkos pun smakin lama smakin turun,dan tidak sesuai lagi kilometernya.mapsnya kacau balau,udah tau kota medan ini jalan ditutup tp ttap aja disuruh jalan dari situ juga,rute speda motor dibuat kemobil juga.kalah sama aplikasi kuning","Negatif"
"susah, â€¢ dapet penumpang susah â€¢ order yang ditawarkan/ditampilkan yg ga aktif, yg udah diambil driver lain, yang udah dibatalkan tapi masih muncul terus â€¢ rute pake rute mobil, nyasarin rute ke jalan tall â€¢ penumpang kesulitan cari driver terdekat sedangkan driver kesulitan cari penumpang terdekat karna penumpang dapetnya driver yang lebih jauh bukan lokasi driver terdekat â€¢ pengembalian dana pake ada dolar, ga jelas, ga solutif. segera lakukan perbaikan untuk perusahaan yang lebih maju","Negatif"
"ok sangat membantu","Positif"
"Tolong tegaskan setegas tegasnya jngn lamban","Negatif"
"aplikasi yang membagongkan.....","Negatif"
"sistem ganti jangan pakai penawaran harga dari customer gak masuk akal kasian driver mendingan harga atur dari sistem seperti grab, gojek, Maxim . Sistem sekarang pakai mempersulit driver dan membahakan Drive kalau ada masuk orderan dan menerima penawaran dari customer","Negatif"
"maksih indrive,.. sudah mempermudah kami menjangkau tujuan dengan aman, dan tepat waktu...","Positif"
"Mantap","Positif"
"Masih banyak bug dan sering terjadi eror saya sudah hubungi servis dan tidak bisa menyelesaikan masalah dengan cepat tolong perbaiki lagi aplikasi nya agar tidak banyak bug dan eror kami sebagai driver sering tidak dapat orderan sama sekali","Negatif"
"sangat baik","Positif"
"ok","Positif"
"Banyak bug nya versi terbaru,orderan msk pas di cocol tertulis keslahan,mintak pendaptat ke dukungan malah jawaban nya lepas emulator dan autokilk,dah tau pake apk dari play store lgsung,gak jls emang","Negatif"
"Bagus","Positif"
"Ok","Positif"
"Masih belum bisa bersaing dengan aplikasi lain. Orderan belum bisa auto bid dan orderan dengan titik penjemputan yang jauh. Sangat merugikan driver!","Negatif"
"Di Indriver Kebanyakan Driver Blagu Jauh Dikit Ngeluh","Negatif"
"Tolong tertibkan saja driver2 pengguna mod dan fake gps..","Positif"
"ok","Netral"
"Suka.","Positif"
"Makin di upgrade kok apkny makin ngak karuan?? Ngak mungkin drivernya stak nnton apk doang, giliran di luar apk ad yg masuk di cocol langsung hilang,kalau ngak ya eror, kek nyampah aja online dari pagi ngak ad yg dapat? Udah terdekat pun di cocol malah eror, di suruh mutar"" sama oner apkny, kalian pikir minyak di SPBU diminta saja, ngak mikir lu minyak sekarang sulit juga, jangan seenaknya apk aj dong aturan ny, mendingan jangan ad potongan saldony lagi hapuskan aja sistem saldo, toh kuota udh?","Negatif"
"Hallo indrive yang terhormat Akun saya sudah satu minggu tidak bisa di online kan Waktu di klik online muncul periksa dokumen setelah saya periksa di anjurkan poto info kendaraan dan poto SKCK ,semua yg di arahkan saya lakukan poto kendaraan .poto STNK poto SKCK tapi tidak masukÂ² berulang ulang poto dokumen kembali lagi ke minta poto dan saya sudah berkali kali minta bantuan ke admin idrive tapi permasalahan akun saya masih terjadi minta periksa dokumen dan akun saya masih belum aktif .","Positif"
"Setelah update mulai dapet lagi orderan dan mulai rating saya mulai naik lagi. Semoga semakin membaik lagi indriver","Positif"
"Aplikasi ya bagus tarif ongkos Rama di kantong","Positif"
"Jauh ngak masuk dekat juga ngak masuk depan mata ngak masuk juga cs sampai nunggu lama akhirnya cansel pindah ke aplikasi lain .....pantesan tambah anyep orderan...perbaiki it nya kasian driver sama cs","Positif"
